year,uc,role,articulated_avg,unarticulated_avg
2025-2026,UCSD,1,7.25,0.0
2025-2026,UCSB,1,7.14,0.0
2025-2026,UCSC,1,5.16,0.0
2025-2026,UCLA,1,0.0,0.0
2025-2026,UCB,1,4.87,0.0
2025-2026,UCI,1,6.05,0.0
2025-2026,UCD,1,9.67,0.0
2025-2026,UCR,1,4.09,0.0
2025-2026,UCM,1,5.78,0.0
2025-2026,UCSD,2,3.09,0.0
2025-2026,UCSB,2,3.07,0.0
2025-2026,UCSC,2,2.05,0.0
2025-2026,UCLA,2,0.0,0.0
2025-2026,UCB,2,1.49,0.0
2025-2026,UCI,2,3.3,0.0
2025-2026,UCD,2,4.83,0.0
2025-2026,UCR,2,1.47,0.0
2025-2026,UCM,2,1.93,0.0
2025-2026,UCSD,3,1.94,0.0
2025-2026,UCSB,3,1.85,0.0
2025-2026,UCSC,3,1.34,0.0
2025-2026,UCLA,3,0.0,0.0
2025-2026,UCB,3,0.71,0.0
2025-2026,UCI,3,2.77,0.0
2025-2026,UCD,3,3.17,0.0
2025-2026,UCR,3,1.05,0.0
2025-2026,UCM,3,0.91,0.0
