year,District,rank,fully_articulated_uc_count
2025-2026,15,1,0
2025-2026,24,2,0
2025-2026,38,3,0
2025-2026,43,4,1
2025-2026,67,5,1
2025-2026,35,6,2
2025-2026,68,7,2
2025-2026,7,8,3
2025-2026,8,9,3
2025-2026,21,10,3
2025-2026,22,11,3
2025-2026,23,12,3
2025-2026,29,13,3
2025-2026,44,14,3
2025-2026,59,15,3
2025-2026,66,16,3
2025-2026,0,17,4
2025-2026,3,18,4
2025-2026,10,19,4
2025-2026,20,20,4
2025-2026,56,21,4
2025-2026,57,22,4
2025-2026,60,23,4
2025-2026,70,24,4
2025-2026,2,25,5
2025-2026,12,26,5
2025-2026,13,27,5
2025-2026,17,28,5
2025-2026,25,29,5
2025-2026,30,30,5
2025-2026,32,31,5
2025-2026,33,32,5
2025-2026,49,33,5
2025-2026,61,34,5
2025-2026,63,35,5
2025-2026,71,36,5
2025-2026,1,37,6
2025-2026,42,38,6
2025-2026,47,39,6
2025-2026,50,40,6
2025-2026,51,41,6
2025-2026,54,42,6
2025-2026,14,43,7
2025-2026,18,44,7
2025-2026,19,45,7
2025-2026,28,46,7
2025-2026,37,47,7
2025-2026,41,48,7
2025-2026,45,49,7
2025-2026,46,50,7
2025-2026,53,51,7
2025-2026,55,52,7
2025-2026,58,53,7
2025-2026,65,54,7
2025-2026,69,55,7
2025-2026,4,56,8
2025-2026,5,57,8
2025-2026,6,58,8
2025-2026,9,59,8
2025-2026,11,60,8
2025-2026,16,61,8
2025-2026,26,62,8
2025-2026,27,63,8
2025-2026,31,64,8
2025-2026,34,65,8
2025-2026,36,66,8
2025-2026,39,67,8
2025-2026,40,68,8
2025-2026,48,69,8
2025-2026,52,70,8
2025-2026,62,71,8
2025-2026,64,72,8
