College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
Allan Hancock College,UCB,Calc1,A,1,MATH 51,MATH 181 (4.00)
Allan Hancock College,UCB,Calc2,A,1,MATH 52,MATH 182 (4.00)
Allan Hancock College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 184 (5.00)
Allan Hancock College,UCB,MultivariableCalc,A,1,MATH 53,MATH 183 (4.00)
Allan Hancock College,UCD,Calc1,A,1,MAT 021A,MATH 181 (4.00)
Allan Hancock College,UCD,Calc2,A,1,MAT 021B,MATH 182 (4.00)
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated
Allan Hancock College,UCD,DiscreteMath,A,1,ECS 020,CS 161 (3.00)
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated
Allan Hancock College,UCD,Organization,A,1,ECS 050,CS 131 (3.00)
Allan Hancock College,UCI,Calc1,A,1,MATH 2A,MATH 181 (4.00)
Allan Hancock College,UCI,Calc2,A,1,MATH 2B,MATH 182 (4.00)
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated
Allan Hancock College,UCI,Programming,C,1,I&C SCI 51,CS 131 (3.00)
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated
Allan Hancock College,UCI,Programming,F,1,I&C SCI 6B,CS 161 (3.00)
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated
Allan Hancock College,UCLA,Calc1,A,1,MATH 31A,MATH 181 (4.00)
Allan Hancock College,UCLA,Calc2,A,1,MATH 31B,MATH 182 (4.00)
Allan Hancock College,UCLA,Calc3,A,1,MATH 32A,MATH 183 (4.00)
Allan Hancock College,UCLA,Calc4,A,1,MATH 32B,MATH 183 (4.00)
Allan Hancock College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 184 (5.00)
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Allan Hancock College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 184 (5.00)
Allan Hancock College,UCM,Calc1,A,1,MATH 021,MATH 181 (4.00)
Allan Hancock College,UCM,Calc2,A,1,MATH 022,MATH 182 (4.00)
Allan Hancock College,UCM,DataStructures,A,1,CSE 030,CS 112 (4.00)
Allan Hancock College,UCM,Intro,A,1,CSE 022,CS 111 (4.00)
Allan Hancock College,UCM,LinearAlgebra,A,1,MATH 024,MATH 184 (5.00)
Allan Hancock College,UCM,VectorCalc,A,1,MATH 023,MATH 183 (4.00)
Allan Hancock College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 181 (4.00); MATH 182 (4.00)
Allan Hancock College,UCR,Intro1,A,1,CS 10A,CS 111 (4.00)
Allan Hancock College,UCR,Intro2,A,1,CS 10B,CS 112 (4.00)
Allan Hancock College,UCSB,Calc1,A,1,MATH 3A,MATH 181 (4.00)
Allan Hancock College,UCSB,Calc2,A,1,MATH 3B,MATH 182 (4.00)
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
Allan Hancock College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 184 (5.00)
Allan Hancock College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 161 (3.00)
Not Articulated,UCSB,Intro,A,1,CMPSC 16,Not Articulated
Allan Hancock College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 184 (5.00)
Allan Hancock College,UCSC,Calc1,A,1,MATH 19A,MATH 181 (4.00)
Allan Hancock College,UCSC,Calc2,A,1,MATH 19B,MATH 182 (4.00)
Allan Hancock College,UCSC,DiscreteMath,A,1,CSE 16,CS 161 (3.00)
Allan Hancock College,UCSC,Intro,A,1,CSE 30,CS 112 (4.00)
Allan Hancock College,UCSC,Organization,A,1,CSE 12,CS 131 (3.00)
Allan Hancock College,UCSD,Calc1,A,1,MATH 20A,MATH 181 (4.00)
Allan Hancock College,UCSD,Calc2,A,1,MATH 20B,MATH 182 (4.00)
Allan Hancock College,UCSD,Calc3,A,1,MATH 20C,MATH 183 (4.00)
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated
Allan Hancock College,UCSD,DiscreteMath,A,1,CSE 20,CS 161 (3.00)
Allan Hancock College,UCSD,Intro,B,1,CSE 11,CS 112 (4.00)
Allan Hancock College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 184 (5.00)
