College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Las Positas College,UCB,Calc1,A,1,MATH 51,MATH 1 (5.00),
Las Positas College,UCB,Calc2,A,1,MATH 52,MATH 2 (5.00),
Las Positas College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 5 (3.50); MATH 7 (3.50),
Las Positas College,UCB,MultivariableCalc,A,1,MATH 53,MATH 3 (5.00),
Las Positas College,UCD,Calc1,A,1,MAT 021A,MATH 1 (5.00); MATH 2 (5.00),
Las Positas College,UCD,Calc2,A,1,MAT 021B,MATH 2 (5.00),
Las Positas College,UCD,Calc3,A,1,MAT 021C,MATH 2 (5.00); MATH 3 (5.00),
Las Positas College,UCD,DataStructures,A,1,ECS 036C,CS 20 (4.00),
Las Positas College,UCD,DiscreteMath,A,1,ECS 020,CS 17 (4.00),MATH 10 (4.00)
Las Positas College,UCD,Intro1,A,1,ECS 036A,CS 1 (4.00),
Las Positas College,UCD,Intro2,A,1,ECS 036B,CS 2 (4.00),CS 31 (4.00)
Las Positas College,UCD,Organization,A,1,ECS 050,CS 21 (4.00),
Las Positas College,UCI,Calc1,A,1,MATH 2A,MATH 1 (5.00),
Las Positas College,UCI,Calc2,A,1,MATH 2B,MATH 2 (5.00),
Chabot College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14 (4.00); CSCI 15 (4.00),
Las Positas College,UCI,Programming,A,1,I&C SCI 45C,CS 1 (4.00); CS 2 (4.00); CS 20 (4.00),
Chabot College,UCI,Programming,B,1,I&C SCI 46,CSCI 20 (4.00),
Las Positas College,UCI,Programming,C,1,I&C SCI 51,CS 21 (4.00),
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Las Positas College,UCI,Programming,F,1,I&C SCI 6B,CS 17 (4.00),
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Las Positas College,UCLA,Calc1,A,1,MATH 31A,MATH 1 (5.00),
Las Positas College,UCLA,Calc2,A,1,MATH 31B,MATH 2 (5.00),
Las Positas College,UCLA,Calc3,A,1,MATH 32A,MATH 3 (5.00),
Las Positas College,UCLA,Calc4,A,1,MATH 32B,MATH 3 (5.00),
Las Positas College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 5 (3.50),
Las Positas College,UCLA,Intro,A,1,COM SCI 31,CS 1 (4.00); CS 2 (4.00),CS 2 (4.00)
Las Positas College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 7 (3.50),
Las Positas College,UCM,Calc1,A,1,MATH 021,MATH 1 (5.00),
Las Positas College,UCM,Calc2,A,1,MATH 022,MATH 2 (5.00),
Las Positas College,UCM,DataStructures,A,1,CSE 030,CS 20 (4.00),
Las Positas College,UCM,Intro,A,1,CSE 022,CS 1 (4.00),CS 7 (3.00)
Las Positas College,UCM,LinearAlgebra,A,1,MATH 024,MATH 5 (3.50); MATH 7 (3.50),
Las Positas College,UCM,VectorCalc,A,1,MATH 023,MATH 3 (5.00),
Las Positas College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1 (5.00); MATH 2 (5.00),
Las Positas College,UCR,Intro1,A,1,CS 10A,CS 1 (4.00),CS 31 (4.00)
Las Positas College,UCR,Intro2,A,1,CS 10B,CS 2 (4.00),
Las Positas College,UCSB,Calc1,A,1,MATH 3A,MATH 1 (5.00),
Las Positas College,UCSB,Calc2,A,1,MATH 3B,MATH 2 (5.00),
Las Positas College,UCSB,DataStructures,A,1,CMPSC 24,CS 20 (4.00),
Las Positas College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 5 (3.50),
Las Positas College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 17 (4.00),MATH 10 (4.00)
Chabot College,UCSB,Intro,A,1,CMPSC 16,CSCI 15 (4.00),
Las Positas College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 7 (3.50),
Las Positas College,UCSC,Calc1,A,1,MATH 19A,MATH 1 (5.00),
Las Positas College,UCSC,Calc2,A,1,MATH 19B,MATH 2 (5.00),
Las Positas College,UCSC,DiscreteMath,A,1,CSE 16,CS 17 (4.00),MATH 10 (4.00)
Las Positas College,UCSC,Intro,A,1,CSE 30,CS 20 (4.00),
Las Positas College,UCSC,Organization,A,1,CSE 12,CS 21 (4.00),
Las Positas College,UCSD,Calc1,A,1,MATH 20A,MATH 1 (5.00),
Las Positas College,UCSD,Calc2,A,1,MATH 20B,MATH 2 (5.00),
Las Positas College,UCSD,Calc3,A,1,MATH 20C,MATH 3 (5.00),
Las Positas College,UCSD,DataStructures,A,1,CSE 12,CS 20 (4.00),
Las Positas College,UCSD,DiscreteMath,A,1,CSE 20,CS 17 (4.00),
Las Positas College,UCSD,Intro,B,1,CSE 11,CS 31 (4.00),
Las Positas College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 7 (3.50),
