College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Coastline Community College,UCB,Calc1,A,1,MATH 1A,MATH C180 (5.00),,,
Coastline Community College,UCB,Calc2,A,1,MATH 1B,MATH C185 (5.00),,,
Coastline Community College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH C285 (5.00),,,
Coastline Community College,UCB,MultivariableCalc,A,1,MATH 53,MATH C280 (5.00),,,
Coastline Community College,UCD,Calc1,A,1,MAT 021A,MATH C180 (5.00),,,
Coastline Community College,UCD,Calc2,A,1,MAT 021B,MATH C185 (5.00),,,
Golden West College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185 (4.00); MATH G280 (4.00),,,
Golden West College,UCD,Calc3,A,1,MAT 021B; MAT 021C; MAT 021D,MATH G185 (4.00); MATH G280 (4.00),,,
Orange Coast College,UCD,Calc3,A,1,MAT 021C,MATH A280 (4.00),MATH A280H (5.00),,
Coastline Community College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH C280 (5.00),,,
Coastline Community College,UCD,DataStructures,A,1,ECS 036C,ICS C123 (3.00),,,
Orange Coast College,UCD,DiscreteMath,A,1,ECS 020,MATH A230 (5.00),,,
Orange Coast College,UCD,Intro1,A,1,ECS 036A,CS A131 (4.00),CS A140 (4.00),CS A150 (4.00),CS A170 (4.00)
Orange Coast College,UCD,Intro2,A,1,ECS 036B,CS A250 (4.00),,,
Orange Coast College,UCD,Organization,A,1,ECS 050,CS A216 (4.00),,,
Coastline Community College,UCI,Calc1,A,1,MATH 2A,MATH C180 (5.00),,,
Coastline Community College,UCI,Calc2,A,1,MATH 2B,MATH C185 (5.00),,,
Orange Coast College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS A131 (4.00); CS A231 (4.00),,,
Orange Coast College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150 (4.00); CS A250 (4.00),,,
Coastline Community College,UCLA,Calc1,A,1,MATH 31A,MATH C180 (5.00),,,
Coastline Community College,UCLA,Calc2,A,1,MATH 31B,MATH C185 (5.00),,,
Coastline Community College,UCLA,Calc3,A,1,MATH 32A,MATH C280 (5.00),,,
Coastline Community College,UCLA,Calc4,A,1,MATH 32B,MATH C280 (5.00),,,
Coastline Community College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH C285 (5.00),,,
Orange Coast College,UCLA,Intro,A,1,COM SCI 31,CS A150 (4.00),,,
Coastline Community College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH C285 (5.00),,,
Coastline Community College,UCM,Calc1,A,1,MATH 021,MATH C180 (5.00),,,
Coastline Community College,UCM,Calc2,A,1,MATH 022,MATH C185 (5.00),,,
Coastline Community College,UCM,DataStructures,A,1,CSE 030,ICS C123 (3.00),,,
Coastline Community College,UCM,LinearAlgebra,A,1,MATH 024,MATH C285 (5.00),,,
Coastline Community College,UCM,VectorCalc,A,1,MATH 023,MATH C280 (5.00),,,
Coastline Community College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180 (5.00); MATH C185 (5.00),,,
Orange Coast College,UCR,Intro1,A,1,CS 10A,CS A131 (4.00),CS A140 (4.00),CS A150 (4.00),CS A170 (4.00)
Orange Coast College,UCR,Intro2,A,1,CS 10B,CS A250 (4.00),,,
Coastline Community College,UCSB,Calc1,A,1,MATH 3A,MATH C180 (5.00),,,
Coastline Community College,UCSB,Calc2,A,1,MATH 3B,MATH C185 (5.00),,,
Orange Coast College,UCSB,DataStructures,A,1,CMPSC 24,CS A200 (4.00),,,
Coastline Community College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH C285 (5.00),,,
Coastline Community College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH C230 (5.00),,,
Orange Coast College,UCSB,Intro,A,1,CMPSC 16,CS A150 (4.00),,,
Coastline Community College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH C285 (5.00),,,
Coastline Community College,UCSC,Calc1,A,1,MATH 19A,MATH C180 (5.00),,,
Coastline Community College,UCSC,Calc2,A,1,MATH 19B,MATH C185 (5.00),,,
Orange Coast College,UCSC,DataStructures,A,1,CSE 12,CS A216 (4.00),,,
Golden West College,UCSC,DiscreteMath,A,1,CSE 16,CS G262 (3.00),,,
Coastline Community College,UCSC,Intro,A,1,CSE 30,ICS C123 (3.00),,,
Coastline Community College,UCSD,Calc1,A,1,MATH 20A,MATH C180 (5.00),,,
Coastline Community College,UCSD,Calc2,A,1,MATH 20B,MATH C185 (5.00),,,
Coastline Community College,UCSD,Calc3,A,1,MATH 20C,MATH C280 (5.00),,,
Coastline Community College,UCSD,DataStructures,A,1,CSE 12,ICS C123 (3.00),,,
Orange Coast College,UCSD,DiscreteMath,A,1,CSE 20,MATH A230 (5.00),CS A262 (3.00),,
Golden West College,UCSD,Intro,A,1,CSE 8B,CS G154 (3.00),,,
Orange Coast College,UCSD,Intro,B,1,CSE 11,CS A170 (4.00),,,
Coastline Community College,UCSD,LinearAlgebra,A,1,MATH 18,MATH C285 (5.00),,,
