College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
College of the Desert,UCB,Calc1,A,1,MATH 51,MATH 1A (4.00)
College of the Desert,UCB,Calc2,A,1,MATH 52,MATH 1B (4.00)
College of the Desert,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2B (4.00); MATH 2C (4.00)
College of the Desert,UCB,MultivariableCalc,A,1,MATH 53,MATH 2A (4.00)
College of the Desert,UCD,Calc1,A,1,MAT 021A,MATH 1A (4.00)
College of the Desert,UCD,Calc2,A,1,MAT 021B,MATH 1B (4.00)
College of the Desert,UCD,Calc3,A,1,MAT 021C,MATH 2A (4.00)
College of the Desert,UCD,DataStructures,A,1,ECS 036C,CS 9 (4.00)
College of the Desert,UCD,DiscreteMath,A,1,ECS 020,MATH 15 (4.00)
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated
College of the Desert,UCD,Linear Algebra,A,1,MAT 022A,MATH 2B (4.00)
College of the Desert,UCD,Organization,A,1,ECS 050,CS 8 (3.00)
College of the Desert,UCI,Calc1,A,1,MATH 2A,MATH 1A (4.00)
College of the Desert,UCI,Calc2,A,1,MATH 2B,MATH 1B (4.00)
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
College of the Desert,UCI,Programming,A,1,I&C SCI 45C,CS 9 (4.00)
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated
College of the Desert,UCI,Programming,C,1,I&C SCI 51,CS 8 (3.00)
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated
College of the Desert,UCLA,Calc1,A,1,MATH 31A,MATH 1A (4.00)
College of the Desert,UCLA,Calc2,A,1,MATH 31B,MATH 1B (4.00)
College of the Desert,UCLA,Calc3,A,1,MATH 32A,MATH 2A (4.00)
College of the Desert,UCLA,Calc4,A,1,MATH 32B,MATH 2A (4.00)
College of the Desert,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2C (4.00)
College of the Desert,UCLA,DiscreteStructures,A,1,MATH 61,MATH 15 (4.00)
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated
Not Articulated,UCLA,Intro3,A,1,COM SCI 33,Not Articulated
College of the Desert,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2B (4.00)
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated
College of the Desert,UCM,Calc1,A,1,MATH 021,MATH 1A (4.00)
College of the Desert,UCM,Calc2,A,1,MATH 022,MATH 1B (4.00)
College of the Desert,UCM,DataStructures,A,1,CSE 030,CS 9 (4.00)
College of the Desert,UCM,LinearAlgebra,A,1,MATH 024,MATH 2B (4.00); MATH 2C (4.00)
College of the Desert,UCM,VectorCalc,A,1,MATH 023,MATH 2A (4.00)
College of the Desert,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A (4.00); MATH 1B (4.00)
College of the Desert,UCR,Intro1,A,1,CS 10A,CS 7A (4.00)
College of the Desert,UCR,Intro2,A,1,CS 10B,CS 7B (3.00)
College of the Desert,UCSB,Calc1,A,1,MATH 3A,MATH 1A (4.00)
College of the Desert,UCSB,Calc2,A,1,MATH 3B,MATH 1B (4.00)
College of the Desert,UCSB,DataStructures,A,1,CMPSC 24,CS 9 (4.00)
College of the Desert,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2C (4.00)
College of the Desert,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 15 (4.00)
College of the Desert,UCSB,Intro,A,1,CMPSC 16,CS 7A (4.00)
College of the Desert,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2B (4.00)
College of the Desert,UCSC,Calc1,A,1,MATH 19A,MATH 1A (4.00)
College of the Desert,UCSC,Calc2,A,1,MATH 19B,MATH 1B (4.00)
College of the Desert,UCSC,DataStructures,A,1,CSE 12,CS 8 (3.00)
College of the Desert,UCSC,DiscreteMath,A,1,CSE 16,MATH 15 (4.00)
College of the Desert,UCSC,Intro,A,1,CSE 30,CS 9 (4.00)
College of the Desert,UCSD,Calc1,A,1,MATH 20A,MATH 1A (4.00)
College of the Desert,UCSD,Calc2,A,1,MATH 20B,MATH 1B (4.00)
College of the Desert,UCSD,Calc3,A,1,MATH 20C,MATH 2A (4.00)
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated
College of the Desert,UCSD,DiscreteMath,A,1,CSE 20,MATH 15 (4.00)
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated
College of the Desert,UCSD,LinearAlgebra,A,1,MATH 18,MATH 2B (4.00)
