College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
Foothill College,UCB,Calc1,A,1,MATH 51,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCB,Calc2,A,1,MATH 52,MATH 1B (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,,,
De Anza College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2A (5.00); MATH 2B (5.00),MATH 2AH (5.00); MATH 2BH (5.00),,,,,,
De Anza College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
De Anza College,UCD,Calc1,A,1,MAT 021A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCD,Calc2,A,1,MAT 021B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
Foothill College,UCD,Calc3,A,1,MAT 021C,MATH 1C (5.00),,,,,,,
De Anza College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 1C (5.00); MATH 1D (5.00),MATH 1C (5.00); MATH 1DH (5.00),MATH 1CH (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,
De Anza College,UCD,DataStructures,A,1,ECS 036C,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
De Anza College,UCD,DiscreteMath,A,1,ECS 020,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCD,Intro1,A,1,ECS 036A,CIS 22A (4.50),CIS 22B (4.50),CIS 22BH (4.50),CIS 26A (4.50),CIS 26B (4.50),CIS 27 (4.50),CIS 35A (4.50),CIS 36A (4.50)
De Anza College,UCD,Intro2,A,1,ECS 036B,CIS 22B (4.50),CIS 22BH (4.50),CIS 29 (4.50),CIS 35A (4.50),CIS 36B (4.50),,,
De Anza College,UCD,Organization,A,1,ECS 050,CIS 21JA (4.50),,,,,,,
De Anza College,UCI,Calc1,A,1,MATH 2A,MATH 1A (5.00),MATH 1AH (5.00),MATH 12 (5.00),,,,,
De Anza College,UCI,Calc2,A,1,MATH 2B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
Foothill College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,C S 3A (4.50); C S 3B (4.50); C S 3C (4.50),C S 2A (4.50); C S 2B (4.50),,,,,,
De Anza College,UCI,Programming,A,1,I&C SCI 45C,CIS 22A (4.50); CIS 22B (4.50),CIS 29 (4.50),,,,,,
Foothill College,UCI,Programming,B,1,I&C SCI 46,C S 2C (4.50),,,,,,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,,,,,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,,,,,
Foothill College,UCI,Programming,E,1,IN4MATX 43,C S 40A (4.50),,,,,,,
De Anza College,UCI,Programming,F,1,I&C SCI 6B,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCI,Programming,G,1,I&C SCI 6D,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCI,Programming,H,1,STATS 67,MATH 23 (5.00),,,,,,,
De Anza College,UCLA,Calc1,A,1,MATH 31A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCLA,Calc2,A,1,MATH 31B,MATH 1B (5.00); MATH 1C (5.00),MATH 1B (5.00); MATH 1CH (5.00),MATH 1BH (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,
De Anza College,UCLA,Calc3,A,1,MATH 32A,MATH 1C (5.00),MATH 1CH (5.00),,,,,,
De Anza College,UCLA,Calc4,A,1,MATH 32B,MATH 1D (5.00),MATH 1DH (5.00),,,,,,
De Anza College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2A (5.00),MATH 2AH (5.00),,,,,,
De Anza College,UCLA,Intro,A,1,COM SCI 31,CIS 22B (4.50),CIS 22BH (4.50),CIS 29 (4.50),CIS 27 (4.50),,,,
De Anza College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2B (5.00),MATH 2BH (5.00),,,,,,
De Anza College,UCM,Calc1,A,1,MATH 021,MATH 1A (5.00); MATH 1B (5.00),MATH 1AH (5.00); MATH 1BH (5.00),,,,,,
De Anza College,UCM,Calc2,A,1,MATH 022,MATH 1B (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,,,
De Anza College,UCM,DataStructures,A,1,CSE 030,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
De Anza College,UCM,Intro,A,1,CSE 022,CIS 22A (4.50); CIS 22B (4.50),CIS 22A (4.50); CIS 22BH (4.50),CIS 26A (4.50),CIS 27 (4.50),CIS 36A (4.50); CIS 36B (4.50),CIS 41A (4.50),,
De Anza College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2A (5.00); MATH 2B (5.00),MATH 2AH (5.00); MATH 2BH (5.00),,,,,,
De Anza College,UCM,VectorCalc,A,1,MATH 023,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
De Anza College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A (5.00); MATH 1B (5.00); MATH 1C (5.00),,,,,,,
De Anza College,UCR,Intro1,A,1,CS 10A,CIS 22A (4.50),CIS 26A (4.50),CIS 26B (4.50),CIS 36A (4.50); CIS 36B (4.50),,,,
De Anza College,UCR,Intro2,A,1,CS 10B,CIS 22B (4.50),CIS 27 (4.50),CIS 28 (4.50),CIS 29 (4.50),CIS 36A (4.50); CIS 36B (4.50),,,
De Anza College,UCSB,Calc1,A,1,MATH 3A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCSB,Calc2,A,1,MATH 3B,MATH 1B (5.00); MATH 1C (5.00),MATH 1B (5.00); MATH 1CH (5.00),MATH 1BH (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,
Foothill College,UCSB,DataStructures,A,1,CMPSC 24,C S 2C (4.50),,,,,,,
De Anza College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2A (5.00),MATH 2AH (5.00),,,,,,
De Anza College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCSB,Intro,A,1,CMPSC 16,CIS 22B (4.50),CIS 22BH (4.50),CIS 26A (4.50),CIS 26B (4.50),CIS 26BH (4.50),,,
De Anza College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2B (5.00),MATH 2BH (5.00),,,,,,
De Anza College,UCSC,Calc1,A,1,MATH 19A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCSC,Calc2,A,1,MATH 19B,MATH 1B (5.00); MATH 1C (5.00),MATH 1BH (5.00); MATH 1CH (5.00),,,,,,
De Anza College,UCSC,DiscreteMath,A,1,CSE 16,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCSC,Intro,A,1,CSE 30,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
De Anza College,UCSC,Organization,A,1,CSE 12,CIS 21JA (4.50),CIS 21JB (4.50),,,,,,
De Anza College,UCSD,Calc1,A,1,MATH 20A,MATH 1A (5.00),MATH 1AH (5.00),,,,,,
De Anza College,UCSD,Calc2,A,1,MATH 20B,MATH 1B (5.00),MATH 1BH (5.00),,,,,,
De Anza College,UCSD,Calc3,A,1,MATH 20C,MATH 1C (5.00); MATH 1D (5.00),MATH 1CH (5.00); MATH 1DH (5.00),,,,,,
De Anza College,UCSD,DataStructures,A,1,CSE 12,CIS 22C (4.50),CIS 22CH (4.50),,,,,,
De Anza College,UCSD,DiscreteMath,A,1,CSE 20,MATH 22 (5.00),MATH 22H (5.00),,,,,,
De Anza College,UCSD,Intro,B,1,CSE 11,CIS 35A (4.50),CIS 36B (4.50),,,,,,
