College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Gavilan College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2 (3.00); MATH 2C (3.00),,,
Gavilan College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C (4.00),,,
Gavilan College,UCD,Calc1,A,1,MAT 021A,MATH 1A (4.00),,,
Gavilan College,UCD,Calc2,A,1,MAT 021B,MATH 1B (4.00),,,
Gavilan College,UCD,DataStructures,A,1,ECS 036C,CSIS 27 (3.00),,,
Gavilan College,UCD,DiscreteMath,A,1,ECS 020,CSIS 26 (3.00),,,
Gavilan College,UCD,Intro1,A,1,ECS 036A,CSIS 45 (3.00),,,
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated,,,
Gavilan College,UCD,Organization,A,1,ECS 050,CSIS 12 (3.00); CSIS 12L (1.00),,,
Gavilan College,UCI,Calc1,A,1,MATH 2A,MATH 1A (4.00),,,
Gavilan College,UCI,Calc2,A,1,MATH 2B,MATH 1B (4.00),,,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
Gavilan College,UCLA,Calc1,A,1,MATH 31A,MATH 1A (4.00),,,
Gavilan College,UCLA,Calc2,A,1,MATH 31B,MATH 1B (4.00),,,
Gavilan College,UCLA,Calc3,A,1,MATH 32A,MATH 1C (4.00),,,
Gavilan College,UCLA,Calc4,A,1,MATH 32B,MATH 1C (4.00),,,
Gavilan College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2C (3.00),,,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,,
Gavilan College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2 (3.00),,,
Gavilan College,UCM,Calc1,A,1,MATH 021,MATH 1A (4.00),,,
Gavilan College,UCM,Calc2,A,1,MATH 022,MATH 1B (4.00),,,
Gavilan College,UCM,DataStructures,A,1,CSE 030,CSIS 46 (3.00),,,
Gavilan College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2 (3.00); MATH 2C (3.00),,,
Gavilan College,UCM,VectorCalc,A,1,MATH 023,MATH 1C (4.00),,,
Gavilan College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A (4.00); MATH 1B (4.00),,,
Gavilan College,UCR,Intro1,A,1,CS 10A,CSIS 18 (3.00); CSIS 18L (1.00),CSIS 24 (3.00),CSIS 43 (4.00),CSIS 45 (3.00)
Gavilan College,UCR,Intro2,A,1,CS 10B,CSIS 46 (3.00),,,
Gavilan College,UCSB,Calc1,A,1,MATH 3A,MATH 1A (4.00),,,
Gavilan College,UCSB,Calc2,A,1,MATH 3B,MATH 1B (4.00),,,
Gavilan College,UCSB,DataStructures,A,1,CMPSC 24,CSIS 46 (3.00),,,
Gavilan College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2C (3.00),,,
Gavilan College,UCSB,DiscreteMath,A,1,CMPSC 40,CSIS 26 (3.00),MATH 16 (4.00),,
Gavilan College,UCSB,Intro,A,1,CMPSC 16,CSIS 45 (3.00),,,
Gavilan College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2 (3.00),,,
Gavilan College,UCSC,Calc1,A,1,MATH 19A,MATH 1A (4.00),,,
Gavilan College,UCSC,Calc2,A,1,MATH 19B,MATH 1B (4.00),,,
Gavilan College,UCSC,DiscreteMath,A,1,CSE 16,CSIS 26 (3.00),MATH 16 (4.00),,
Gavilan College,UCSC,Intro,A,1,CSE 30,CSIS 46 (3.00),,,
Gavilan College,UCSD,Calc1,A,1,MATH 20A,MATH 1A (4.00),,,
Gavilan College,UCSD,Calc2,A,1,MATH 20B,MATH 1B (4.00),,,
Gavilan College,UCSD,Calc3,A,1,MATH 20C,MATH 1C (4.00),,,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
Gavilan College,UCSD,DiscreteMath,A,1,CSE 20,CSIS 26 (3.00),,,
Gavilan College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 2 (3.00),,,
