College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Glendale Community College,UCB,Calc1,A,1,MATH 51,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),
Glendale Community College,UCB,Calc2,A,1,MATH 52,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 107 (5.00); MATH 108 (5.00),MATH 107H (5.00); MATH 108H (5.00),,
Glendale Community College,UCB,MultivariableCalc,A,1,MATH 53,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCD,Calc1,A,1,MAT 021A,MATH 103E (5.00),MATH 103E+ (6.00),MATH 103EH (5.00),
Glendale Community College,UCD,Calc2,A,1,MAT 021B,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCD,DataStructures,A,1,ECS 036C,CS/IS 211 (4.00),,,
Glendale Community College,UCD,DiscreteMath,A,1,ECS 020,CS/IS 125 (4.00),,,
Glendale Community College,UCD,Intro1,A,1,ECS 036A,CS/IS 135 (3.00),,,
Glendale Community College,UCD,Intro2,A,1,ECS 036B,CS/IS 137 (4.00),,,
Glendale Community College,UCD,Organization,A,1,ECS 050,CS/IS 165 (4.00),,,
Glendale Community College,UCI,Calc1,A,1,MATH 2A,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),MATH 113 (3.50)
Glendale Community College,UCI,Calc2,A,1,MATH 2B,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS/IS 135 (3.00); CS/IS 137 (4.00),,,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,,,
Glendale Community College,UCI,Programming,B,1,I&C SCI 46,CS/IS 211 (4.00); CS/IS 212 (3.00),,,
Glendale Community College,UCI,Programming,C,1,I&C SCI 51,CS/IS 165 (4.00); CS/IS 166 (3.00),,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,
Glendale Community College,UCI,Programming,F,1,I&C SCI 6B,CS/IS 125 (4.00),,,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,,
Glendale Community College,UCLA,Calc1,A,1,MATH 31A,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),
Glendale Community College,UCLA,Calc2,A,1,MATH 31B,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCLA,Calc3,A,1,MATH 32A,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCLA,Calc4,A,1,MATH 32B,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 108 (5.00),MATH 108H (5.00),,
Glendale Community College,UCLA,Intro,A,1,COM SCI 31,CS/IS 135 (3.00),CS/IS 137 (4.00),,
Glendale Community College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 107 (5.00),MATH 107H (5.00),,
Glendale Community College,UCM,Calc1,A,1,MATH 021,MATH 103E (5.00),MATH 103EH (5.00),,
Glendale Community College,UCM,Calc2,A,1,MATH 022,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCM,DataStructures,A,1,CSE 030,CS/IS 211 (4.00),,,
Glendale Community College,UCM,Intro,A,1,CSE 022,CS/IS 112 (3.00),CS/IS 135 (3.00),,
Glendale Community College,UCM,LinearAlgebra,A,1,MATH 024,MATH 107 (5.00); MATH 108 (5.00),MATH 107H (5.00); MATH 108H (5.00),MATH 107 (5.00); MATH 108H (5.00),MATH 107H (5.00); MATH 108 (5.00)
Glendale Community College,UCM,VectorCalc,A,1,MATH 023,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 103E (5.00); MATH 104E (5.00),,,
Glendale Community College,UCR,Intro1,A,1,CS 10A,CS/IS 135 (3.00),CS/IS 139 (3.00),,
Glendale Community College,UCR,Intro2,A,1,CS 10B,CS/IS 137 (4.00),,,
Glendale Community College,UCSB,Calc1,A,1,MATH 3A,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),
Glendale Community College,UCSB,Calc2,A,1,MATH 3B,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCSB,DataStructures,A,1,CMPSC 24,CS/IS 211 (4.00),,,
Glendale Community College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 108 (5.00),MATH 108H (5.00),,
Glendale Community College,UCSB,DiscreteMath,A,1,CMPSC 40,CS/IS 125 (4.00),,,
Glendale Community College,UCSB,Intro,A,1,CMPSC 16,CS/IS 135 (3.00),,,
Glendale Community College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 107 (5.00),MATH 107H (5.00),,
Glendale Community College,UCSC,Calc1,A,1,MATH 19A,MATH 103E (5.00),MATH 103EH (5.00),MATH 103E+ (6.00),
Glendale Community College,UCSC,Calc2,A,1,MATH 19B,MATH 104E (5.00),MATH 104EH (5.00),,
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,,,
Glendale Community College,UCSC,Intro,A,1,CSE 30,CS/IS 211 (4.00),,,
Glendale Community College,UCSC,Organization,A,1,CSE 12,CS/IS 165 (4.00),,,
Glendale Community College,UCSD,Calc1,A,1,MATH 20A,MATH 103E (5.00),MATH 103EH (5.00),,
Glendale Community College,UCSD,Calc2,A,1,MATH 20B,MATH 104E (5.00),MATH 104EH (5.00),,
Glendale Community College,UCSD,Calc3,A,1,MATH 20C,MATH 105 (5.00),MATH 105H (5.00),,
Glendale Community College,UCSD,DataStructures,A,1,CSE 12,CS/IS 211 (4.00),,,
Glendale Community College,UCSD,DiscreteMath,A,1,CSE 20,CS/IS 125 (4.00),,,
Glendale Community College,UCSD,Intro,B,1,CSE 11,CS/IS 139 (3.00),CS/IS 135 (3.00); CS/IS 211 (4.00),,
Glendale Community College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 107 (5.00),,,
