College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Cuyamaca College,UCB,Calc1,A,1,MATH 51,MATH 180 (5.00),,
Cuyamaca College,UCB,Calc2,A,1,MATH 52,MATH 280 (4.00),,
Cuyamaca College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 284 (3.00); MATH 285 (3.00),,
Cuyamaca College,UCB,MultivariableCalc,A,1,MATH 53,MATH 281 (4.00),,
Cuyamaca College,UCD,Calc1,A,1,MAT 021A,MATH 180 (5.00),,
Grossmont College,UCD,Calc2,A,1,MAT 021B,MATH 280 (4.00),,
Grossmont College,UCD,Calc3,A,1,MAT 021C,MATH 281 (4.00),,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Cuyamaca College,UCD,DiscreteMath,A,1,ECS 020,MATH 245 (3.00),,
Grossmont College,UCD,Intro1,A,1,ECS 036A,CSIS 296 (4.00),,
Cuyamaca College,UCD,Intro2,A,1,ECS 036B,CS 281 (4.00),,
Cuyamaca College,UCD,Linear Algebra,A,1,MAT 022A,MATH 284 (3.00),,
Grossmont College,UCD,Organization,A,1,ECS 050,CSIS 165 (4.00),,
Cuyamaca College,UCI,Calc1,A,1,MATH 2A,MATH 178 (4.00); MATH 180 (5.00),,
Cuyamaca College,UCI,Calc2,A,1,MATH 2B,MATH 280 (4.00),,
Grossmont College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 293 (4.00); CSIS 294 (4.00),,
Grossmont College,UCI,Programming,A,1,I&C SCI 45C,CSIS 296 (4.00); CSIS 297 (4.00),,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Cuyamaca College,UCI,Programming,C,1,I&C SCI 51,CS 165 (4.00),,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
Cuyamaca College,UCI,Programming,F,1,I&C SCI 6B,CS 240 (3.00),,
Cuyamaca College,UCI,Programming,G,1,I&C SCI 6D,STAT C1000 (4.00); MATH 245 (3.00),,
