College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Hartnell College,UCB,Calc1,A,1,MATH 51,MAT 3A (4.00),
Hartnell College,UCB,Calc2,A,1,MATH 52,MAT 3B (4.00),
Hartnell College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 4 (3.00); MAT 5 (3.00),
Hartnell College,UCB,MultivariableCalc,A,1,MATH 53,MAT 3C (4.00),
Hartnell College,UCD,Calc1,A,1,MAT 021A,MAT 3A (4.00),
Hartnell College,UCD,Calc2,A,1,MAT 021B,MAT 3B (4.00),
Hartnell College,UCD,Calc3,A,1,MAT 021C,MAT 3C (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Hartnell College,UCD,DiscreteMath,A,1,ECS 020,CSS 7 (4.00),MAT 7 (4.00)
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated,
Hartnell College,UCD,Intro2,A,1,ECS 036B,CSS 2A (4.00),CSS 2B (4.00)
Hartnell College,UCD,Linear Algebra,A,1,MAT 022A,MAT 4 (3.00),
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
Hartnell College,UCI,Calc1,A,1,MATH 2A,MAT 3A (4.00),
Hartnell College,UCI,Calc2,A,1,MATH 2B,MAT 3B (4.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Hartnell College,UCLA,Calc1,A,1,MATH 31A,MAT 3A (4.00),
Hartnell College,UCLA,Calc2,A,1,MATH 31B,MAT 3B (4.00),
Hartnell College,UCLA,Calc3,A,1,MATH 32A,MAT 3C (4.00),
Hartnell College,UCLA,Calc4,A,1,MATH 32B,MAT 3C (4.00),
Hartnell College,UCLA,DifferentialEquations,A,1,MATH 33B,MAT 5 (3.00),
Hartnell College,UCLA,DiscreteStructures,A,1,MATH 61,CSS 7 (4.00),
Hartnell College,UCLA,Intro,A,1,COM SCI 31,CSS 2A (4.00),
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,
Hartnell College,UCLA,Intro3,A,1,COM SCI 33,CSS 3 (4.00),
Hartnell College,UCLA,LinearAlgebra,A,1,MATH 33A,MAT 4 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Hartnell College,UCM,Calc1,A,1,MATH 021,MAT 3A (4.00),
Hartnell College,UCM,Calc2,A,1,MATH 022,MAT 3B (4.00),
Hartnell College,UCM,DataStructures,A,1,CSE 030,CSS 2B (4.00),
Hartnell College,UCM,LinearAlgebra,A,1,MATH 024,MAT 4 (3.00); MAT 5 (3.00),
Hartnell College,UCM,VectorCalc,A,1,MATH 023,MAT 3C (4.00),
Hartnell College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A (4.00); MAT 3B (4.00),
Hartnell College,UCR,Intro1,A,1,CS 10A,CSS 2A (4.00),CSS 4 (4.00)
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,
Hartnell College,UCSB,Calc1,A,1,MATH 3A,MAT 3A (4.00),
Hartnell College,UCSB,Calc2,A,1,MATH 3B,MAT 3B (4.00),
Hartnell College,UCSB,DataStructures,A,1,CMPSC 24,CSS 2B (4.00),
Hartnell College,UCSB,DifferentialEquations,A,1,MATH 4B,MAT 5 (3.00),
Hartnell College,UCSB,DiscreteMath,A,1,CMPSC 40,CSS 7 (4.00),MAT 7 (4.00)
Hartnell College,UCSB,Intro,A,1,CMPSC 16,CSS 2A (4.00),
Hartnell College,UCSB,LinearAlgebra,A,1,MATH 4A,MAT 4 (3.00),
Hartnell College,UCSC,Calc1,A,1,MATH 19A,MAT 3A (4.00),
Hartnell College,UCSC,Calc2,A,1,MATH 19B,MAT 3B (4.00),
Hartnell College,UCSC,DiscreteMath,A,1,CSE 16,CSS 7 (4.00),
Hartnell College,UCSC,Intro,A,1,CSE 30,CSS 2B (4.00); CSS 4 (4.00),
Hartnell College,UCSC,Organization,A,1,CSE 12,CSS 3 (4.00),
Hartnell College,UCSD,Calc1,A,1,MATH 20A,MAT 3A (4.00),
Hartnell College,UCSD,Calc2,A,1,MATH 20B,MAT 3B (4.00),
Hartnell College,UCSD,Calc3,A,1,MATH 20C,MAT 3C (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Hartnell College,UCSD,DiscreteMath,A,1,CSE 20,MAT 7 (4.00),
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated,
Hartnell College,UCSD,LinearAlgebra,A,1,MATH 18,MAT 4 (3.00),
