College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Los Angeles Pierce College,UCB,Calc1,A,1,MATH 51,MATH 261 (5.00),,,
Los Angeles Pierce College,UCB,Calc2,A,1,MATH 52,MATH 262 (5.00),,,
Los Angeles Pierce College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
Los Angeles Pierce College,UCB,MultivariableCalc,A,1,MATH 53,MATH 263 (5.00),,,
Los Angeles Pierce College,UCD,Calc1,A,1,MAT 021A,MATH 261 (5.00),,,
Los Angeles City College,UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 261 (5.00); MATH 262 (5.00); MATH 263 (5.00),MATH 261S (5.00); MATH 262 (5.00); MATH 263 (5.00),,
Los Angeles City College,UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 261 (5.00); MATH 262 (5.00); MATH 263 (5.00),MATH 261S (5.00); MATH 262 (5.00); MATH 263 (5.00),,
Los Angeles Pierce College,UCD,Calc2,A,1,MAT 021B,MATH 262 (5.00),,,
Los Angeles Harbor College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 266 (5.00); MATH 267 (5.00),,,
Los Angeles City College,UCD,Calc3,A,2,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 261 (5.00); MATH 262 (5.00); MATH 263 (5.00),MATH 261S (5.00); MATH 262 (5.00); MATH 263 (5.00),,
Los Angeles Harbor College,UCD,Calc3,A,2,MAT 021B; MAT 021C; MAT 021D,MATH 266 (5.00); MATH 267 (5.00),,,
Los Angeles Pierce College,UCD,Calc3,A,1,MAT 021C,MATH 263 (5.00),,,
West Los Angeles College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 263 (5.00),,,
Los Angeles Pierce College,UCD,DataStructures,A,1,ECS 036C,CS 136 (3.00),,,
Los Angeles Pierce College,UCD,DiscreteMath,A,1,ECS 020,CS 131 (3.00),,,
Los Angeles Pierce College,UCD,Intro1,A,1,ECS 036A,CS 114 (3.00),CS 213 (3.00),,
Los Angeles Pierce College,UCD,Intro2,A,1,ECS 036B,CS 216 (3.00),,,
Los Angeles Pierce College,UCD,Linear Algebra,A,1,MAT 022A,MATH 270 (3.00),,,
Los Angeles Pierce College,UCD,Organization,A,1,ECS 050,CS 130 (3.00),,,
Los Angeles Pierce College,UCI,Calc1,A,1,MATH 2A,MATH 261 (5.00),,,
Los Angeles Pierce College,UCI,Calc2,A,1,MATH 2B,MATH 262 (5.00),,,
West Los Angeles College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 119 (3.00),,,
West Los Angeles College,UCI,Programming,A,1,I&C SCI 45C,CS 216 (3.00),,,
Los Angeles Pierce College,UCI,Programming,B,1,I&C SCI 46,CS 136 (3.00),,,
Los Angeles Harbor College,UCI,Programming,C,1,I&C SCI 51,CS 130 (3.00),,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,
East Los Angeles College,UCI,Programming,F,1,I&C SCI 6B,MATH 272 (5.00),,,
Los Angeles Pierce College,UCI,Programming,G,1,I&C SCI 6D,CS 131 (3.00),,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,,
Los Angeles Pierce College,UCLA,Calc1,A,1,MATH 31A,MATH 261 (5.00),,,
Los Angeles Pierce College,UCLA,Calc2,A,1,MATH 31B,MATH 262 (5.00),,,
Los Angeles Pierce College,UCLA,Calc3,A,1,MATH 32A,MATH 263 (5.00),,,
Los Angeles Pierce College,UCLA,Calc4,A,1,MATH 32B,MATH 263 (5.00),,,
Los Angeles Pierce College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275 (3.00),,,
Los Angeles Pierce College,UCLA,DiscreteStructures,A,1,MATH 61,CS 131 (3.00),,,
Los Angeles Pierce College,UCLA,Intro,A,1,COM SCI 31,CS 216 (3.00),,,
Los Angeles Pierce College,UCLA,Intro2,A,1,COM SCI 32,CS 136 (3.00),,,
Los Angeles Pierce College,UCLA,Intro3,A,1,COM SCI 33,CS 130 (3.00),,,
Los Angeles Pierce College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270 (3.00),,,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,,
Los Angeles Pierce College,UCM,Calc1,A,1,MATH 021,MATH 261 (5.00),,,
Los Angeles Pierce College,UCM,Calc2,A,1,MATH 022,MATH 262 (5.00),,,
Los Angeles Pierce College,UCM,DataStructures,A,1,CSE 030,CS 136 (3.00),,,
Los Angeles Pierce College,UCM,LinearAlgebra,A,1,MATH 024,MATH 270 (3.00); MATH 275 (3.00),,,
Los Angeles Pierce College,UCM,VectorCalc,A,1,MATH 023,MATH 263 (5.00),,,
Los Angeles Pierce College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261 (5.00); MATH 262 (5.00),,,
Los Angeles Pierce College,UCR,Intro1,A,1,CS 10A,CS 114 (3.00),CS 213 (3.00),,
Los Angeles Pierce College,UCR,Intro2,A,1,CS 10B,CS 216 (3.00),,,
Los Angeles Pierce College,UCSB,Calc1,A,1,MATH 3A,MATH 261 (5.00),,,
Los Angeles Pierce College,UCSB,Calc2,A,1,MATH 3B,MATH 262 (5.00),,,
