College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of Marin,UCB,Calc1,A,1,MATH 51,MATH 123 (5.00),
College of Marin,UCB,Calc2,A,1,MATH 52,MATH 124 (5.00),
College of Marin,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 116 (4.00); MATH 224 (4.00),MATH 216 (5.00)
College of Marin,UCB,MultivariableCalc,A,1,MATH 53,MATH 223 (5.00),
College of Marin,UCD,Calc1,A,1,MAT 021A,MATH 123 (5.00),
College of Marin,UCD,Calc2,A,1,MAT 021B,MATH 124 (5.00),
College of Marin,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 223 (5.00),
College of Marin,UCD,DataStructures,A,1,ECS 036C,COMP 220 (4.00),
College of Marin,UCD,DiscreteMath,A,1,ECS 020,COMP 117 (3.00),MATH 117 (3.00)
College of Marin,UCD,Intro1,A,1,ECS 036A,COMP 130 (4.00),COMP 135 (4.00)
College of Marin,UCD,Intro2,A,1,ECS 036B,COMP 232 (4.00),COMP 235 (4.00)
College of Marin,UCD,Organization,A,1,ECS 050,COMP 160 (3.00),
College of Marin,UCI,Calc1,A,1,MATH 2A,MATH 123 (5.00),
College of Marin,UCI,Calc2,A,1,MATH 2B,MATH 124 (5.00),
College of Marin,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 135 (4.00); COMP 232 (4.00),COMP 130 (4.00); COMP 235 (4.00)
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
College of Marin,UCI,Programming,G,1,I&C SCI 6D,MATH 117 (3.00),COMP 117 (3.00)
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
College of Marin,UCLA,Calc1,A,1,MATH 31A,MATH 123 (5.00),
College of Marin,UCLA,Calc2,A,1,MATH 31B,MATH 124 (5.00),
College of Marin,UCLA,Calc3,A,1,MATH 32A,MATH 223 (5.00),
College of Marin,UCLA,Calc4,A,1,MATH 32B,MATH 223 (5.00),
College of Marin,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 224 (4.00),MATH 216 (5.00)
College of Marin,UCLA,Intro,A,1,COM SCI 31,COMP 235 (4.00),
College of Marin,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 116 (4.00),MATH 216 (5.00)
College of Marin,UCM,Calc1,A,1,MATH 021,MATH 123 (5.00),
College of Marin,UCM,Calc2,A,1,MATH 022,MATH 124 (5.00),
College of Marin,UCM,DataStructures,A,1,CSE 030,COMP 220 (4.00),
College of Marin,UCM,Intro,A,1,CSE 022,COMP 130 (4.00),COMP 135 (4.00)
College of Marin,UCM,LinearAlgebra,A,1,MATH 024,MATH 116 (4.00); MATH 224 (4.00),MATH 216 (5.00)
College of Marin,UCM,VectorCalc,A,1,MATH 023,MATH 223 (5.00),
College of Marin,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 123 (5.00); MATH 124 (5.00),
College of Marin,UCR,Intro1,A,1,CS 10A,COMP 130 (4.00),COMP 135 (4.00)
College of Marin,UCR,Intro2,A,1,CS 10B,COMP 235 (4.00),
College of Marin,UCSB,Calc1,A,1,MATH 3A,MATH 123 (5.00),
College of Marin,UCSB,Calc2,A,1,MATH 3B,MATH 124 (5.00),
College of Marin,UCSB,DataStructures,A,1,CMPSC 24,COMP 220 (4.00),
College of Marin,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 224 (4.00),MATH 216 (5.00)
College of Marin,UCSB,DiscreteMath,A,1,CMPSC 40,COMP 117 (3.00),MATH 117 (3.00)
College of Marin,UCSB,Intro,A,1,CMPSC 16,COMP 130 (4.00),
College of Marin,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 116 (4.00),MATH 216 (5.00)
College of Marin,UCSC,Calc1,A,1,MATH 19A,MATH 123 (5.00),
College of Marin,UCSC,Calc2,A,1,MATH 19B,MATH 124 (5.00),
College of Marin,UCSC,DiscreteMath,A,1,CSE 16,COMP 117 (3.00),MATH 117 (3.00)
College of Marin,UCSC,Intro,A,1,CSE 30,COMP 220 (4.00),
College of Marin,UCSC,Organization,A,1,CSE 12,COMP 160 (3.00),
College of Marin,UCSD,Calc1,A,1,MATH 20A,MATH 123 (5.00),
College of Marin,UCSD,Calc2,A,1,MATH 20B,MATH 124 (5.00),
College of Marin,UCSD,Calc3,A,1,MATH 20C,MATH 223 (5.00),
College of Marin,UCSD,DataStructures,A,1,CSE 12,COMP 220 (4.00),
College of Marin,UCSD,DiscreteMath,A,1,CSE 20,COMP 117 (3.00),
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
College of Marin,UCSD,LinearAlgebra,A,1,MATH 18,MATH 116 (4.00),
