College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Merced College,UCB,Calc1,A,1,MATH 51,MATH -04A (4.00),,
Merced College,UCB,Calc2,A,1,MATH 52,MATH -04B (4.00),,
Merced College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH -06 (3.00); MATH -08 (3.00),,
Merced College,UCB,MultivariableCalc,A,1,MATH 53,MATH -04C (4.00),,
Merced College,UCD,Calc1,A,1,MAT 021A,MATH -04A (4.00),,
Merced College,UCD,Calc2,A,1,MAT 021B,MATH -04B (4.00),,
Merced College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH -04C (4.00),,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Merced College,UCD,DiscreteMath,A,1,ECS 020,CPSC -07 (3.00),MATH -07 (3.00),
Merced College,UCD,Intro1,A,1,ECS 036A,CPSC -06 (3.00),CPSC -14 (3.00),ENGR -14 (3.00)
Merced College,UCD,Intro2,A,1,ECS 036B,CPSC -39 (4.00),,
Merced College,UCD,Linear Algebra,A,1,MAT 022A,MATH -08 (3.00),,
Merced College,UCD,Organization,A,1,ECS 050,CPSC -42 (3.00),,
Merced College,UCI,Calc1,A,1,MATH 2A,MATH -04A (4.00),,
Merced College,UCI,Calc2,A,1,MATH 2B,MATH -04B (4.00),,
Merced College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CTIS -04 (3.00); CTIS -14 (3.00),,
Merced College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14 (3.00); CPSC -25 (4.00),,
Merced College,UCI,Programming,A,1,I&C SCI 45C,ENGR -14 (3.00); CPSC -25 (4.00),,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
Merced College,UCI,Programming,F,1,I&C SCI 6B,CPSC -07 (3.00),,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
Merced College,UCLA,Calc1,A,1,MATH 31A,MATH -04A (4.00),,
Merced College,UCLA,Calc2,A,1,MATH 31B,MATH -04B (4.00),,
Merced College,UCLA,Calc3,A,1,MATH 32A,MATH -04C (4.00),,
Merced College,UCLA,Calc4,A,1,MATH 32B,MATH -04C (4.00),,
Merced College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH -06 (3.00),,
Merced College,UCLA,DiscreteStructures,A,1,MATH 61,CPSC -07 (3.00),,
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,,
Not Articulated,UCLA,Intro3,A,1,COM SCI 33,Not Articulated,,
Merced College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH -08 (3.00),,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,
Merced College,UCM,Calc1,A,1,MATH 021,MATH -04A (4.00),MATH -04AS (5.00),
Merced College,UCM,Calc2,A,1,MATH 022,MATH -04B (4.00),,
Merced College,UCM,DataStructures,A,1,CSE 030,CPSC -39 (4.00),,
Merced College,UCM,LinearAlgebra,A,1,MATH 024,MATH -06 (3.00); MATH -08 (3.00),MATH -09 (4.00),
Merced College,UCM,VectorCalc,A,1,MATH 023,MATH -04C (4.00),,
Merced College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A (4.00); MATH -04B (4.00),,
Merced College,UCR,Intro1,A,1,CS 10A,CPSC -14 (3.00),,
Merced College,UCR,Intro2,A,1,CS 10B,CPSC -39 (4.00),,
Merced College,UCSB,Calc1,A,1,MATH 3A,MATH -04A (4.00),MATH -04AS (5.00),
Merced College,UCSB,Calc2,A,1,MATH 3B,MATH -04B (4.00),,
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,,
Merced College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH -06 (3.00),MATH -09 (4.00),
Merced College,UCSB,DiscreteMath,A,1,CMPSC 40,CPSC -07 (3.00),MATH -07 (3.00),
Merced College,UCSB,Intro,A,1,CMPSC 16,CPSC -14 (3.00),ENGR -14 (3.00),
Merced College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH -08 (3.00),MATH -09 (4.00),
Merced College,UCSC,Calc1,A,1,MATH 19A,MATH -04A (4.00),,
Merced College,UCSC,Calc2,A,1,MATH 19B,MATH -04B (4.00),,
Merced College,UCSC,DataStructures,A,1,CSE 12,CPSC -42 (3.00),,
Merced College,UCSC,DiscreteMath,A,1,CSE 16,CPSC -07 (3.00),MATH -07 (3.00),
Merced College,UCSC,Intro,A,1,CSE 30,CPSC -39 (4.00),,
Merced College,UCSD,Calc1,A,1,MATH 20A,MATH -04A (4.00),,
Merced College,UCSD,Calc2,A,1,MATH 20B,MATH -04B (4.00),,
Merced College,UCSD,Calc3,A,1,MATH 20C,MATH -04C (4.00),,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Merced College,UCSD,DiscreteMath,A,1,CSE 20,MATH -07 (3.00),,
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated,,
Merced College,UCSD,LinearAlgebra,A,1,MATH 18,MATH -08 (3.00),,
