College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
MiraCosta College,UCB,Calc1,A,1,MATH 51,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCB,Calc2,A,1,MATH 52,MATH 155 (4.00),,
MiraCosta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 265 (4.00); MATH 270 (4.00),,
MiraCosta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 260 (4.00),,
MiraCosta College,UCD,Calc1,A,1,MAT 021A,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCD,Calc2,A,1,MAT 021B,MATH 155 (4.00),,
MiraCosta College,UCD,Calc3,A,1,MAT 021C,MATH 260 (4.00),,
MiraCosta College,UCD,DataStructures,A,1,ECS 036C,CS 113 (3.00),,
MiraCosta College,UCD,DiscreteMath,A,1,ECS 020,CS 226 (4.00),MATH 226 (4.00),
MiraCosta College,UCD,Intro1,A,1,ECS 036A,CS 111 (3.00),CS 150 (3.00),CS 138 (3.00)
MiraCosta College,UCD,Intro2,A,1,ECS 036B,CS 112 (3.00),CS 151 (3.00),
MiraCosta College,UCD,Linear Algebra,A,1,MAT 022A,MATH 270 (4.00),,
MiraCosta College,UCD,Organization,A,1,ECS 050,CS 220 (3.00),,
MiraCosta College,UCI,Calc1,A,1,MATH 2A,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCI,Calc2,A,1,MATH 2B,MATH 155 (4.00),,
MiraCosta College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS 138 (3.00); CS 139 (3.00),,
MiraCosta College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111 (3.00); CS 112 (3.00),CS 150 (3.00); CS 151 (3.00),
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
MiraCosta College,UCI,Programming,E,1,IN4MATX 43,CS 210 (3.00),,
MiraCosta College,UCI,Programming,F,1,I&C SCI 6B,CS 226 (4.00),MATH 226 (4.00),
MiraCosta College,UCI,Programming,G,1,I&C SCI 6D,CS 226 (4.00),MATH 226 (4.00),
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
