College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Monterey Peninsula College,UCB,Calc1,A,1,MATH 51,MATH 20A (4.00),
Monterey Peninsula College,UCB,Calc2,A,1,MATH 52,MATH 20B (4.00),
Monterey Peninsula College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 31 (4.00); MATH 32 (4.00),
Monterey Peninsula College,UCB,MultivariableCalc,A,1,MATH 53,MATH 20C (4.00),
Monterey Peninsula College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH 20A (4.00); MATH 20B (4.00),
Monterey Peninsula College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH 20A (4.00); MATH 20B (4.00),
Monterey Peninsula College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 20B (4.00); MATH 20C (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Monterey Peninsula College,UCD,DiscreteMath,A,1,ECS 020,MATH 40 (3.00),CSCI 12 (3.00)
Monterey Peninsula College,UCD,Intro1,A,1,ECS 036A,CSCI 10B (4.00),
Monterey Peninsula College,UCD,Intro2,A,1,ECS 036B,CSCI 10C (4.00),
Monterey Peninsula College,UCD,Linear Algebra,A,1,MAT 022A,MATH 31 (4.00),
Monterey Peninsula College,UCD,Organization,A,1,ECS 050,CSCI 11 (3.00),
Monterey Peninsula College,UCI,Calc1,A,1,MATH 2A,MATH 20A (4.00),
Monterey Peninsula College,UCI,Calc2,A,1,MATH 2B,MATH 20B (4.00),
Monterey Peninsula College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 10A (4.00); CSCI 10B (4.00); CSCI 10C (4.00),
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Monterey Peninsula College,UCI,Programming,F,1,I&C SCI 6B,CSCI 12 (3.00),
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Monterey Peninsula College,UCLA,Calc1,A,1,MATH 31A,MATH 20A (4.00),
Monterey Peninsula College,UCLA,Calc2,A,1,MATH 31B,MATH 20B (4.00),
Monterey Peninsula College,UCLA,Calc3,A,1,MATH 32A,MATH 20C (4.00),
Monterey Peninsula College,UCLA,Calc4,A,1,MATH 32B,MATH 20C (4.00),
Monterey Peninsula College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 32 (4.00),
Monterey Peninsula College,UCLA,DiscreteStructures,A,1,MATH 61,MATH 40 (3.00),
Monterey Peninsula College,UCLA,Intro,A,1,COM SCI 31,CSCI 10C (4.00),
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,
Monterey Peninsula College,UCLA,Intro3,A,1,COM SCI 33,CSCI 11 (3.00),
Monterey Peninsula College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 31 (4.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Monterey Peninsula College,UCM,Calc1,A,1,MATH 021,MATH 20A (4.00),
Monterey Peninsula College,UCM,Calc2,A,1,MATH 022,MATH 20B (4.00),
Monterey Peninsula College,UCM,DataStructures,A,1,CSE 030,CSCI 10B (4.00),
Monterey Peninsula College,UCM,LinearAlgebra,A,1,MATH 024,MATH 31 (4.00); MATH 32 (4.00),
Monterey Peninsula College,UCM,VectorCalc,A,1,MATH 023,MATH 20C (4.00),
Monterey Peninsula College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 20A (4.00); MATH 20B (4.00),
Monterey Peninsula College,UCR,Intro1,A,1,CS 10A,CSCI 10A (4.00),CSCI 10C (4.00)
Monterey Peninsula College,UCR,Intro2,A,1,CS 10B,CSCI 10B (4.00),
Monterey Peninsula College,UCSB,Calc1,A,1,MATH 3A,MATH 20A (4.00),
Monterey Peninsula College,UCSB,Calc2,A,1,MATH 3B,MATH 20B (4.00),
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
Monterey Peninsula College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 32 (4.00),
Monterey Peninsula College,UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 12 (3.00),MATH 40 (3.00)
Monterey Peninsula College,UCSB,Intro,A,1,CMPSC 16,CSCI 10C (4.00),
Monterey Peninsula College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 31 (4.00),
Monterey Peninsula College,UCSC,Calc1,A,1,MATH 19A,MATH 20A (4.00),
Monterey Peninsula College,UCSC,Calc2,A,1,MATH 19B,MATH 20B (4.00),
Monterey Peninsula College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 12 (3.00),MATH 40 (3.00)
Monterey Peninsula College,UCSC,Intro,A,1,CSE 30,CSCI 10B (4.00),
Monterey Peninsula College,UCSC,Organization,A,1,CSE 12,CSCI 11 (3.00),
Monterey Peninsula College,UCSD,Calc1,A,1,MATH 20A,MATH 20A (4.00),
Monterey Peninsula College,UCSD,Calc2,A,1,MATH 20B,MATH 20B (4.00),
Monterey Peninsula College,UCSD,Calc3,A,1,MATH 20C,MATH 20C (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Monterey Peninsula College,UCSD,DiscreteMath,A,1,CSE 20,MATH 40 (3.00),
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated,
Monterey Peninsula College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 31 (4.00),
