College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Mt. San Jacinto College,UCB,Calc1,A,1,MATH 51,MATH- 211 (4.00),MATH- 211H (4.00),
Mt. San Jacinto College,UCB,Calc2,A,1,MATH 52,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH- 215 (4.00); MATH- 218 (3.00),MATH- 215H (4.00); MATH- 218 (3.00),
Mt. San Jacinto College,UCB,MultivariableCalc,A,1,MATH 53,MATH- 213 (5.00),MATH- 213H (5.00),
Mt. San Jacinto College,UCD,Calc1,A,1,MAT 021A,MATH- 211 (4.00),,
Mt. San Jacinto College,UCD,Calc2,A,1,MAT 021B,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCD,Calc3,A,1,MAT 021C,MATH- 213 (5.00),MATH- 213H (5.00),
Mt. San Jacinto College,UCD,DataStructures,A,1,ECS 036C,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCD,DiscreteMath,A,1,ECS 020,CSIS- 213 (3.00),,
Mt. San Jacinto College,UCD,Intro1,A,1,ECS 036A,CSIS- 113A (3.00),CSIS- 113B (3.00),
Mt. San Jacinto College,UCD,Intro2,A,1,ECS 036B,CSIS- 123A (3.00),CSIS- 123B (3.00),
Mt. San Jacinto College,UCD,Linear Algebra,A,1,MAT 022A,MATH- 218 (3.00),,
Mt. San Jacinto College,UCD,Organization,A,1,ECS 050,CSIS- 118B (3.00),,
Mt. San Jacinto College,UCI,Calc1,A,1,MATH 2A,MATH- 211 (4.00),MATH- 211H (4.00),
Mt. San Jacinto College,UCI,Calc2,A,1,MATH 2B,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS- 113A (3.00); CSIS- 123A (3.00),CSIS- 113B (3.00); CSIS- 123B (3.00),CSIS- 116E (3.00); CSIS- 126E (3.00)
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
Mt. San Jacinto College,UCI,Programming,F,1,I&C SCI 6B,CSIS- 213 (3.00),,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
Mt. San Jacinto College,UCLA,Calc1,A,1,MATH 31A,MATH- 211 (4.00),,
Mt. San Jacinto College,UCLA,Calc2,A,1,MATH 31B,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCLA,Calc3,A,1,MATH 32A,MATH- 213 (5.00),MATH- 213H (5.00),
Mt. San Jacinto College,UCLA,Calc4,A,1,MATH 32B,MATH- 213 (5.00),MATH- 213H (5.00),
Mt. San Jacinto College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH- 215 (4.00),,
Mt. San Jacinto College,UCLA,DiscreteStructures,A,1,MATH 61,CSIS- 213 (3.00),,
Mt. San Jacinto College,UCLA,Intro,A,1,COM SCI 31,CSIS- 113A (3.00),,
Mt. San Jacinto College,UCLA,Intro2,A,1,COM SCI 32,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCLA,Intro3,A,1,COM SCI 33,CSIS- 118B (3.00),,
Mt. San Jacinto College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH- 218 (3.00),,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,
Mt. San Jacinto College,UCM,Calc1,A,1,MATH 021,MATH- 211 (4.00),,
Mt. San Jacinto College,UCM,Calc2,A,1,MATH 022,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCM,DataStructures,A,1,CSE 030,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCM,LinearAlgebra,A,1,MATH 024,MATH- 215 (4.00); MATH- 215H (4.00),MATH- 218 (3.00),
Mt. San Jacinto College,UCM,VectorCalc,A,1,MATH 023,MATH- 213 (5.00),MATH- 213H (5.00),
Mt. San Jacinto College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH- 211 (4.00); MATH- 212 (4.00),,
Mt. San Jacinto College,UCR,Intro1,A,1,CS 10A,CSIS- 113A (3.00),,
Mt. San Jacinto College,UCR,Intro2,A,1,CS 10B,CSIS- 123A (3.00),,
Mt. San Jacinto College,UCSB,Calc1,A,1,MATH 3A,MATH- 211 (4.00),MATH- 211H (4.00),
Mt. San Jacinto College,UCSB,Calc2,A,1,MATH 3B,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCSB,DataStructures,A,1,CMPSC 24,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH- 215 (4.00),MATH- 215H (4.00),
Mt. San Jacinto College,UCSB,DiscreteMath,A,1,CMPSC 40,CSIS- 213 (3.00),,
Mt. San Jacinto College,UCSB,Intro,A,1,CMPSC 16,CSIS- 113A (3.00),,
Mt. San Jacinto College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH- 218 (3.00),,
Mt. San Jacinto College,UCSC,Calc1,A,1,MATH 19A,MATH- 211 (4.00),MATH- 211H (4.00),
Mt. San Jacinto College,UCSC,Calc2,A,1,MATH 19B,MATH- 212 (4.00),MATH- 212H (4.00),
Mt. San Jacinto College,UCSC,DataStructures,A,1,CSE 12,CSIS- 118B (3.00),,
Mt. San Jacinto College,UCSC,DiscreteMath,A,1,CSE 16,CSIS- 213 (3.00),,
Mt. San Jacinto College,UCSC,Intro,A,1,CSE 30,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCSD,Calc1,A,1,MATH 20A,MATH- 211 (4.00),,
Mt. San Jacinto College,UCSD,Calc2,A,1,MATH 20B,MATH- 212 (4.00),,
Mt. San Jacinto College,UCSD,Calc3,A,1,MATH 20C,MATH- 213 (5.00),,
Mt. San Jacinto College,UCSD,DataStructures,A,1,CSE 12,CSIS- 211 (3.00),,
Mt. San Jacinto College,UCSD,DiscreteMath,A,1,CSE 20,CSIS- 213 (3.00),,
Mt. San Jacinto College,UCSD,Intro,A,1,CSE 11,CSIS- 123B (3.00),,
Mt. San Jacinto College,UCSD,LinearAlgebra,A,1,MATH 18,MATH- 218 (3.00),,
