College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Ohlone College,UCB,Calc1,A,1,MATH 51,MATH 101A (5.00),,
Ohlone College,UCB,Calc2,A,1,MATH 52,MATH 101B (5.00),,
Ohlone College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 103 (3.00); MATH 104 (5.00),,
Ohlone College,UCB,MultivariableCalc,A,1,MATH 53,MATH 101C (5.00),,
Ohlone College,UCD,Calc1,A,1,MAT 021A,MATH 101A (5.00),,
Ohlone College,UCD,Calc2,A,1,MAT 021B; MAT 021C,MATH 101B (5.00); MATH 101C (5.00),,
Ohlone College,UCD,Calc3,A,1,MAT 021B; MAT 021C,MATH 101B (5.00); MATH 101C (5.00),,
Ohlone College,UCD,DataStructures,A,1,ECS 036C,CS 124 (3.00),,
Ohlone College,UCD,DiscreteMath,A,1,ECS 020,CS 113 (3.00),,
Ohlone College,UCD,Intro1,A,1,ECS 036A,CS 102 (3.00),,
Ohlone College,UCD,Intro2,A,1,ECS 036B,CS 116 (4.00),CS 170 (4.00),
Ohlone College,UCD,Organization,A,1,ECS 050,CS 118 (3.00),,
Ohlone College,UCI,Calc1,A,1,MATH 2A,MATH 101A (5.00),,
Ohlone College,UCI,Calc2,A,1,MATH 2B,MATH 101B (5.00),,
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
Ohlone College,UCI,Programming,A,1,I&C SCI 45C,CS 102 (3.00); CS 116 (4.00),,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,,
Ohlone College,UCI,Programming,G,1,I&C SCI 6D,CS 113 (3.00),,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
Ohlone College,UCLA,Calc1,A,1,MATH 31A,MATH 101A (5.00),,
Ohlone College,UCLA,Calc2,A,1,MATH 31B,MATH 101B (5.00),,
Ohlone College,UCLA,Calc3,A,1,MATH 32A,MATH 101C (5.00),,
Ohlone College,UCLA,Calc4,A,1,MATH 32B,MATH 101C (5.00),,
Ohlone College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 104 (5.00),,
Ohlone College,UCLA,Intro,A,1,COM SCI 31,CS 102 (3.00),CS 116 (4.00),
Ohlone College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 103 (3.00),,
Ohlone College,UCM,Calc1,A,1,MATH 021,MATH 101A (5.00),,
Ohlone College,UCM,Calc2,A,1,MATH 022,MATH 101B (5.00),,
Ohlone College,UCM,DataStructures,A,1,CSE 030,CS 124 (3.00),,
Ohlone College,UCM,Intro,A,1,CSE 022,CS 102 (3.00),CS 125 (4.00),CS 142 (4.00)
Ohlone College,UCM,LinearAlgebra,A,1,MATH 024,MATH 103 (3.00); MATH 104 (5.00),,
Ohlone College,UCM,VectorCalc,A,1,MATH 023,MATH 101C (5.00),,
Ohlone College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 101A (5.00); MATH 101B (5.00),,
Ohlone College,UCR,Intro1,A,1,CS 10A,CS 102 (3.00),,
Ohlone College,UCR,Intro2,A,1,CS 10B,CS 116 (4.00),CS 170 (4.00),
Ohlone College,UCSB,Calc1,A,1,MATH 3A,MATH 101A (5.00),,
Ohlone College,UCSB,Calc2,A,1,MATH 3B,MATH 101B (5.00),,
Ohlone College,UCSB,DataStructures,A,1,CMPSC 24,CS 124 (3.00),,
Ohlone College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 104 (5.00),,
Ohlone College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 113 (3.00),,
Ohlone College,UCSB,Intro,A,1,CMPSC 16,CS 102 (3.00),,
Ohlone College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 103 (3.00),,
Ohlone College,UCSC,Calc1,A,1,MATH 19A,MATH 101A (5.00),,
Ohlone College,UCSC,Calc2,A,1,MATH 19B,MATH 101B (5.00),,
Ohlone College,UCSC,DiscreteMath,A,1,CSE 16,CS 113 (3.00),,
Ohlone College,UCSC,Intro,A,1,CSE 30,CS 124 (3.00),,
Ohlone College,UCSC,Organization,A,1,CSE 12,CS 118 (3.00),,
Ohlone College,UCSD,Calc1,A,1,MATH 20A,MATH 101A (5.00),,
Ohlone College,UCSD,Calc2,A,1,MATH 20B,MATH 101B (5.00),,
Ohlone College,UCSD,Calc3,A,1,MATH 20C,MATH 101C (5.00),,
Ohlone College,UCSD,DataStructures,A,1,CSE 12,CS 124 (3.00),,
Ohlone College,UCSD,DiscreteMath,A,1,CSE 20,CS 113 (3.00),,
Ohlone College,UCSD,Intro,B,1,CSE 11,CS 170 (4.00),,
Ohlone College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 103 (3.00),,
