College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
Pasadena City College,UCB,Calc1,A,1,MATH 51,MATH 005A (5.00); MATH 005AH (5.00); MATH 005AE (5.50),,,,,
Pasadena City College,UCB,Calc2,A,1,MATH 52,MATH 005B (5.00); MATH 055 (4.00),MATH 005BH (5.00); MATH 055H (4.00),MATH 005BE (5.50); MATH 055 (4.00),MATH 005BE (5.50); MATH 055H (4.00),,
Pasadena City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 010 (4.00); MATH 055 (4.00),MATH 010H (4.00); MATH 055H (4.00),,,,
Pasadena City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 005C (5.00),MATH 005CH (5.00),,,,
Pasadena City College,UCD,Calc1,A,1,MAT 021A,MATH 005A (5.00),MATH 005AH (5.00),,,,
Pasadena City College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 005B (5.00); MATH 005C (5.00),MATH 005BE (5.50); MATH 005C (5.00),MATH 005BH (5.00); MATH 005C (5.00),MATH 005B (5.00); MATH 005CH (5.00),MATH 005BE (5.50); MATH 005CH (5.00),MATH 005BH (5.00); MATH 005CH (5.00)
Pasadena City College,UCD,Calc3,A,2,MAT 021B; MAT 021C; MAT 021D,MATH 005B (5.00); MATH 005C (5.00),MATH 005BE (5.50); MATH 005C (5.00),MATH 005BH (5.00); MATH 005C (5.00),MATH 005B (5.00); MATH 005CH (5.00),MATH 005BE (5.50); MATH 005CH (5.00),MATH 005BH (5.00); MATH 005CH (5.00)
Pasadena City College,UCD,DataStructures,A,1,ECS 036C,CS 008 (3.00); CS 008L (1.00),,,,,
Pasadena City College,UCD,DiscreteMath,A,1,ECS 020,CS 045 (4.00),MATH 022 (4.00),,,,
Pasadena City College,UCD,Intro1,A,1,ECS 036A,CS 002 (4.00),CS 003B (3.00),CS 003C (3.00),,,
Pasadena City College,UCD,Intro2,A,1,ECS 036B,CS 003A (3.00),,,,,
Pasadena City College,UCD,Linear Algebra,A,1,MAT 022A,MATH 010 (4.00),MATH 010H (4.00),,,,
Pasadena City College,UCD,Organization,A,1,ECS 050,CS 066 (3.00),,,,,
Pasadena City College,UCI,Calc1,A,1,MATH 2A,BUS 014B (4.00); MATH 005A (5.00); MATH 005AE (5.50); MATH 005AH (5.00); MATH 006A (3.00),,,,,
Pasadena City College,UCI,Calc2,A,1,MATH 2B,MATH 005B (5.00); MATH 005BE (5.50); MATH 005BH (5.00),,,,,
Pasadena City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 002 (4.00); CS 003B (3.00); CS 003BL (1.00),CS 002 (4.00); CS 003C (3.00); CS 003CL (1.00),CS 003B (3.00); CS 003BL (1.00); CS 033 (3.00),CS 003C (3.00); CS 003CL (1.00); CS 034 (3.00),,
Pasadena City College,UCI,Programming,A,1,I&C SCI 45C,CS 002 (4.00); CS 003A (3.00); CS 003AL (1.00),CS 003A (3.00); CS 003AL (1.00); CS 008 (3.00); CS 008L (1.00),,,,
Pasadena City College,UCI,Programming,B,1,I&C SCI 46,CS 008 (3.00),,,,,
Pasadena City College,UCI,Programming,C,1,I&C SCI 51,CS 066 (3.00); CS 066L (1.00),,,,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,,,
Pasadena City College,UCI,Programming,F,1,I&C SCI 6B,CS 045 (4.00); MATH 022 (4.00),,,,,
Pasadena City College,UCI,Programming,G,1,I&C SCI 6D,MATH 022 (4.00),,,,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,,,,
Pasadena City College,UCLA,Calc1,A,1,MATH 31A,MATH 005A (5.00),MATH 005AH (5.00),MATH 005AE (5.50),,,
Pasadena City College,UCLA,Calc2,A,1,MATH 31B,MATH 005B (5.00),MATH 005BH (5.00),MATH 005BE (5.50),,,
Pasadena City College,UCLA,Calc3,A,1,MATH 32A,MATH 005C (5.00),MATH 005CH (5.00),,,,
Pasadena City College,UCLA,Calc4,A,1,MATH 32B,MATH 005C (5.00),MATH 005CH (5.00),,,,
Pasadena City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 055 (4.00),MATH 055H (4.00),,,,
Pasadena City College,UCLA,DiscreteStructures,A,1,MATH 61,MATH 022 (4.00),,,,,
Pasadena City College,UCLA,Intro,A,1,COM SCI 31,CS 003A (3.00); CS 003AL (1.00),,,,,
Pasadena City College,UCLA,Intro2,A,1,COM SCI 32,CS 008 (3.00); CS 008L (1.00),,,,,
Pasadena City College,UCLA,Intro3,A,1,COM SCI 33,CS 066 (3.00); CS 066L (1.00),,,,,
Pasadena City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 010 (4.00),MATH 010H (4.00),,,,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,,,,
Pasadena City College,UCM,Calc1,A,1,MATH 021,MATH 005A (5.00),MATH 005AH (5.00),,,,
Pasadena City College,UCM,Calc2,A,1,MATH 022,MATH 005B (5.00),MATH 005BH (5.00),,,,
Pasadena City College,UCM,DataStructures,A,1,CSE 030,CS 008 (3.00),,,,,
Pasadena City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 010 (4.00); MATH 055 (4.00),MATH 010 (4.00); MATH 055H (4.00),MATH 010H (4.00); MATH 055 (4.00),MATH 010H (4.00); MATH 055H (4.00),,
Pasadena City College,UCM,VectorCalc,A,1,MATH 023,MATH 005C (5.00),MATH 005CH (5.00),,,,
Pasadena City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A (5.00); MATH 005B (5.00),,,,,
Pasadena City College,UCR,Intro1,A,1,CS 10A,CS 002 (4.00),CS 003B (3.00),CS 003C (3.00),CIS 016 (3.00),,
Pasadena City College,UCR,Intro2,A,1,CS 10B,CIS 014 (3.00),CS 003A (3.00),,,,
Pasadena City College,UCSB,Calc1,A,1,MATH 3A,MATH 005A (5.00),MATH 005AE (5.50),MATH 005AH (5.00),,,
Pasadena City College,UCSB,Calc2,A,1,MATH 3B,MATH 005B (5.00),MATH 005BE (5.50),MATH 005BH (5.00),,,
Pasadena City College,UCSB,DataStructures,A,1,CMPSC 24,CS 008 (3.00); CS 008L (1.00),,,,,
Pasadena City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 055 (4.00),MATH 055H (4.00),,,,
Pasadena City College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 045 (4.00),MATH 022 (4.00),,,,
