College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
College of Alameda,UCB,Calc1,A,1,MATH 51,MATH 3A (5.00),,,
College of Alameda,UCB,Calc2,A,1,MATH 52,MATH 3B (5.00),,,
College of Alameda,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 3E (3.00); MATH 3F (3.00),,,
College of Alameda,UCB,MultivariableCalc,A,1,MATH 53,MATH 3C (5.00),,,
College of Alameda,UCD,Calc1,A,1,MAT 021A,MATH 3A (5.00),,,
College of Alameda,UCD,Calc2,A,1,MAT 021B,MATH 3B (5.00),,,
Berkeley City College,UCD,Calc3,A,1,MAT 021C,MATH 3B (5.00); MATH 3C (5.00),,,
Berkeley City College,UCD,DataStructures,A,1,ECS 036C,CIS 27 (4.00),,,
College of Alameda,UCD,DiscreteMath,A,1,ECS 020,MATH 11 (4.00),,,
Laney College,UCD,Intro1,A,1,ECS 036A,CIS 25 (4.00),,,
College of Alameda,UCD,Intro2,A,1,ECS 036B,CIS 25 (4.00),,,
Laney College,UCD,Organization,A,1,ECS 050,CIS 20 (4.00),,,
College of Alameda,UCI,Calc1,A,1,MATH 2A,MATH 3A (5.00),,,
College of Alameda,UCI,Calc2,A,1,MATH 2B,MATH 3B (5.00),,,
Berkeley City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 6 (5.00); CIS 25 (4.00),CIS 36A (4.00); CIS 36B (4.00),,
Laney College,UCI,Programming,A,1,I&C SCI 45C,CIS 25 (4.00); CIS 25B (4.00),,,
Laney College,UCI,Programming,B,1,I&C SCI 46,CIS 27 (4.00),,,
Berkeley City College,UCI,Programming,C,1,I&C SCI 51,CIS 20 (4.00),,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,,,
College of Alameda,UCI,Programming,G,1,I&C SCI 6D,MATH 11 (4.00),,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,,
College of Alameda,UCLA,Calc1,A,1,MATH 31A,MATH 3A (5.00),,,
College of Alameda,UCLA,Calc2,A,1,MATH 31B,MATH 3B (5.00),,,
College of Alameda,UCLA,Calc3,A,1,MATH 32A,MATH 3C (5.00),,,
College of Alameda,UCLA,Calc4,A,1,MATH 32B,MATH 3C (5.00),,,
College of Alameda,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 3F (3.00),,,
Berkeley City College,UCLA,Intro,A,1,COM SCI 31,CIS 25 (4.00),CIS 6 (5.00),,
College of Alameda,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3E (3.00),,,
College of Alameda,UCM,Calc1,A,1,MATH 021,MATH 3A (5.00),,,
College of Alameda,UCM,Calc2,A,1,MATH 022,MATH 3B (5.00),,,
Laney College,UCM,DataStructures,A,1,CSE 030,CIS 27 (4.00),,,
College of Alameda,UCM,Intro,A,1,CSE 022,CIS 6 (5.00),CIS 23 (4.00),,
College of Alameda,UCM,LinearAlgebra,A,1,MATH 024,MATH 3E (3.00); MATH 3F (3.00),,,
College of Alameda,UCM,VectorCalc,A,1,MATH 023,MATH 3C (5.00),,,
College of Alameda,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,,
College of Alameda,UCR,Intro1,A,1,CS 10A,CIS 25 (4.00),,,
Laney College,UCR,Intro2,A,1,CS 10B,CIS 61 (5.00),,,
College of Alameda,UCSB,Calc1,A,1,MATH 3A,MATH 3A (5.00),,,
College of Alameda,UCSB,Calc2,A,1,MATH 3B,MATH 3B (5.00),,,
Laney College,UCSB,DataStructures,A,1,CMPSC 24,CIS 27 (4.00),,,
College of Alameda,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 3F (3.00),,,
College of Alameda,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 11 (4.00),,,
College of Alameda,UCSB,Intro,A,1,CMPSC 16,CIS 25 (4.00),,,
College of Alameda,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3E (3.00),,,
College of Alameda,UCSC,Calc1,A,1,MATH 19A,MATH 3A (5.00),,,
College of Alameda,UCSC,Calc2,A,1,MATH 19B,MATH 3B (5.00),,,
College of Alameda,UCSC,DiscreteMath,A,1,CSE 16,MATH 11 (4.00),,,
Laney College,UCSC,Intro,A,1,CSE 30,CIS 27 (4.00),,,
Laney College,UCSC,Organization,A,1,CSE 12,CIS 20 (4.00),,,
College of Alameda,UCSD,Calc1,A,1,MATH 20A,MATH 3A (5.00),,,
College of Alameda,UCSD,Calc2,A,1,MATH 20B,MATH 3B (5.00),,,
College of Alameda,UCSD,Calc3,A,1,MATH 20C,MATH 3C (5.00),,,
Berkeley City College,UCSD,DataStructures,A,1,CSE 12,CIS 27 (4.00),,,
College of Alameda,UCSD,DiscreteMath,A,1,CSE 20,MATH 11 (4.00),,,
Laney College,UCSD,Intro,B,1,CSE 11,CIS 36A (4.00),,,
College of Alameda,UCSD,LinearAlgebra,A,1,MATH 18,MATH 3E (3.00),,,
