College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Santiago Canyon College,UCB,Calc1,A,1,MATH 51,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50)
Santiago Canyon College,UCB,Calc2,A,1,MATH 52,MATH 185 (4.00),,
Santa Ana College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 287 (5.00),,
Santiago Canyon College,UCB,MultivariableCalc,A,1,MATH 53,MATH 280 (4.00),,
Santiago Canyon College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH 180 (4.00); MATH 185 (4.00),MATH 180H (4.00); MATH 185 (4.00),MATH 180S (4.50); MATH 185 (4.00)
Santa Ana College,UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180 (4.00); MATH 185 (4.00),,
Santiago Canyon College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH 180 (4.00); MATH 185 (4.00),MATH 180H (4.00); MATH 185 (4.00),MATH 180S (4.50); MATH 185 (4.00)
Santa Ana College,UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180 (4.00); MATH 185 (4.00),,
Santa Ana College,UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C,MATH 180 (4.00); MATH 185 (4.00),,
Santiago Canyon College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 185 (4.00); MATH 280 (4.00),,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,,
Santiago Canyon College,UCD,Intro1,A,1,ECS 036A,CMPR 112 (3.00),CMPR 121 (3.00),
Santa Ana College,UCD,Intro2,A,1,ECS 036B,CMPR 131 (3.00),,
Santiago Canyon College,UCD,Linear Algebra,A,1,MAT 022A,MATH 287 (5.00),MATH 290 (3.00),
Santa Ana College,UCD,Linear Algebra,A,1,MAT 022A; MAT 022B,MATH 287 (5.00),,
Santiago Canyon College,UCD,Organization,A,1,ECS 050,CMPR 129 (4.00),CMPR 154 (3.00),
Santa Ana College,UCI,Calc1,A,1,MATH 2A,MATH 180 (4.00),,
Santiago Canyon College,UCI,Calc2,A,1,MATH 2B,MATH 185 (4.00),,
Santiago Canyon College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CMPR 120 (3.00); CMPR 121 (3.00),,
Santiago Canyon College,UCI,Programming,A,1,I&C SCI 45C,CMPR 131 (3.00),,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
Santiago Canyon College,UCI,Programming,F,1,I&C SCI 6B,CMPR 149 (3.00),,
Santiago Canyon College,UCI,Programming,G,1,I&C SCI 6D,CMPR 149 (3.00),,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
Santiago Canyon College,UCLA,Calc1,A,1,MATH 31A,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50)
Santiago Canyon College,UCLA,Calc2,A,1,MATH 31B,MATH 185 (4.00),,
Santiago Canyon College,UCLA,Calc3,A,1,MATH 32A,MATH 280 (4.00),,
Santiago Canyon College,UCLA,Calc4,A,1,MATH 32B,MATH 280 (4.00),,
Santiago Canyon College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 287 (5.00),MATH 295 (3.00),
Not Articulated,UCLA,DiscreteStructures,A,1,MATH 61,Not Articulated,,
Santiago Canyon College,UCLA,Intro,A,1,COM SCI 31,CMPR 121 (3.00),,
Santiago Canyon College,UCLA,Intro2,A,1,COM SCI 32,CMPR 131 (3.00),,
Santiago Canyon College,UCLA,Intro3,A,1,COM SCI 33,CMPR 129 (4.00),CMPR 154 (3.00),
Santiago Canyon College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 287 (5.00),MATH 290 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,
Santiago Canyon College,UCM,Calc1,A,1,MATH 021,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50)
Santiago Canyon College,UCM,Calc2,A,1,MATH 022,MATH 185 (4.00),,
Santiago Canyon College,UCM,DataStructures,A,1,CSE 030,CMPR 131 (3.00),,
Santa Ana College,UCM,LinearAlgebra,A,1,MATH 024,MATH 287 (5.00),,
Santiago Canyon College,UCM,VectorCalc,A,1,MATH 023,MATH 280 (4.00),,
