College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
Moreno Valley College,UCB,Calc1,A,1,MATH 51,MAT 1A (4.00),,,,,,,
Moreno Valley College,UCB,Calc2,A,1,MATH 52,MAT 1B (4.00),,,,,,,
Moreno Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 2 (4.00); MAT 3 (3.00),,,,,,,
Moreno Valley College,UCB,MultivariableCalc,A,1,MATH 53,MAT 1C (4.00),,,,,,,
Moreno Valley College,UCD,Calc1,A,1,MAT 021A,MAT 1A (4.00),,,,,,,
Moreno Valley College,UCD,Calc2,A,1,MAT 021B,MAT 1B (4.00),,,,,,,
Moreno Valley College,UCD,Calc3,A,1,MAT 021C,MAT 1C (4.00),,,,,,,
Norco College,UCD,DataStructures,A,1,ECS 036C,CIS 17C (3.00),,,,,,,
Moreno Valley College,UCD,DiscreteMath,A,1,ECS 020,CIS 7 (3.00),,,,,,,
Norco College,UCD,Intro1,A,1,ECS 036A,CIS 5 (4.00),CIS 17A (3.00),CIS 18A (3.00),CIS 18C (3.00),CIS 18B (3.00),CSC 5 (4.00),CSC 17A (3.00),CSC 18A (3.00)
Moreno Valley College,UCD,Intro2,A,1,ECS 036B,CIS 17A (3.00),,,,,,,
Norco College,UCD,Organization,A,1,ECS 050,CIS 11 (3.00),CSC 11 (3.00),,,,,,
Moreno Valley College,UCI,Calc1,A,1,MATH 2A,MAT 1A (4.00),MAT 1AH (4.00),,,,,,
Moreno Valley College,UCI,Calc2,A,1,MATH 2B,MAT 1B (4.00),,,,,,,
Moreno Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 17A (3.00); CIS 17B (3.00),CIS 18A (3.00); CIS 18B (3.00),CIS 30A (3.00); CIS 30E (3.00),,,,,
Moreno Valley College,UCI,Programming,A,1,I&C SCI 45C,CIS 17C (3.00),,,,,,,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,,,,,,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,,,,,,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,,,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,,,,,
Moreno Valley College,UCI,Programming,F,1,I&C SCI 6B,CIS 7 (3.00),,,,,,,
