College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
San Bernardino Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 265 (4.00); MATH 266 (4.00),
San Bernardino Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 252 (5.00),
San Bernardino Valley College,UCD,Calc1,A,1,MAT 021A,MATH 250 (4.00),
San Bernardino Valley College,UCD,DataStructures,A,1,ECS 036C,CS 265 (3.00),
San Bernardino Valley College,UCD,DiscreteMath,A,1,ECS 020,CS 130 (3.00),
San Bernardino Valley College,UCD,Intro1,A,1,ECS 036A,CS 215 (4.00),
Crafton Hills College,UCD,Intro2,A,1,ECS 036B,CSCI 120 (3.00),
San Bernardino Valley College,UCD,Organization,A,1,ECS 050,CS 170 (4.00),
San Bernardino Valley College,UCI,Calc1,A,1,MATH 2A,MATH 250 (4.00),
San Bernardino Valley College,UCI,Calc2,A,1,MATH 2B,MATH 251 (4.00),
San Bernardino Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 102 (3.00),
San Bernardino Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 250 (4.00),
San Bernardino Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 251 (4.00),
San Bernardino Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 252 (5.00),
San Bernardino Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 252 (5.00),
San Bernardino Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 266 (4.00),
San Bernardino Valley College,UCLA,Intro,A,1,COM SCI 31,CS 190 (4.00),
San Bernardino Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 265 (4.00),
San Bernardino Valley College,UCM,Calc1,A,1,MATH 021,MATH 250 (4.00),
San Bernardino Valley College,UCM,Calc2,A,1,MATH 022,MATH 251 (4.00),
San Bernardino Valley College,UCM,DataStructures,A,1,CSE 030,CS 265 (3.00),
San Bernardino Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 265 (4.00); MATH 266 (4.00),
San Bernardino Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 252 (5.00),
San Bernardino Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 250 (4.00); MATH 251 (4.00),
San Bernardino Valley College,UCR,Intro1,A,1,CS 10A,CS 190 (4.00),CS 215 (4.00)
Crafton Hills College,UCR,Intro2,A,1,CS 10B,CSCI 120 (3.00),
San Bernardino Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 250 (4.00),
San Bernardino Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 251 (4.00),
San Bernardino Valley College,UCSB,DataStructures,A,1,CMPSC 24,CS 265 (3.00),
San Bernardino Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 266 (4.00),
San Bernardino Valley College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 130 (3.00),
Crafton Hills College,UCSB,Intro,A,1,CMPSC 16,CSCI 110 (4.00),
San Bernardino Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 265 (4.00),
San Bernardino Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 250 (4.00),
San Bernardino Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 251 (4.00),
San Bernardino Valley College,UCSC,DiscreteMath,A,1,CSE 16,CS 130 (3.00),
San Bernardino Valley College,UCSC,Intro,A,1,CSE 30,CS 265 (3.00),
San Bernardino Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 250 (4.00),
San Bernardino Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 251 (4.00),
San Bernardino Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 252 (5.00),
San Bernardino Valley College,UCSD,DataStructures,A,1,CSE 12,CS 265 (3.00),
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
San Bernardino Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 265 (4.00),
