College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
San Diego City College,UCB,Calc1,A,1,MATH 51,MATH 150 (5.00),,
San Diego City College,UCB,Calc2,A,1,MATH 52,MATH 151 (4.00),,
San Diego City College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 254 (3.00); MATH 255 (3.00),,
San Diego City College,UCB,MultivariableCalc,A,1,MATH 53,MATH 252 (4.00),,
San Diego City College,UCD,Calc1,A,1,MAT 021A,MATH 150 (5.00),,
San Diego City College,UCD,Calc2,A,1,MAT 021B,MATH 151 (4.00),,
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
San Diego City College,UCD,DiscreteMath,A,1,ECS 020,MATH 245 (3.00),,
San Diego Miramar College,UCD,Intro1,A,1,ECS 036A,CISC 190 (4.00),CISC 192 (4.00),
San Diego City College,UCD,Intro2,A,1,ECS 036B,CISC 205 (4.00),,
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,,
San Diego City College,UCI,Calc1,A,1,MATH 2A,MATH 150 (5.00),,
San Diego City College,UCI,Calc2,A,1,MATH 2B,MATH 151 (4.00),,
San Diego City College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CISC 179 (4.00); CISC 192 (4.00); CISC 201 (4.00),,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,,
San Diego Miramar College,UCI,Programming,C,1,I&C SCI 51,CISC 211 (4.00),,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,
San Diego City College,UCI,Programming,F,1,I&C SCI 6B,MATH 245 (3.00),,
San Diego Miramar College,UCI,Programming,G,1,I&C SCI 6D,MATH 245 (3.00); CISC 246 (3.00),,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
San Diego City College,UCLA,Calc1,A,1,MATH 31A,MATH 150 (5.00),,
San Diego City College,UCLA,Calc2,A,1,MATH 31B,MATH 151 (4.00),,
San Diego City College,UCLA,Calc3,A,1,MATH 32A,MATH 252 (4.00),,
San Diego City College,UCLA,Calc4,A,1,MATH 32B,MATH 252 (4.00),,
San Diego City College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 255 (3.00),,
San Diego City College,UCLA,Intro,A,1,COM SCI 31,CISC 192 (4.00),CISC 201 (4.00),
San Diego City College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 254 (3.00),,
San Diego City College,UCM,Calc1,A,1,MATH 021,MATH 150 (5.00),,
San Diego City College,UCM,Calc2,A,1,MATH 022,MATH 151 (4.00),,
San Diego City College,UCM,DataStructures,A,1,CSE 030,CISC 187 (4.00),,
San Diego City College,UCM,Intro,A,1,CSE 022,CISC 179 (4.00),CISC 190 (4.00),CISC 192 (4.00)
San Diego City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 254 (3.00); MATH 255 (3.00),,
San Diego City College,UCM,VectorCalc,A,1,MATH 023,MATH 252 (4.00),,
San Diego City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 151 (4.00),,
San Diego City College,UCR,Intro1,A,1,CS 10A,CISC 190 (4.00),CISC 192 (4.00),CISC 205 (4.00)
San Diego Miramar College,UCR,Intro2,A,1,CS 10B,CISC 191 (4.00),,
San Diego City College,UCSB,Calc1,A,1,MATH 3A,MATH 150 (5.00),,
San Diego City College,UCSB,Calc2,A,1,MATH 3B,MATH 151 (4.00),,
San Diego City College,UCSB,DataStructures,A,1,CMPSC 24,CISC 187 (4.00),,
San Diego City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 255 (3.00),,
San Diego City College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 245 (3.00),,
San Diego City College,UCSB,Intro,A,1,CMPSC 16,CISC 192 (4.00),CISC 205 (4.00),
San Diego City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 254 (3.00),,
San Diego City College,UCSC,Calc1,A,1,MATH 19A,MATH 150 (5.00),,
San Diego City College,UCSC,Calc2,A,1,MATH 19B,MATH 151 (4.00),,
San Diego City College,UCSC,DiscreteMath,A,1,CSE 16,MATH 245 (3.00),,
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,,
San Diego Miramar College,UCSC,Organization,A,1,CSE 12,CISC 211 (4.00),,
San Diego City College,UCSD,Calc1,A,1,MATH 20A,MATH 150 (5.00),,
San Diego City College,UCSD,Calc2,A,1,MATH 20B,MATH 151 (4.00),,
San Diego City College,UCSD,Calc3,A,1,MATH 20C,MATH 252 (4.00),,
San Diego City College,UCSD,DataStructures,A,1,CSE 12,CISC 187 (4.00); CISC 191 (4.00),,
San Diego City College,UCSD,DiscreteMath,A,1,CSE 20,MATH 245 (3.00),CISC 246 (3.00),
San Diego City College,UCSD,Intro,B,1,CSE 11,CISC 191 (4.00),,
San Diego City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 254 (3.00),,
