College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Evergreen Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 078 (4.00); MATH 079 (3.00),,
Evergreen Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 073 (5.00),,
Evergreen Valley College,UCD,Calc1,A,1,MAT 021A,MATH 066 (4.00),MATH 071 (5.00),
Evergreen Valley College,UCD,Calc2,A,1,MAT 021B,MATH 067 (4.00),MATH 072 (5.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
Evergreen Valley College,UCD,DiscreteMath,A,1,ECS 020,COMSC 080 (3.00),MATH 070 (4.00),
Evergreen Valley College,UCD,Intro1,A,1,ECS 036A,ENGR 050 (4.00),,
San Jose City College,UCD,Intro2,A,1,ECS 036B,CIS 055 (3.00),,
Evergreen Valley College,UCD,Organization,A,1,ECS 050,COMSC 077 (3.00),,
Evergreen Valley College,UCI,Calc1,A,1,MATH 2A,MATH 062 (3.00),MATH 066 (4.00),MATH 071 (5.00)
Evergreen Valley College,UCI,Calc2,A,1,MATH 2B,MATH 067 (4.00),MATH 072 (5.00),
Evergreen Valley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMSC 075 (3.00); COMSC 076 (3.00),,
Evergreen Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 066 (4.00),MATH 071 (5.00),
Evergreen Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 067 (4.00),MATH 072 (5.00),
Evergreen Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 073 (5.00),,
Evergreen Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 073 (5.00),,
Evergreen Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 078 (4.00),,
Evergreen Valley College,UCLA,Intro,A,1,COM SCI 31,COMSC 041 (3.00),,
Evergreen Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 079 (3.00),,
Evergreen Valley College,UCM,Calc1,A,1,MATH 021,MATH 071 (5.00),MATH 066 (4.00),
Evergreen Valley College,UCM,Calc2,A,1,MATH 022,MATH 072 (5.00),MATH 067 (4.00),
Evergreen Valley College,UCM,DataStructures,A,1,CSE 030,COMSC 042 (3.00),COMSC 076 (3.00),
Evergreen Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 078 (4.00); MATH 079 (3.00),,
Evergreen Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 073 (5.00),,
Evergreen Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 071 (5.00); MATH 072 (5.00),MATH 066 (4.00); MATH 067 (4.00),
Evergreen Valley College,UCR,Intro1,A,1,CS 10A,COMSC 075 (3.00),CIT 020 (3.00),ENGR 050 (4.00)
Evergreen Valley College,UCR,Intro2,A,1,CS 10B,COMSC 076 (3.00),,
Evergreen Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 066 (4.00),MATH 071 (5.00),
Evergreen Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 067 (4.00),MATH 072 (5.00),
San Jose City College,UCSB,DataStructures,A,1,CMPSC 24,CIS 055 (3.00),,
Evergreen Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 078 (4.00),,
Evergreen Valley College,UCSB,DiscreteMath,A,1,CMPSC 40,COMSC 080 (3.00),MATH 070 (4.00),
Evergreen Valley College,UCSB,Intro,A,1,CMPSC 16,COMSC 041 (3.00),COMSC 079C (3.00),ENGR 050 (4.00)
Evergreen Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 079 (3.00),,
Evergreen Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 071 (5.00),MATH 066 (4.00),
Evergreen Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 072 (5.00),MATH 067 (4.00),
Evergreen Valley College,UCSC,DiscreteMath,A,1,CSE 16,COMSC 080 (3.00),MATH 070 (4.00),
Evergreen Valley College,UCSC,Intro,A,1,CSE 30,COMSC 076 (3.00),,
Evergreen Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 071 (5.00),MATH 066 (4.00),
Evergreen Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 072 (5.00),MATH 067 (4.00),
Evergreen Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 073 (5.00),,
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
Evergreen Valley College,UCSD,DiscreteMath,A,1,CSE 20,COMSC 080 (3.00),MATH 070 (4.00),
Evergreen Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 079 (3.00),,
