College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Santa Monica College,UCB,Calc1,A,1,MATH 51,MATH 7 (5.00),
Santa Monica College,UCB,Calc2,A,1,MATH 52,MATH 8 (5.00),
Santa Monica College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 13 (3.00); MATH 15 (3.00),
Santa Monica College,UCB,MultivariableCalc,A,1,MATH 53,MATH 11 (5.00),
Santa Monica College,UCD,Calc1,A,1,MAT 021A,MATH 7 (5.00),
Santa Monica College,UCD,Calc2,A,1,MAT 021B,MATH 8 (5.00),
Santa Monica College,UCD,Calc3,A,1,MAT 021C,MATH 11 (5.00),
Santa Monica College,UCD,DataStructures,A,1,ECS 036C,CS 20A (3.00),
Santa Monica College,UCD,DiscreteMath,A,1,ECS 020,MATH 10 (3.00),
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated,
Not Articulated,UCD,Intro2,A,1,ECS 036B,Not Articulated,
Santa Monica College,UCD,Linear Algebra,A,1,MAT 022A,MATH 13 (3.00),
Santa Monica College,UCD,Organization,A,1,ECS 050,CS 17 (3.00),
Santa Monica College,UCI,Calc1,A,1,MATH 2A,MATH 7 (5.00),
Santa Monica College,UCI,Calc2,A,1,MATH 2B,MATH 8 (5.00),
Santa Monica College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS 87A (3.00); CS 87B (3.00),
Santa Monica College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 55 (3.00); CS 56 (3.00),
Santa Monica College,UCI,Programming,A,1,I&C SCI 45C,CS 52 (3.00),
Santa Monica College,UCI,Programming,B,1,I&C SCI 46,CS 20A (3.00),
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Santa Monica College,UCLA,Calc1,A,1,MATH 31A,MATH 7 (5.00),
Santa Monica College,UCLA,Calc2,A,1,MATH 31B,MATH 8 (5.00),
Santa Monica College,UCLA,Calc3,A,1,MATH 32A,MATH 11 (5.00),
Santa Monica College,UCLA,Calc4,A,1,MATH 32B,MATH 11 (5.00),
Santa Monica College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 15 (3.00),
Santa Monica College,UCLA,DiscreteStructures,A,1,MATH 61,MATH 10 (3.00),
Santa Monica College,UCLA,Intro,A,1,COM SCI 31,CS 52 (3.00),
Santa Monica College,UCLA,Intro2,A,1,COM SCI 32,CS 20A (3.00),
Santa Monica College,UCLA,Intro3,A,1,COM SCI 33,CS 17 (3.00),
Santa Monica College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 13 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Santa Monica College,UCM,Calc1,A,1,MATH 021,MATH 7 (5.00),
Santa Monica College,UCM,Calc2,A,1,MATH 022,MATH 8 (5.00),
Santa Monica College,UCM,DataStructures,A,1,CSE 030,CS 20A (3.00),CS 20B (3.00)
Santa Monica College,UCM,LinearAlgebra,A,1,MATH 024,MATH 13 (3.00); MATH 15 (3.00),
Santa Monica College,UCM,VectorCalc,A,1,MATH 023,MATH 11 (5.00),
Santa Monica College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 7 (5.00); MATH 8 (5.00),
Santa Monica College,UCR,Intro1,A,1,CS 10A,CS 50 (3.00),CS 55 (3.00)
Santa Monica College,UCR,Intro2,A,1,CS 10B,CS 52 (3.00),CS 56 (3.00)
Santa Monica College,UCSB,Calc1,A,1,MATH 3A,MATH 7 (5.00),
Santa Monica College,UCSB,Calc2,A,1,MATH 3B,MATH 8 (5.00),
Santa Monica College,UCSB,DataStructures,A,1,CMPSC 24,CS 20A (3.00),
Santa Monica College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 15 (3.00),
Santa Monica College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 10 (3.00),
Santa Monica College,UCSB,Intro,A,1,CMPSC 16,CS 50 (3.00),
Santa Monica College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 13 (3.00),
Santa Monica College,UCSC,Calc1,A,1,MATH 19A,MATH 7 (5.00),
Santa Monica College,UCSC,Calc2,A,1,MATH 19B,MATH 8 (5.00),
Santa Monica College,UCSC,DataStructures,A,1,CSE 12,CS 17 (3.00); CS 42 (3.00),CS 18 (3.00)
Santa Monica College,UCSC,DiscreteMath,A,1,CSE 16,MATH 10 (3.00),
Santa Monica College,UCSC,Intro,A,1,CSE 30,CS 20B (3.00); CS 50 (3.00),CS 20A (3.00)
Santa Monica College,UCSD,Calc1,A,1,MATH 20A,MATH 7 (5.00); MATH 8 (5.00),
Santa Monica College,UCSD,Calc2,A,1,MATH 20B,MATH 8 (5.00),
Santa Monica College,UCSD,Calc3,A,1,MATH 20C,MATH 11 (5.00),
Santa Monica College,UCSD,DataStructures,A,1,CSE 12,CS 20A (3.00); CS 20B (3.00),
Santa Monica College,UCSD,DiscreteMath,A,1,CSE 20,MATH 10 (3.00),
Santa Monica College,UCSD,Intro,A,1,CSE 11,CS 55 (3.00),
Santa Monica College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 13 (3.00),
