College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of the Sequoias,UCB,Calc1,A,1,MATH 51,MATH 065 (4.00),
College of the Sequoias,UCB,Calc2,A,1,MATH 52,MATH 066 (4.00),
College of the Sequoias,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 080 (4.00); MATH 081 (5.00),
College of the Sequoias,UCB,MultivariableCalc,A,1,MATH 53,MATH 067 (4.00),
College of the Sequoias,UCD,Calc1,A,1,MAT 021A,MATH 065 (4.00),
College of the Sequoias,UCD,Calc2,A,1,MAT 021B,MATH 066 (4.00),
College of the Sequoias,UCD,Calc3,A,1,MAT 021C,MATH 067 (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
College of the Sequoias,UCD,Intro1,A,1,ECS 036A,COMP 008 (4.00),CSCI 001 (4.00)
College of the Sequoias,UCD,Intro2,A,1,ECS 036B,CSCI 002 (4.00),
College of the Sequoias,UCD,Organization,A,1,ECS 050,CSCI 005 (3.00),
College of the Sequoias,UCI,Calc1,A,1,MATH 2A,MATH 065 (4.00),
College of the Sequoias,UCI,Calc2,A,1,MATH 2B,MATH 066 (4.00),
College of the Sequoias,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 001 (4.00); CSCI 002 (4.00),
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
College of the Sequoias,UCLA,Calc1,A,1,MATH 31A,MATH 065 (4.00),
College of the Sequoias,UCLA,Calc2,A,1,MATH 31B,MATH 066 (4.00),
College of the Sequoias,UCLA,Calc3,A,1,MATH 32A,MATH 067 (4.00),
College of the Sequoias,UCLA,Calc4,A,1,MATH 32B,MATH 067 (4.00),
College of the Sequoias,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 081 (5.00),
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
College of the Sequoias,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 080 (4.00),
College of the Sequoias,UCM,Calc1,A,1,MATH 021,MATH 065 (4.00),
College of the Sequoias,UCM,Calc2,A,1,MATH 022,MATH 066 (4.00),
College of the Sequoias,UCM,DataStructures,A,1,CSE 030,CSCI 002 (4.00),
Not Articulated,UCM,Intro,A,1,CSE 022,Not Articulated,
College of the Sequoias,UCM,LinearAlgebra,A,1,MATH 024,MATH 080 (4.00); MATH 081 (5.00),
College of the Sequoias,UCM,VectorCalc,A,1,MATH 023,MATH 067 (4.00),
College of the Sequoias,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 065 (4.00); MATH 066 (4.00),
College of the Sequoias,UCR,Intro1,A,1,CS 10A,COMP 008 (4.00),CSCI 001 (4.00)
College of the Sequoias,UCR,Intro2,A,1,CS 10B,CSCI 002 (4.00),
College of the Sequoias,UCSB,Calc1,A,1,MATH 3A,MATH 065 (4.00),
College of the Sequoias,UCSB,Calc2,A,1,MATH 3B,MATH 066 (4.00),
College of the Sequoias,UCSB,DataStructures,A,1,CMPSC 24,CSCI 002 (4.00),
College of the Sequoias,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 081 (5.00),
College of the Sequoias,UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 006 (3.00),
College of the Sequoias,UCSB,Intro,A,1,CMPSC 16,CSCI 001 (4.00),
College of the Sequoias,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 080 (4.00),
College of the Sequoias,UCSC,Calc1,A,1,MATH 19A,MATH 065 (4.00),
College of the Sequoias,UCSC,Calc2,A,1,MATH 19B,MATH 066 (4.00),
Not Articulated,UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
College of the Sequoias,UCSC,Intro,A,1,CSE 30,CSCI 002 (4.00),
Not Articulated,UCSC,Organization,A,1,CSE 12,Not Articulated,
College of the Sequoias,UCSD,Calc1,A,1,MATH 20A,MATH 065 (4.00),
College of the Sequoias,UCSD,Calc2,A,1,MATH 20B,MATH 066 (4.00),
College of the Sequoias,UCSD,Calc3,A,1,MATH 20C,MATH 067 (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,B,1,CSE 11,Not Articulated,
College of the Sequoias,UCSD,LinearAlgebra,A,1,MATH 18,MATH 080 (4.00),
