College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Shasta College,UCB,Calc1,A,1,MATH 51,MATH 3A (4.00),MATH 3AS (6.00)
Shasta College,UCB,Calc2,A,1,MATH 52,MATH 3B (5.00); MATH 4B (4.00),
Shasta College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 4B (4.00); MATH 6 (3.00),
Shasta College,UCB,MultivariableCalc,A,1,MATH 53,MATH 4A (4.00),
Shasta College,UCD,Calc1,A,1,MAT 021A,MATH 3A (4.00),
Shasta College,UCD,Calc2,A,1,MAT 021B,MATH 3B (5.00),
Shasta College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 4A (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Shasta College,UCD,DiscreteMath,A,1,ECS 020,CIS 67 (3.00),
Shasta College,UCD,Intro1,A,1,ECS 036A,CIS 61 (3.00),CIS 62 (3.00)
Shasta College,UCD,Intro2,A,1,ECS 036B,CIS 65 (3.00),
Shasta College,UCD,Linear Algebra,A,1,MAT 022A,MATH 6 (3.00),
Shasta College,UCD,Organization,A,1,ECS 050,CIS 66 (3.00),
Shasta College,UCI,Calc1,A,1,MATH 2A,MATH 3A (4.00),
Shasta College,UCI,Calc2,A,1,MATH 2B,MATH 3B (5.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Shasta College,UCLA,Calc1,A,1,MATH 31A,MATH 3A (4.00),
Shasta College,UCLA,Calc2,A,1,MATH 31B,MATH 3B (5.00),
Shasta College,UCLA,Calc3,A,1,MATH 32A,MATH 4A (4.00),
Shasta College,UCLA,Calc4,A,1,MATH 32B,MATH 4A (4.00),
Shasta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 4B (4.00),
Shasta College,UCLA,DiscreteStructures,A,1,MATH 61,CIS 67 (3.00),
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,
Not Articulated,UCLA,Intro3,A,1,COM SCI 33,Not Articulated,
Shasta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Shasta College,UCM,Calc1,A,1,MATH 021,MATH 3A (4.00),
Shasta College,UCM,Calc2,A,1,MATH 022,MATH 3B (5.00),
Shasta College,UCM,DataStructures,A,1,CSE 030,CIS 65 (3.00),
Shasta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 4B (4.00); MATH 6 (3.00),
Shasta College,UCM,VectorCalc,A,1,MATH 023,MATH 4A (4.00),
Shasta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (4.00); MATH 3B (5.00),
Shasta College,UCR,Intro1,A,1,CS 10A,CIS 61 (3.00),CIS 62 (3.00)
Shasta College,UCR,Intro2,A,1,CS 10B,CIS 65 (3.00),
Shasta College,UCSB,Calc1,A,1,MATH 3A,MATH 3A (4.00),MATH 3AS (6.00)
Shasta College,UCSB,Calc2,A,1,MATH 3B,MATH 3B (5.00),
Shasta College,UCSB,DataStructures,A,1,CMPSC 24,CIS 65 (3.00),
Shasta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 4B (4.00),
Shasta College,UCSB,DiscreteMath,A,1,CMPSC 40,CIS 67 (3.00),
Shasta College,UCSB,Intro,A,1,CMPSC 16,CIS 61 (3.00),
Shasta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6 (3.00),
Shasta College,UCSC,Calc1,A,1,MATH 19A,MATH 3A (4.00),MATH 3AS (6.00)
Shasta College,UCSC,Calc2,A,1,MATH 19B,MATH 3B (5.00),
Shasta College,UCSC,DiscreteMath,A,1,CSE 16,CIS 67 (3.00),
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
Not Articulated,UCSC,Organization,A,1,CSE 12,Not Articulated,
Shasta College,UCSD,Calc1,A,1,MATH 20A,MATH 3A (4.00),
Shasta College,UCSD,Calc2,A,1,MATH 20B,MATH 3B (5.00),
Shasta College,UCSD,Calc3,A,1,MATH 20C,MATH 4A (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated,
Shasta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 6 (3.00),
