College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Irvine Valley College,UCB,Calc1,A,1,MATH 51,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCB,Calc2,A,1,MATH 52,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 24 (4.00); MATH 26 (4.00),MATH 24H (4.00); MATH 26 (4.00),,
Irvine Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 4A (5.00),,,
Saddleback College,UCD,Calc1,A,1,MAT 021A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH 3A (5.00); MATH 3B (5.00),MATH 3AH (5.00); MATH 3B (5.00),MATH 3A (5.00); MATH 3BH (5.00),MATH 3AH (5.00); MATH 3BH (5.00)
Irvine Valley College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH 3A (5.00); MATH 3B (5.00),MATH 3AH (5.00); MATH 3B (5.00),MATH 3A (5.00); MATH 3BH (5.00),MATH 3AH (5.00); MATH 3BH (5.00)
Saddleback College,UCD,Calc2,A,1,MAT 021B,MATH 3A (5.00); MATH 3B (5.00),MATH 3AH (5.00); MATH 3B (5.00),,
Saddleback College,UCD,Calc3,A,1,MAT 021C,MATH 3B (5.00); MATH 3C (5.00),,,
Irvine Valley College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 3B (5.00); MATH 4A (5.00),MATH 3BH (5.00); MATH 4A (5.00),,
Irvine Valley College,UCD,DataStructures,A,1,ECS 036C,CS 41 (3.00),,,
Irvine Valley College,UCD,DiscreteMath,A,1,ECS 020,CS 6A (3.00),MATH 6A (3.00),,
Irvine Valley College,UCD,Intro1,A,1,ECS 036A,CS 36 (3.00),CS 38 (3.00),,
Irvine Valley College,UCD,Intro2,A,1,ECS 036B,CS 37 (3.00),,,
Irvine Valley College,UCD,Organization,A,1,ECS 050,CS 40A (3.00),CS 40B (3.00),,
Irvine Valley College,UCI,Calc1,A,1,MATH 2A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCI,Calc2,A,1,MATH 2B,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS 37 (3.00); CS 41 (3.00); CS 10 (3.00),,,
Saddleback College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1A (3.50); CS 1B (3.50); CS 1C (3.50),,,
Saddleback College,UCI,Programming,A,1,I&C SCI 45C,CS 1A (3.50); CS 1B (3.50); CS 1C (3.50),,,
Saddleback College,UCI,Programming,B,1,I&C SCI 46,CS 1D (3.50),,,
Irvine Valley College,UCI,Programming,C,1,I&C SCI 51,CS 40A (3.00); CS 40B (3.00),,,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,
Irvine Valley College,UCI,Programming,F,1,I&C SCI 6B,CS 6B (3.00),,,
Irvine Valley College,UCI,Programming,G,1,I&C SCI 6D,CS 6A (3.00),,,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,,
Irvine Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 4A (5.00),MATH 4AH (5.00),,
Irvine Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 4A (5.00),MATH 4AH (5.00),,
Irvine Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 24 (4.00),MATH 24H (4.00),,
Irvine Valley College,UCLA,Intro,A,1,COM SCI 31,CS 37 (3.00),,,
Irvine Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26 (4.00),MATH 26H (4.00),,
Irvine Valley College,UCM,Calc1,A,1,MATH 021,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCM,Calc2,A,1,MATH 022,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCM,DataStructures,A,1,CSE 030,CS 41 (3.00),,,
Irvine Valley College,UCM,Intro,A,1,CSE 022,CS 10 (3.00),CS 36 (3.00),,
Irvine Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 24 (4.00); MATH 26 (4.00),MATH 24 (4.00); MATH 26H (4.00),MATH 24H (4.00); MATH 26 (4.00),MATH 24H (4.00); MATH 26H (4.00)
Irvine Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 4A (5.00),MATH 4AH (5.00),,
Irvine Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,,
Irvine Valley College,UCR,Intro1,A,1,CS 10A,CS 10 (3.00),CS 36 (3.00),CS 37 (3.00),
Irvine Valley College,UCR,Intro2,A,1,CS 10B,CS 38 (3.00),,,
Irvine Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCSB,DataStructures,A,1,CMPSC 24,CS 41 (3.00),,,
Irvine Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 24 (4.00),MATH 24H (4.00),,
Irvine Valley College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 6A (3.00),MATH 6A (3.00),,
Irvine Valley College,UCSB,Intro,A,1,CMPSC 16,CS 36 (3.00),CS 37 (3.00),,
Irvine Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26 (4.00),MATH 26H (4.00),,
Irvine Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCSC,DiscreteMath,A,1,CSE 16,CS 6A (3.00); CS 6B (3.00),MATH 6A (3.00); MATH 6B (3.00),,
Irvine Valley College,UCSC,Intro,A,1,CSE 30,CS 41 (3.00),,,
Saddleback College,UCSC,Organization,A,1,CSE 12,CS 3B (3.50),,,
Irvine Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 3A (5.00),MATH 3AH (5.00),,
Irvine Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 3B (5.00),MATH 3BH (5.00),,
Irvine Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 4A (5.00),,,
Irvine Valley College,UCSD,DataStructures,A,1,CSE 12,CS 41 (3.00),,,
Irvine Valley College,UCSD,DiscreteMath,A,1,CSE 20,MATH 6A (3.00),,,
Irvine Valley College,UCSD,Intro,B,1,CSE 11,CS 38 (3.00),,,
Irvine Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 26 (4.00),,,
