College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Oxnard College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH R134 (3.00); MATH R143 (3.00),,
Oxnard College,UCB,MultivariableCalc,A,1,MATH 53,MATH R122 (5.00),,
Oxnard College,UCD,Calc1,A,1,MAT 021A,MATH R120 (5.00),,
Oxnard College,UCD,Calc2,A,1,MAT 021B,MATH R121 (5.00),,
Ventura College,UCD,Calc3,A,1,MAT 021C,MATH V21B (5.00); MATH V21C (5.00),,
Ventura College,UCD,DataStructures,A,1,ECS 036C,CS V15 (3.00),,
Ventura College,UCD,DiscreteMath,A,1,ECS 020,CS V17 (3.00),MATH V52 (3.00),
Ventura College,UCD,Intro1,A,1,ECS 036A,CS V13 (3.00),,
Ventura College,UCD,Intro2,A,1,ECS 036B,CS V30 (3.00),,
Ventura College,UCD,Organization,A,1,ECS 050,CS V19 (3.00),,
Oxnard College,UCI,Calc1,A,1,MATH 2A,MATH R120 (5.00),,
Oxnard College,UCI,Calc2,A,1,MATH 2B,MATH R121 (5.00),,
Ventura College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40 (3.00); CS V42 (3.00),,
Oxnard College,UCLA,Calc1,A,1,MATH 31A,MATH R120 (5.00),,
Oxnard College,UCLA,Calc2,A,1,MATH 31B,MATH R121 (5.00),,
Oxnard College,UCLA,Calc3,A,1,MATH 32A,MATH R122 (5.00),,
Oxnard College,UCLA,Calc4,A,1,MATH 32B,MATH R122 (5.00),,
Oxnard College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH R143 (3.00),,
Oxnard College,UCLA,Intro,A,1,COM SCI 31,CS R131 (3.00),,
Oxnard College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH R134 (3.00),,
Oxnard College,UCM,Calc1,A,1,MATH 021,MATH R120 (5.00),,
Oxnard College,UCM,Calc2,A,1,MATH 022,MATH R121 (5.00),,
Ventura College,UCM,DataStructures,A,1,CSE 030,CS V15 (3.00),,
Oxnard College,UCM,LinearAlgebra,A,1,MATH 024,MATH R134 (3.00); MATH R143 (3.00),,
Oxnard College,UCM,VectorCalc,A,1,MATH 023,MATH R122 (5.00),,
Oxnard College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH R120 (5.00); MATH R121 (5.00),,
Ventura College,UCR,Intro1,A,1,CS 10A,CS V13 (3.00),CS V30 (3.00),CS V40 (3.00)
Not Articulated,UCR,Intro2,A,1,CS 10B,Not Articulated,,
Oxnard College,UCSB,Calc1,A,1,MATH 3A,MATH R120 (5.00),,
Oxnard College,UCSB,Calc2,A,1,MATH 3B,MATH R121 (5.00),,
Moorpark College,UCSB,DataStructures,A,1,CMPSC 24,CS M135 (3.00),,
Oxnard College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH R143 (3.00),,
Oxnard College,UCSB,DiscreteMath,A,1,CMPSC 40,CS R152 (3.00),,
Oxnard College,UCSB,Intro,A,1,CMPSC 16,CS R131 (3.00),,
Oxnard College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH R134 (3.00),,
Oxnard College,UCSC,Calc1,A,1,MATH 19A,MATH R120 (5.00),,
Oxnard College,UCSC,Calc2,A,1,MATH 19B,MATH R121 (5.00),,
Ventura College,UCSC,DiscreteMath,A,1,CSE 16,MATH V52 (3.00),CS V17 (3.00),
Ventura College,UCSC,Intro,A,1,CSE 30,CS V15 (3.00),,
Oxnard College,UCSD,Calc1,A,1,MATH 20A,MATH R120 (5.00),,
Oxnard College,UCSD,Calc2,A,1,MATH 20B,MATH R121 (5.00),,
Oxnard College,UCSD,Calc3,A,1,MATH 20C,MATH R122 (5.00),,
Ventura College,UCSD,DataStructures,A,1,CSE 12,CS V15 (3.00),,
Ventura College,UCSD,DiscreteMath,A,1,CSE 20,CS V17 (3.00),MATH V52 (3.00),
Oxnard College,UCSD,LinearAlgebra,A,1,MATH 18,MATH R134 (3.00),,
