College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Victor Valley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 231 (3.00); MATH 270 (3.00),
Victor Valley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 228 (5.00),MATH 228H (5.00)
Victor Valley College,UCD,Calc1,A,1,MAT 021A,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCD,Calc2,A,1,MAT 021B,MATH 227 (4.00),MATH 227H (4.00)
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Not Articulated,UCD,DiscreteMath,A,1,ECS 020,Not Articulated,
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated,
Victor Valley College,UCD,Intro2,A,1,ECS 036B,CIS 202 (4.00),
Victor Valley College,UCD,Organization,A,1,ECS 050,CIS 208 (3.00),
Victor Valley College,UCI,Calc1,A,1,MATH 2A,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCI,Calc2,A,1,MATH 2B,MATH 227 (4.00),MATH 227H (4.00)
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Victor Valley College,UCLA,Calc1,A,1,MATH 31A,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCLA,Calc2,A,1,MATH 31B,MATH 227 (4.00),MATH 227H (4.00)
Victor Valley College,UCLA,Calc3,A,1,MATH 32A,MATH 228 (5.00),MATH 228H (5.00)
Victor Valley College,UCLA,Calc4,A,1,MATH 32B,MATH 228 (5.00),MATH 228H (5.00)
Victor Valley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 270 (3.00),
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Victor Valley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 231 (3.00),
Victor Valley College,UCM,Calc1,A,1,MATH 021,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCM,Calc2,A,1,MATH 022,MATH 227 (4.00),MATH 227H (4.00)
Not Articulated,UCM,DataStructures,A,1,CSE 030,Not Articulated,
Victor Valley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 231 (3.00); MATH 270 (3.00),
Victor Valley College,UCM,VectorCalc,A,1,MATH 023,MATH 228 (5.00),MATH 228H (5.00)
Victor Valley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 226 (4.00); MATH 227 (4.00),
Victor Valley College,UCR,Intro1,A,1,CS 10A,CIS 201 (4.00),CIS 206 (4.00)
Victor Valley College,UCR,Intro2,A,1,CS 10B,CIS 202 (4.00),CIS 203 (4.00)
Victor Valley College,UCSB,Calc1,A,1,MATH 3A,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCSB,Calc2,A,1,MATH 3B,MATH 227 (4.00),MATH 227H (4.00)
Victor Valley College,UCSB,DataStructures,A,1,CMPSC 24,CIS 202 (4.00),
Victor Valley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 270 (3.00),
Victor Valley College,UCSB,DiscreteMath,A,1,CMPSC 40,CIS 264 (3.00),
Victor Valley College,UCSB,Intro,A,1,CMPSC 16,CIS 201 (4.00); CIS 202 (4.00),
Victor Valley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 231 (3.00),
Victor Valley College,UCSC,Calc1,A,1,MATH 19A,MATH 226 (4.00),MATH 226H (4.00)
Victor Valley College,UCSC,Calc2,A,1,MATH 19B,MATH 227 (4.00),MATH 227H (4.00)
Victor Valley College,UCSC,DiscreteMath,A,1,CSE 16,CIS 264 (3.00),
Not Articulated,UCSC,Intro,A,1,CSE 30,Not Articulated,
Victor Valley College,UCSD,Calc1,A,1,MATH 20A,MATH 226 (4.00),
Victor Valley College,UCSD,Calc2,A,1,MATH 20B,MATH 227 (4.00),
Victor Valley College,UCSD,Calc3,A,1,MATH 20C,MATH 228 (5.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Victor Valley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 231 (3.00),
