College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Modesto Junior College,UCB,Calc1,A,1,MATH 51,MATH 171 (4.00),
Modesto Junior College,UCB,Calc2,A,1,MATH 52,MATH 172 (4.00),
Modesto Junior College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 191 (3.00); MATH 193 (3.00),
Modesto Junior College,UCB,MultivariableCalc,A,1,MATH 53,MATH 173 (4.00),
Columbia College,UCD,Calc1,A,1,MAT 021A,MATH 18A (4.00),
Modesto Junior College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH 171 (4.00); MATH 172 (4.00),
Modesto Junior College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH 171 (4.00); MATH 172 (4.00),
Columbia College,UCD,Calc2,A,1,MAT 021B; MAT 021C; MAT 021D,MATH 18B (4.00); MATH 18C (5.00),
Columbia College,UCD,Calc3,A,2,MAT 021B; MAT 021C; MAT 021D,MATH 18B (4.00); MATH 18C (5.00),
Modesto Junior College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 172 (4.00); MATH 173 (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Modesto Junior College,UCD,DiscreteMath,A,1,ECS 020,CSCI 204 (3.00),
Modesto Junior College,UCD,Intro1,A,1,ECS 036A,CSCI 271 (3.00),
Modesto Junior College,UCD,Intro2,A,1,ECS 036B,CSCI 272 (3.00),
Columbia College,UCD,Linear Algebra,A,1,MAT 022A,MATH 26 (3.00),
Modesto Junior College,UCD,Linear Algebra,A,1,MAT 022A; MAT 022B,MATH 191 (3.00); MATH 193 (3.00),
Modesto Junior College,UCD,Organization,A,1,ECS 050,CSCI 273 (3.00),
Modesto Junior College,UCI,Calc1,A,1,MATH 2A,MATH 171 (4.00),
Modesto Junior College,UCI,Calc2,A,1,MATH 2B,MATH 172 (4.00),
Modesto Junior College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 271 (3.00); CSCI 272 (3.00),
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Modesto Junior College,UCLA,Calc1,A,1,MATH 31A,MATH 171 (4.00),
Modesto Junior College,UCLA,Calc2,A,1,MATH 31B,MATH 172 (4.00),
Modesto Junior College,UCLA,Calc3,A,1,MATH 32A,MATH 173 (4.00),
Modesto Junior College,UCLA,Calc4,A,1,MATH 32B,MATH 173 (4.00),
Modesto Junior College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 193 (3.00),
Modesto Junior College,UCLA,DiscreteStructures,A,1,MATH 61,CSCI 204 (3.00),
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,
Modesto Junior College,UCLA,Intro3,A,1,COM SCI 33,CSCI 273 (3.00),
Modesto Junior College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 191 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Modesto Junior College,UCM,Calc1,A,1,MATH 021,MATH 171 (4.00),
Modesto Junior College,UCM,Calc2,A,1,MATH 022,MATH 172 (4.00),
Modesto Junior College,UCM,DataStructures,A,1,CSE 030,CSCI 272 (3.00),
Modesto Junior College,UCM,LinearAlgebra,A,1,MATH 024,MATH 191 (3.00); MATH 193 (3.00),
Modesto Junior College,UCM,VectorCalc,A,1,MATH 023,MATH 173 (4.00),
Modesto Junior College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 171 (4.00); MATH 172 (4.00),
Modesto Junior College,UCR,Intro1,A,1,CS 10A,CSCI 271 (3.00),
Columbia College,UCR,Intro2,A,1,CS 10B,COMP 12P (4.00),
Modesto Junior College,UCSB,Calc1,A,1,MATH 3A,MATH 171 (4.00),
Modesto Junior College,UCSB,Calc2,A,1,MATH 3B,MATH 172 (4.00),
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
Modesto Junior College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 193 (3.00),
Modesto Junior College,UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 204 (3.00),
Not Articulated,UCSB,Intro,A,1,CMPSC 16,Not Articulated,
Modesto Junior College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 191 (3.00),
Modesto Junior College,UCSC,Calc1,A,1,MATH 19A,MATH 171 (4.00); MATH 172 (4.00),
Modesto Junior College,UCSC,Calc2,A,1,MATH 19B,MATH 171 (4.00); MATH 172 (4.00),
Modesto Junior College,UCSC,DataStructures,A,1,CSE 12,CSCI 273 (3.00),
Modesto Junior College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 204 (3.00),
Modesto Junior College,UCSC,Intro,A,1,CSE 30,CSCI 272 (3.00),
Modesto Junior College,UCSD,Calc1,A,1,MATH 20A,MATH 171 (4.00),
Modesto Junior College,UCSD,Calc2,A,1,MATH 20B,MATH 172 (4.00),
Modesto Junior College,UCSD,Calc3,A,1,MATH 20C,MATH 173 (4.00),
Modesto Junior College,UCSD,DataStructures,A,1,CSE 12,CSCI 272 (3.00),
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Columbia College,UCSD,Intro,A,1,CSE 11,COMP 11P (4.00),
Modesto Junior College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 191 (3.00),
