College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Woodland Community College,UCB,Calc1,A,1,MATH 51,MATH 1A (4.00),
Woodland Community College,UCB,Calc2,A,1,MATH 52,MATH 1B (4.00),
Woodland Community College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2 (3.00); MATH 3 (3.00),
Woodland Community College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C (4.00),
Woodland Community College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH 1A (4.00); MATH 1B (4.00),
Woodland Community College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH 1A (4.00); MATH 1B (4.00),
Woodland Community College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH 1B (4.00); MATH 1C (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Yuba College,UCD,DiscreteMath,A,1,ECS 020,COMSC 15 (3.00),
Yuba College,UCD,Intro1,A,1,ECS 036A,COMSC 9A (4.00),COMSC 12 (3.00)
Yuba College,UCD,Intro2,A,1,ECS 036B,COMSC 11 (3.00),
Woodland Community College,UCD,Linear Algebra,A,1,MAT 022A,MATH 3 (3.00),
Yuba College,UCD,Organization,A,1,ECS 050,COMSC 2 (3.00),
Woodland Community College,UCI,Calc1,A,1,MATH 2A,MATH 1A (4.00),
Woodland Community College,UCI,Calc2,A,1,MATH 2B,MATH 1B (4.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Woodland Community College,UCLA,Calc1,A,1,MATH 31A,MATH 1A (4.00),
Woodland Community College,UCLA,Calc2,A,1,MATH 31B,MATH 1B (4.00),
Woodland Community College,UCLA,Calc3,A,1,MATH 32A,MATH 1C (4.00),
Woodland Community College,UCLA,Calc4,A,1,MATH 32B,MATH 1C (4.00),
Woodland Community College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2 (3.00),
Not Articulated,UCLA,DiscreteStructures,A,1,MATH 61,Not Articulated,
Yuba College,UCLA,Intro,A,1,COM SCI 31,COMSC 9A (4.00),
Yuba College,UCLA,Intro2,A,1,COM SCI 32,COMSC 9B (4.00),
Yuba College,UCLA,Intro3,A,1,COM SCI 33,COMSC 2 (3.00),
Woodland Community College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3 (3.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Woodland Community College,UCM,Calc1,A,1,MATH 021,MATH 1A (4.00),
Woodland Community College,UCM,Calc2,A,1,MATH 022,MATH 1B (4.00),
Yuba College,UCM,DataStructures,A,1,CSE 030,COMSC 9B (4.00),
Woodland Community College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2 (3.00),
Woodland Community College,UCM,VectorCalc,A,1,MATH 023,MATH 1C (4.00),
Woodland Community College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A (4.00); MATH 1B (4.00),
Yuba College,UCR,Intro1,A,1,CS 10A,COMSC 9A (4.00),
Yuba College,UCR,Intro2,A,1,CS 10B,COMSC 11 (3.00),COMSC 12 (3.00)
Woodland Community College,UCSB,Calc1,A,1,MATH 3A,MATH 1A (4.00),
Woodland Community College,UCSB,Calc2,A,1,MATH 3B,MATH 1B (4.00),
Yuba College,UCSB,DataStructures,A,1,CMPSC 24,COMSC 9B (4.00),
Woodland Community College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2 (3.00),
Yuba College,UCSB,DiscreteMath,A,1,CMPSC 40,COMSC 15 (3.00),
Yuba College,UCSB,Intro,A,1,CMPSC 16,COMSC 9A (4.00),
Woodland Community College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3 (3.00),
Woodland Community College,UCSC,Calc1,A,1,MATH 19A,MATH 1A (4.00),
Woodland Community College,UCSC,Calc2,A,1,MATH 19B,MATH 1B (4.00),
Yuba College,UCSC,DataStructures,A,1,CSE 12,COMSC 2 (3.00),
Yuba College,UCSC,DiscreteMath,A,1,CSE 16,COMSC 15 (3.00),
Yuba College,UCSC,Intro,A,1,CSE 30,COMSC 9B (4.00),
Woodland Community College,UCSD,Calc1,A,1,MATH 20A,MATH 1A (4.00),
Woodland Community College,UCSD,Calc2,A,1,MATH 20B,MATH 1B (4.00),
Woodland Community College,UCSD,Calc3,A,1,MATH 20C,MATH 1C (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Yuba College,UCSD,Intro,A,1,CSE 11,COMSC 12 (3.00),
Woodland Community College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 3 (3.00),
