UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MTH 1 (5.00),
UCB,Calc2,A,1,MATH 1B,MTH 2 (5.00),
UCB,MultivariableCalc,A,1,MATH 53,MTH 3 (5.00),
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MTH 4 (3.00); MTH 6 (3.00),
UCD,DiscreteMath,A,1,ECS 020,CSCI 28 (3.00),MTH 8 (3.00)
UCD,Intro1,A,1,ECS 036A,CSCI 14 (4.00),
UCD,Intro2,A,1,ECS 036B,CSCI 15 (4.00),CSCI 20 (4.00)
UCD,DataStructures,A,1,ECS 036C,CSCI 20 (4.00),
UCD,Organization,A,1,ECS 050,CSCI 21 (4.00),
UCD,Calc1,A,1,MAT 021A; MAT 021B,MTH 1 (5.00); MTH 2 (5.00),
UCD,Calc2,A,1,MAT 021A; MAT 021B,MTH 1 (5.00); MTH 2 (5.00),
UCD,Calc3,A,1,MAT 021C; MAT 021D,MTH 3 (5.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14 (4.00); CSCI 15 (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14 (4.00); CSCI 15 (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 14 (4.00); CSCI 15 (4.00),
UCI,Calc1,A,1,MATH 2A,MTH 1 (5.00),MTH 15 (3.00)
UCI,Calc2,A,1,MATH 2B,MTH 2 (5.00),MTH 16 (3.00)
UCLA,Intro,A,1,COM SCI 31,CSCI 15 (4.00),
UCLA,Calc1,A,1,MATH 31A,MTH 1 (5.00),
UCLA,Calc2,A,1,MATH 31B,MTH 2 (5.00),
UCLA,Calc3,A,1,MATH 32A,MTH 3 (5.00),
UCLA,Calc4,A,1,MATH 32B,MTH 3 (5.00),
UCLA,LinearAlgebra,A,1,MATH 33A,MTH 6 (3.00),
UCLA,DifferentialEquations,A,1,MATH 33B,MTH 4 (3.00),
UCM,DataStructures,A,1,CSE 030,CSCI 20 (4.00),
UCM,Calc1,A,1,MATH 021,MTH 1 (5.00),
UCM,Calc2,A,1,MATH 022,MTH 2 (5.00),
UCM,VectorCalc,A,1,MATH 023,MTH 3 (5.00),
UCM,LinearAlgebra,A,1,MATH 024,MTH 4 (3.00); MTH 6 (3.00),
UCM,DataStructures,A,1,CSE 030,CSCI 20 (4.00),
UCR,Intro1,A,1,CS 10A,CSCI 14 (4.00),
UCR,Intro2,A,1,CS 10B,CSCI 15 (4.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1 (5.00); MTH 2 (5.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1 (5.00); MTH 2 (5.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MTH 1 (5.00); MTH 2 (5.00),
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,CSCI 19A (4.00),
UCSD,DataStructures,A,1,CSE 12,CSCI 20 (4.00),
UCSD,DiscreteMath,A,1,CSE 20,MTH 8 (3.00),
UCSD,LinearAlgebra,A,1,MATH 18,MTH 6 (3.00),
UCSD,Calc1,A,1,MATH 20A,MTH 1 (5.00),
UCSD,Calc2,A,1,MATH 20B,MTH 2 (5.00),
UCSD,Calc3,A,1,MATH 20C,MTH 3 (5.00),
UCSB,Calc1,A,1,MATH 3A,MTH 1 (5.00),
UCSB,Calc2,A,1,MATH 3B,MTH 2 (5.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MTH 6 (3.00),
UCSB,DifferentialEquations,A,1,MATH 4B,MTH 4 (3.00),
UCSB,Intro,A,1,CMPSC 16,CSCI 15 (4.00),
UCSB,DataStructures,A,1,CMPSC 24,CSCI 20 (4.00),
UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 28 (3.00),MTH 8 (3.00)
UCSC,DataStructures,A,1,CSE 12,CSCI 21 (4.00),
UCSC,DiscreteMath,A,1,CSE 16,MTH 8 (3.00),CSCI 28 (3.00)
UCSC,Intro,A,1,CSE 30,CSCI 20 (4.00),
UCSC,Calc1,A,1,MATH 19A,MTH 1 (5.00),
UCSC,Calc2,A,1,MATH 19B,MTH 2 (5.00),
