UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 51,MATH C180 (5.00)
UCB,Calc2,A,1,MATH 52,MATH C185 (5.00)
UCB,MultivariableCalc,A,1,MATH 53,MATH C280 (5.00)
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH C285 (5.00)
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated
UCI,Calc1,A,1,MATH 2A,MATH C180 (5.00)
UCI,Calc2,A,1,MATH 2B,MATH C185 (5.00)
UCI,Programming,A,1,I&C SCI 45C,Not Articulated
UCI,Programming,B,1,I&C SCI 46,Not Articulated
UCI,Programming,C,1,I&C SCI 51,Not Articulated
UCI,Programming,D,1,I&C SCI 53,Not Articulated
UCI,Programming,E,1,IN4MATX 43,Not Articulated
UCI,Programming,F,1,I&C SCI 6B,Not Articulated
UCI,Programming,G,1,I&C SCI 6D,Not Articulated
UCI,Programming,H,1,STATS 67,Not Articulated
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Intro2,A,1,COM SCI 32,Not Articulated
UCLA,Intro3,A,1,COM SCI 33,Not Articulated
UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MATH C180 (5.00)
UCLA,Calc2,A,1,MATH 31B,MATH C185 (5.00)
UCLA,Calc3,A,1,MATH 32A,MATH C280 (5.00)
UCLA,Calc4,A,1,MATH 32B,MATH C280 (5.00)
UCLA,LinearAlgebra,A,1,MATH 33A,MATH C285 (5.00)
UCLA,DifferentialEquations,A,1,MATH 33B,MATH C285 (5.00)
UCLA,DiscreteStructures,A,1,MATH 61,Not Articulated
UCM,DataStructures,A,1,CSE 030,ICS C123 (3.00)
UCM,Calc1,A,1,MATH 021,MATH C180 (5.00)
UCM,Calc2,A,1,MATH 022,MATH C185 (5.00)
UCM,VectorCalc,A,1,MATH 023,MATH C280 (5.00)
UCM,LinearAlgebra,A,1,MATH 024,MATH C285 (5.00)
UCR,Intro1,A,1,CS 10A,Not Articulated
UCR,Intro2,A,1,CS 10B,Not Articulated
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH C180 (5.00); MATH C185 (5.00)
UCSD,Intro,A,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,ICS C123 (3.00)
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MATH C285 (5.00)
UCSD,Calc1,A,1,MATH 20A,MATH C180 (5.00)
UCSD,Calc2,A,1,MATH 20B,MATH C185 (5.00)
UCSD,Calc3,A,1,MATH 20C,MATH C280 (5.00)
UCSB,Calc1,A,1,MATH 3A,MATH C180 (5.00)
UCSB,Calc2,A,1,MATH 3B,MATH C185 (5.00)
UCSB,LinearAlgebra,A,1,MATH 4A,MATH C285 (5.00)
UCSB,DifferentialEquations,A,1,MATH 4B,MATH C285 (5.00)
UCSB,Intro,A,1,CMPSC 16,Not Articulated
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
UCSB,DiscreteMath,A,1,CMPSC 40,MATH C230 (5.00)
UCSC,Organization,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,ICS C123 (3.00)
UCSC,Calc1,A,1,MATH 19A,MATH C180 (5.00)
UCSC,Calc2,A,1,MATH 19B,MATH C185 (5.00)
