UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 251 (5.00),,,
UCB,Calc2,A,1,MATH 1B,MATH 252 (5.00),,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 253 (5.00),,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
UCD,DiscreteMath,A,1,ECS 020,CIS 262 (3.00),MATH 268 (4.00),,
UCD,Intro1,A,1,ECS 036A,Not Articulated,,,
UCD,Intro2,A,1,ECS 036B,CIS 278 (4.00),,,
UCD,DataStructures,A,1,ECS 036C,CIS 256 (4.00),CIS 279 (4.00),,
UCD,Organization,A,1,ECS 050,CIS 264 (4.00),,,
UCD,Calc1,A,1,MAT 021A,MATH 251 (5.00),,,
UCD,Calc2,A,1,MAT 021B,MATH 251 (5.00); MATH 252 (5.00),,,
UCD,Calc3,A,1,MAT 021C,MATH 252 (5.00),,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117 (4.00); CIS 502 (4.00),CIS 501 (4.00); CIS 502 (4.00),CIS 255 (4.00); CIS 256 (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117 (4.00); CIS 502 (4.00),CIS 501 (4.00); CIS 502 (4.00),CIS 255 (4.00); CIS 256 (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 117 (4.00); CIS 502 (4.00),CIS 501 (4.00); CIS 502 (4.00),CIS 255 (4.00); CIS 256 (4.00),
UCI,Calc1,A,1,MATH 2A,MATH 251 (5.00),,,
UCI,Calc2,A,1,MATH 2B,MATH 252 (5.00),,,
UCLA,Intro,A,1,COM SCI 31,CIS 278 (4.00),,,
UCLA,Calc1,A,1,MATH 31A,MATH 251 (5.00),,,
UCLA,Calc2,A,1,MATH 31B,MATH 252 (5.00),,,
UCLA,Calc3,A,1,MATH 32A,MATH 253 (5.00),,,
UCLA,Calc4,A,1,MATH 32B,MATH 253 (5.00),,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270 (3.00),,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275 (3.00),,,
UCM,DataStructures,A,1,CSE 030,CIS 256 (4.00),CIS 279 (4.00),,
UCM,Calc1,A,1,MATH 021,MATH 251 (5.00),,,
UCM,Calc2,A,1,MATH 022,MATH 252 (5.00),,,
UCM,VectorCalc,A,1,MATH 023,MATH 253 (5.00),,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 270 (3.00); MATH 275 (3.00),,,
UCM,DataStructures,A,1,CSE 030,CIS 256 (4.00),CIS 279 (4.00),,
UCR,Intro1,A,1,CS 10A,CIS 254 (4.00),CIS 278 (4.00),,
UCR,Intro2,A,1,CS 10B,CIS 255 (4.00),CIS 278 (4.00),CIS 279 (4.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241 (5.00); MATH 242 (3.00),MATH 251 (5.00); MATH 252 (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241 (5.00); MATH 242 (3.00),MATH 251 (5.00); MATH 252 (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 241 (5.00); MATH 242 (3.00),MATH 251 (5.00); MATH 252 (5.00),,
UCSD,Intro,A,1,CSE 8B,CIS 255 (4.00),,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,,
UCSD,DataStructures,A,1,CSE 12,CIS 256 (4.00),,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 268 (4.00),CIS 262 (3.00),,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270 (3.00),,,
UCSD,Calc1,A,1,MATH 20A,MATH 251 (5.00),,,
UCSD,Calc2,A,1,MATH 20B,MATH 252 (5.00),,,
UCSD,Calc3,A,1,MATH 20C,MATH 253 (5.00),,,
UCSB,Calc1,A,1,MATH 3A,MATH 251 (5.00),,,
UCSB,Calc2,A,1,MATH 3B,MATH 252 (5.00),,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270 (3.00),,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275 (3.00),,,
UCSB,Intro,A,1,CMPSC 16,CIS 278 (4.00),,,
UCSB,DataStructures,A,1,CMPSC 24,CIS 279 (4.00),,,
UCSB,DiscreteMath,A,1,CMPSC 40,CIS 262 (3.00),MATH 268 (4.00),,
UCSC,DataStructures,A,1,CSE 12,CIS 264 (4.00),,,
UCSC,DiscreteMath,A,1,CSE 16,CIS 262 (3.00),MATH 268 (4.00),,
UCSC,Intro,A,1,CSE 30,CIS 256 (4.00),CIS 279 (4.00),CIS 501 (4.00),CIS 502 (4.00)
UCSC,Calc1,A,1,MATH 19A,MATH 251 (5.00),,,
UCSC,Calc2,A,1,MATH 19B,MATH 252 (5.00),,,
