UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH M25A (5.00),,
UCB,Calc2,A,1,MATH 1B,MATH M25B (5.00),,
UCB,MultivariableCalc,A,1,MATH 53,MATH M25C (5.00),,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH M31 (3.00); MATH M35 (3.00),,
UCD,DiscreteMath,A,1,ECS 020,CS M155 (3.00),MATH M21 (3.00),
UCD,Intro1,A,1,ECS 036A,Not Articulated,,
UCD,Intro2,A,1,ECS 036B,CS M135 (3.00),,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CS M145 (3.00),,
UCD,Calc1,A,1,MAT 021A,MATH M25A (5.00),MATH M25AH (5.00),
UCD,Calc2,A,1,MAT 021B,MATH M25B (5.00),,
UCD,Calc3,A,1,MAT 021C,MATH M25C (5.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125 (3.00); CS M135 (3.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125 (3.00); CS M135 (3.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS M125 (3.00); CS M135 (3.00),,
UCI,Calc1,A,1,MATH 2A,MATH M25A (5.00),MATH M25AH (5.00),
UCI,Calc2,A,1,MATH 2B,MATH M25B (5.00),MATH M25BH (5.00),
UCLA,Intro,A,1,COM SCI 31,CS M125 (3.00),,
UCLA,Calc1,A,1,MATH 31A,MATH M25A (5.00),MATH M25AH (5.00),
UCLA,Calc2,A,1,MATH 31B,MATH M25B (5.00),MATH M25BH (5.00),
UCLA,Calc3,A,1,MATH 32A,MATH M25C (5.00),,
UCLA,Calc4,A,1,MATH 32B,MATH M25C (5.00),,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH M31 (3.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH M35 (3.00),,
UCM,DataStructures,A,1,CSE 030,CS M135 (3.00),,
UCM,Calc1,A,1,MATH 021,MATH M25A (5.00),MATH M25AH (5.00),
UCM,Calc2,A,1,MATH 022,MATH M25B (5.00),MATH M25BH (5.00),
UCM,VectorCalc,A,1,MATH 023,MATH M25C (5.00),,
UCM,LinearAlgebra,A,1,MATH 024,MATH M31 (3.00); MATH M35 (3.00),,
UCM,DataStructures,A,1,CSE 030,CS M135 (3.00),,
UCR,Intro1,A,1,CS 10A,CS M125 (3.00),CS M10J (4.00),CS M135 (3.00)
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A (5.00); MATH M25B (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A (5.00); MATH M25B (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH M25A (5.00); MATH M25B (5.00),,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,CS M10J (4.00),,
UCSD,DataStructures,A,1,CSE 12,CS M135 (3.00),,
UCSD,DiscreteMath,A,1,CSE 20,MATH M21 (3.00),CS M155 (3.00),
UCSD,LinearAlgebra,A,1,MATH 18,MATH M31 (3.00),,
UCSD,Calc1,A,1,MATH 20A,MATH M16A (3.00),MATH M25A (5.00),
UCSD,Calc2,A,1,MATH 20B,MATH M16B (3.00),MATH M25B (5.00),
UCSD,Calc3,A,1,MATH 20C,MATH M25C (5.00),,
UCSB,Calc1,A,1,MATH 3A,MATH M25A (5.00),MATH M25AH (5.00),
UCSB,Calc2,A,1,MATH 3B,MATH M25B (5.00),MATH M25BH (5.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MATH M31 (3.00),,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH M35 (3.00),,
UCSB,Intro,A,1,CMPSC 16,CS M125 (3.00),,
UCSB,DataStructures,A,1,CMPSC 24,CS M135 (3.00),,
UCSB,DiscreteMath,A,1,CMPSC 40,CS M155 (3.00),MATH M21 (3.00),
UCSC,DataStructures,A,1,CSE 12,CS M145 (3.00),,
UCSC,DiscreteMath,A,1,CSE 16,CS M155 (3.00),,
UCSC,Intro,A,1,CSE 30,Not Articulated,,
UCSC,Calc1,A,1,MATH 19A,MATH M25A (5.00),MATH M25AH (5.00),
UCSC,Calc2,A,1,MATH 19B,MATH M25B (5.00),MATH M25BH (5.00),
