UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
UCB,Calc1,A,1,MATH 1A,MATH 180 (4.00),,,,
UCB,Calc2,A,1,MATH 1B,MATH 181 (4.00),,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 280 (5.00),,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 260 (3.00); MATH 290 (4.00),ENGR 285 (4.00),MATH 285 (5.00),,
UCD,DiscreteMath,A,1,ECS 020,CSCI 190 (4.00),,,,
UCD,Intro1,A,1,ECS 036A,CISP 31 (3.00),CISP 31L (0.50),,,
UCD,Intro2,A,1,ECS 036B,CISP 34 (3.00); CISP 34L (0.50),CSCI 140 (4.00),,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,,,
UCD,Organization,A,1,ECS 050,Not Articulated,,,,
UCD,Calc1,A,1,MAT 021A,MATH 180 (4.00),,,,
UCD,Calc2,A,1,MAT 021B,MATH 181 (4.00),,,,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 280 (5.00),,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,,
UCI,Calc1,A,1,MATH 2A,MATH 180 (4.00),,,,
UCI,Calc2,A,1,MATH 2B,MATH 181 (4.00),,,,
UCLA,Intro,A,1,COM SCI 31,CSCI 140 (4.00),CISP 31 (3.00),,,
UCLA,Calc1,A,1,MATH 31A,MATH 180 (4.00),,,,
UCLA,Calc2,A,1,MATH 31B,MATH 181 (4.00),,,,
UCLA,Calc3,A,1,MATH 32A,MATH 280 (5.00),,,,
UCLA,Calc4,A,1,MATH 32B,MATH 280 (5.00),,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 260 (3.00),MATH 285 (5.00),ENGR 285 (4.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 285 (5.00),MATH 290 (4.00),,,
UCM,DataStructures,A,1,CSE 030,CSCI 220 (3.50); CSCI 230 (3.50),CSCI 240 (5.00),,,
UCM,Calc1,A,1,MATH 021,MATH 180 (4.00),,,,
UCM,Calc2,A,1,MATH 022,MATH 181 (4.00),,,,
UCM,VectorCalc,A,1,MATH 023,MATH 280 (5.00),,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 260 (3.00); MATH 290 (4.00),MATH 285 (5.00),,,
UCM,DataStructures,A,1,CSE 030,CSCI 220 (3.50); CSCI 230 (3.50),CSCI 240 (5.00),,,
UCR,Intro1,A,1,CS 10A,CISP 31 (3.00); CISP 31L (0.50),CISP 34 (3.00); CISP 34L (0.50),CSCI 110 (3.50),CSCI 140 (4.00),CSCI 145 (4.00)
UCR,Intro2,A,1,CS 10B,CISP 21 (3.00),CSCI 140 (4.00),,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180 (4.00); MATH 181 (4.00),,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180 (4.00); MATH 181 (4.00),,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180 (4.00); MATH 181 (4.00),,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,,
UCSD,Intro,B,1,CSE 11,CSCI 145 (4.00),,,,
UCSD,DataStructures,A,1,CSE 12,CSCI 220 (3.50); CSCI 230 (3.50),CSCI 140 (4.00),,,
UCSD,DiscreteMath,A,1,CSE 20,CSCI 190 (4.00),,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 285 (5.00),MATH 260 (3.00),,,
UCSD,Calc1,A,1,MATH 20A,MATH 180 (4.00),,,,
UCSD,Calc2,A,1,MATH 20B,MATH 181 (4.00),,,,
UCSD,Calc3,A,1,MATH 20C,MATH 280 (5.00),,,,
UCSB,Calc1,A,1,MATH 3A,MATH 180 (4.00),,,,
UCSB,Calc2,A,1,MATH 3B,MATH 181 (4.00),,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 260 (3.00),MATH 285 (5.00),ENGR 285 (4.00),,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 290 (4.00),MATH 285 (5.00),ENGR 285 (4.00),,
UCSB,Intro,A,1,CMPSC 16,CISP 31 (3.00); CISP 31L (0.50),CSCI 140 (4.00),,,
UCSB,DataStructures,A,1,CMPSC 24,CISP 34 (3.00); CISP 34L (0.50),CSCI 220 (3.50); CSCI 230 (3.50),,,
UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 190 (4.00),,,,
UCSC,DataStructures,A,1,CSE 12,CSCI 150 (3.50),,,,
UCSC,DiscreteMath,A,1,CSE 16,CSCI 190 (4.00),,,,
UCSC,Intro,A,1,CSE 30,CSCI 220 (3.50),,,,
UCSC,Calc1,A,1,MATH 19A,MATH 180 (4.00),,,,
UCSC,Calc2,A,1,MATH 19B,MATH 181 (4.00),,,,
