UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH V21A (5.00),,
UCB,Calc2,A,1,MATH 1B,MATH V21B (5.00),,
UCB,MultivariableCalc,A,1,MATH 53,MATH V21C (5.00),,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH V21C (5.00); MATH V22 (3.00); MATH V23 (3.00),,
UCD,DiscreteMath,A,1,ECS 020,CS V17 (3.00),MATH V52 (3.00),
UCD,Intro1,A,1,ECS 036A,CS V13 (3.00),,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,
UCD,DataStructures,A,1,ECS 036C,CS V15 (3.00),,
UCD,Organization,A,1,ECS 050,CS V19 (3.00),,
UCD,Calc1,A,1,MAT 021A,MATH V21A (5.00),,
UCD,Calc2,A,1,MAT 021B,MATH V21A (5.00); MATH V21B (5.00),,
UCD,Calc3,A,1,MAT 021C,MATH V21B (5.00); MATH V21C (5.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40 (3.00); CS V42 (3.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40 (3.00); CS V42 (3.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40 (3.00); CS V42 (3.00),,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS V11 (3.00); CS V13 (3.00),,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CS V11 (3.00); CS V13 (3.00),,
UCI,Calc1,A,1,MATH 2A,MATH V21A (5.00),,
UCI,Calc2,A,1,MATH 2B,MATH V21B (5.00),,
UCLA,Intro,A,1,COM SCI 31,CS V30 (3.00),,
UCLA,Calc1,A,1,MATH 31A,MATH V21A (5.00),,
UCLA,Calc2,A,1,MATH 31B,MATH V21B (5.00),,
UCLA,Calc3,A,1,MATH 32A,MATH V21C (5.00),,
UCLA,Calc4,A,1,MATH 32B,MATH V21C (5.00),,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH V22 (3.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH V23 (3.00),,
UCM,DataStructures,A,1,CSE 030,CS V15 (3.00),,
UCM,Calc1,A,1,MATH 021,MATH V21A (5.00),,
UCM,Calc2,A,1,MATH 022,MATH V21B (5.00),,
UCM,VectorCalc,A,1,MATH 023,MATH V21C (5.00),,
UCM,LinearAlgebra,A,1,MATH 024,MATH V22 (3.00); MATH V23 (3.00),,
UCM,DataStructures,A,1,CSE 030,CS V15 (3.00),,
UCR,Intro1,A,1,CS 10A,CS V13 (3.00),CS V30 (3.00),CS V40 (3.00)
UCR,Intro2,A,1,CS 10B,Not Articulated,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A (5.00); MATH V21B (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A (5.00); MATH V21B (5.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH V21A (5.00); MATH V21B (5.00),,
UCSD,Intro,A,1,CSE 8B,CS V42 (3.00),,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CS V15 (3.00),,
UCSD,DiscreteMath,A,1,CSE 20,CS V17 (3.00),MATH V52 (3.00),
UCSD,LinearAlgebra,A,1,MATH 18,MATH V22 (3.00),,
UCSD,Calc1,A,1,MATH 20A,MATH V21A (5.00),,
UCSD,Calc2,A,1,MATH 20B,MATH V21B (5.00),,
UCSD,Calc3,A,1,MATH 20C,MATH V21C (5.00),,
UCSB,Calc1,A,1,MATH 3A,MATH V21A (5.00),,
UCSB,Calc2,A,1,MATH 3B,MATH V21B (5.00),,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH V22 (3.00),,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH V23 (3.00),,
UCSB,Intro,A,1,CMPSC 16,CS V11 (3.00); CS V13 (3.00),,
UCSB,DataStructures,A,1,CMPSC 24,CS V15 (3.00); CS V30 (3.00),,
UCSB,DiscreteMath,A,1,CMPSC 40,CS V17 (3.00),MATH V52 (3.00),
UCSC,DataStructures,A,1,CSE 12,CS V19 (3.00),,
UCSC,DiscreteMath,A,1,CSE 16,MATH V52 (3.00),CS V17 (3.00),
UCSC,Intro,A,1,CSE 30,CS V15 (3.00),,
UCSC,Calc1,A,1,MATH 19A,MATH V21A (5.00),,
UCSC,Calc2,A,1,MATH 19B,MATH V21B (5.00),,
