cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
chabot,UCSD,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
chabot,UCLA,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
chabot,UCI,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
chabot,UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
chabot,UCSB,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
chabot,UCD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCB,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
chabot,UCSC,7CoursePattern,success,12,77,True,13,15,13,12,3,3,
chabot,UCM,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
chabot,UCLA+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCI+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCSB+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCD+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCB+UCSD,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
chabot,UCSC+UCSD,7CoursePattern,success,12,80,True,13,15,13,15,3,3,
chabot,UCM+UCSD,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
chabot,UCI+UCLA,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCLA+UCSB,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCD+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCB+UCLA,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
chabot,UCLA+UCSC,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCLA+UCM,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
chabot,UCI+UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
chabot,UCI+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCD+UCI,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCB+UCI,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCI+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCI+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCR+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCD+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCB+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCR+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCD+UCSB,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCB+UCSB,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCSB+UCSC,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
chabot,UCM+UCSB,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCB+UCD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCD+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
chabot,UCD+UCM,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCB+UCSC,7CoursePattern,success,12,86,True,13,15,15,13,9,3,
chabot,UCB+UCM,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
chabot,UCM+UCSC,7CoursePattern,success,12,86,True,13,15,15,13,9,3,
chabot,UCI+UCLA+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCLA+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCLA+UCSB+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCD+UCLA+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
chabot,UCB+UCLA+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCLA+UCSC+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCLA+UCM+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCI+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
chabot,UCI+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCD+UCI+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCB+UCI+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCI+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCI+UCM+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCR+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCD+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCB+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCR+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
chabot,UCM+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCD+UCSB+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
chabot,UCB+UCSB+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCSB+UCSC+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCM+UCSB+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
chabot,UCB+UCD+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
chabot,UCD+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
