cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
chabot,UCSD,IGETC,success,5,65,True,13,13,15,15,9,0,
chabot,UCLA,IGETC,success,4,58,False,13,15,15,15,0,0,
chabot,UCI,IGETC,success,4,48,False,15,15,15,3,0,0,
chabot,UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
chabot,UCSB,IGETC,success,5,61,True,13,15,15,15,3,0,
chabot,UCD,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCB,IGETC,success,4,51,False,15,15,15,6,0,0,
chabot,UCSC,IGETC,success,5,59,True,13,15,13,15,3,0,
chabot,UCM,IGETC,success,5,62,True,13,13,15,15,6,0,
chabot,UCLA+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
chabot,UCI+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCSB+UCSD,IGETC,success,5,70,True,13,15,15,15,12,0,
chabot,UCD+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCB+UCSD,IGETC,success,5,68,True,13,13,15,15,12,0,
chabot,UCSC+UCSD,IGETC,success,5,65,True,13,15,13,15,9,0,
chabot,UCM+UCSD,IGETC,success,5,68,True,13,13,15,15,12,0,
chabot,UCI+UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCLA+UCSB,IGETC,success,5,64,True,13,15,15,15,6,0,
chabot,UCD+UCLA,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCB+UCLA,IGETC,success,4,58,False,13,15,15,15,0,0,
chabot,UCLA+UCSC,IGETC,success,5,67,True,13,15,15,15,9,0,
chabot,UCLA+UCM,IGETC,success,5,61,True,13,15,15,15,3,0,
chabot,UCI+UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
chabot,UCI+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCD+UCI,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCB+UCI,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCI+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCI+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCR+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCD+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCB+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCR+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCM+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
chabot,UCD+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCB+UCSB,IGETC,success,5,64,True,13,15,15,15,6,0,
chabot,UCSB+UCSC,IGETC,success,5,64,True,13,15,15,15,6,0,
chabot,UCM+UCSB,IGETC,success,5,64,True,13,15,15,15,6,0,
chabot,UCB+UCD,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCD+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
chabot,UCD+UCM,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCB+UCSC,IGETC,success,5,68,True,13,15,15,13,12,0,
chabot,UCB+UCM,IGETC,success,5,62,True,13,13,15,15,6,0,
chabot,UCM+UCSC,IGETC,success,5,68,True,13,15,15,13,12,0,
chabot,UCI+UCLA+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCLA+UCR+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCLA+UCSB+UCSD,IGETC,success,5,70,True,13,15,15,15,12,0,
chabot,UCD+UCLA+UCSD,IGETC,success,5,72,True,15,15,15,15,12,0,
chabot,UCB+UCLA+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
chabot,UCLA+UCSC+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
chabot,UCLA+UCM+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
chabot,UCI+UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCI+UCSB+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
chabot,UCD+UCI+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
chabot,UCB+UCI+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCI+UCSC+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
chabot,UCI+UCM+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCR+UCSB+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
chabot,UCD+UCR+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
chabot,UCB+UCR+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
chabot,UCR+UCSC+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
