cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
city_college_of_san_francisco,UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
city_college_of_san_francisco,UCLA,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
city_college_of_san_francisco,UCI,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
city_college_of_san_francisco,UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
city_college_of_san_francisco,UCSB,7CoursePattern,success,12,80,True,15,15,14,12,3,3,
city_college_of_san_francisco,UCD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
city_college_of_san_francisco,UCB,7CoursePattern,success,12,69,True,15,15,9,6,3,3,
city_college_of_san_francisco,UCSC,7CoursePattern,success,12,74,True,13,13,15,9,3,3,
city_college_of_san_francisco,UCM,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
city_college_of_san_francisco,UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCI+UCSD,7CoursePattern,success,12,88,True,15,15,15,13,9,3,
city_college_of_san_francisco,UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCD+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCB+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCSC+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCM+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCI+UCLA,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCLA+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCD+UCLA,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCLA,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
city_college_of_san_francisco,UCLA+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCLA+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCI+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCI+UCSB,7CoursePattern,success,12,86,True,15,15,14,15,6,3,
city_college_of_san_francisco,UCD+UCI,7CoursePattern,success,12,85,True,15,15,13,15,6,3,
city_college_of_san_francisco,UCB+UCI,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCI+UCSC,7CoursePattern,success,12,83,True,15,13,13,15,6,3,
city_college_of_san_francisco,UCI+UCM,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
city_college_of_san_francisco,UCR+UCSB,7CoursePattern,success,12,83,True,15,15,14,15,3,3,
city_college_of_san_francisco,UCD+UCR,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
city_college_of_san_francisco,UCB+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCR+UCSC,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
city_college_of_san_francisco,UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCD+UCSB,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCSB+UCSC,7CoursePattern,success,12,84,True,15,13,14,15,6,3,
city_college_of_san_francisco,UCM+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCB+UCD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCD+UCSC,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
city_college_of_san_francisco,UCD+UCM,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCSC,7CoursePattern,success,12,83,True,13,13,15,15,6,3,
city_college_of_san_francisco,UCB+UCM,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
city_college_of_san_francisco,UCM+UCSC,7CoursePattern,success,12,83,True,13,13,15,15,6,3,
city_college_of_san_francisco,UCI+UCLA+UCSD,7CoursePattern,success,12,90,True,15,15,15,15,9,3,
city_college_of_san_francisco,UCLA+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCLA+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCD+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCB+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCLA+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCLA+UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCI+UCR+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
city_college_of_san_francisco,UCI+UCSB+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
city_college_of_san_francisco,UCD+UCI+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
city_college_of_san_francisco,UCB+UCI+UCSD,7CoursePattern,success,12,91,True,15,15,15,13,12,3,
city_college_of_san_francisco,UCI+UCSC+UCSD,7CoursePattern,success,12,91,True,15,15,15,13,12,3,
city_college_of_san_francisco,UCI+UCM+UCSD,7CoursePattern,success,12,91,True,15,15,15,13,12,3,
city_college_of_san_francisco,UCR+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCD+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCB+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCR+UCSC+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCM+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCD+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCB+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCSB+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCM+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCB+UCD+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCD+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCD+UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCB+UCSC+UCSD,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
city_college_of_san_francisco,UCB+UCM+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCM+UCSC+UCSD,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
city_college_of_san_francisco,UCI+UCLA+UCR,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCI+UCLA+UCSB,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
city_college_of_san_francisco,UCD+UCI+UCLA,7CoursePattern,success,12,94,True,15,15,15,13,15,3,
city_college_of_san_francisco,UCB+UCI+UCLA,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCI+UCLA+UCSC,7CoursePattern,success,12,94,True,15,15,15,13,15,3,
city_college_of_san_francisco,UCI+UCLA+UCM,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
city_college_of_san_francisco,UCLA+UCR+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
city_college_of_san_francisco,UCD+UCLA+UCR,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
city_college_of_san_francisco,UCB+UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCLA+UCR+UCSC,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
city_college_of_san_francisco,UCLA+UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCD+UCLA+UCSB,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCLA+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCLA+UCSB+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCLA+UCM+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
city_college_of_san_francisco,UCB+UCD+UCLA,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCD+UCLA+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCD+UCLA+UCM,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCLA+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCB+UCLA+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
city_college_of_san_francisco,UCLA+UCM+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
city_college_of_san_francisco,UCI+UCR+UCSB,7CoursePattern,success,12,92,True,15,15,15,14,12,3,
city_college_of_san_francisco,UCD+UCI+UCR,7CoursePattern,success,12,88,True,15,15,13,15,9,3,
city_college_of_san_francisco,UCB+UCI+UCR,7CoursePattern,success,12,84,True,15,15,15,12,6,3,
city_college_of_san_francisco,UCI+UCR+UCSC,7CoursePattern,success,12,85,True,15,15,13,15,6,3,
city_college_of_san_francisco,UCI+UCM+UCR,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
