cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
city_college_of_san_francisco,UCSD,IGETC,success,5,61,True,15,13,15,15,3,0,
city_college_of_san_francisco,UCLA,IGETC,success,4,54,False,15,15,15,9,0,0,
city_college_of_san_francisco,UCI,IGETC,success,4,48,False,15,15,15,3,0,0,
city_college_of_san_francisco,UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
city_college_of_san_francisco,UCSB,IGETC,success,5,62,True,15,15,14,15,3,0,
city_college_of_san_francisco,UCD,IGETC,success,5,61,True,15,13,15,15,3,0,
city_college_of_san_francisco,UCB,IGETC,success,4,51,False,15,15,15,6,0,0,
city_college_of_san_francisco,UCSC,IGETC,success,5,59,True,13,13,15,15,3,0,
city_college_of_san_francisco,UCM,IGETC,success,4,58,False,13,15,15,15,0,0,
city_college_of_san_francisco,UCLA+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
city_college_of_san_francisco,UCI+UCSD,IGETC,success,5,73,True,15,15,15,13,15,0,
city_college_of_san_francisco,UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
city_college_of_san_francisco,UCSB+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
city_college_of_san_francisco,UCD+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
city_college_of_san_francisco,UCB+UCSD,IGETC,success,5,64,True,15,13,15,15,6,0,
city_college_of_san_francisco,UCSC+UCSD,IGETC,success,5,64,True,15,13,15,15,6,0,
city_college_of_san_francisco,UCM+UCSD,IGETC,success,5,64,True,15,13,15,15,6,0,
city_college_of_san_francisco,UCI+UCLA,IGETC,success,5,66,True,15,15,15,15,6,0,
city_college_of_san_francisco,UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
city_college_of_san_francisco,UCLA+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
city_college_of_san_francisco,UCD+UCLA,IGETC,success,5,67,True,15,13,15,15,9,0,
city_college_of_san_francisco,UCB+UCLA,IGETC,success,4,54,False,15,15,15,9,0,0,
city_college_of_san_francisco,UCLA+UCSC,IGETC,success,5,67,True,15,13,15,15,9,0,
city_college_of_san_francisco,UCLA+UCM,IGETC,success,4,57,False,15,15,15,12,0,0,
city_college_of_san_francisco,UCI+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
city_college_of_san_francisco,UCI+UCSB,IGETC,success,5,74,True,15,15,14,15,15,0,
city_college_of_san_francisco,UCD+UCI,IGETC,success,5,73,True,15,15,13,15,15,0,
city_college_of_san_francisco,UCB+UCI,IGETC,success,5,63,True,15,15,15,15,3,0,
city_college_of_san_francisco,UCI+UCSC,IGETC,success,5,71,True,15,13,13,15,15,0,
city_college_of_san_francisco,UCI+UCM,IGETC,success,5,70,True,15,13,15,15,12,0,
city_college_of_san_francisco,UCR+UCSB,IGETC,success,5,65,True,15,15,14,15,6,0,
city_college_of_san_francisco,UCD+UCR,IGETC,success,5,64,True,15,13,15,15,6,0,
city_college_of_san_francisco,UCB+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
city_college_of_san_francisco,UCR+UCSC,IGETC,success,5,61,True,15,13,15,15,3,0,
city_college_of_san_francisco,UCM+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
city_college_of_san_francisco,UCD+UCSB,IGETC,success,5,67,True,15,13,15,15,9,0,
city_college_of_san_francisco,UCB+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
city_college_of_san_francisco,UCSB+UCSC,IGETC,success,5,69,True,15,13,14,15,12,0,
city_college_of_san_francisco,UCM+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
city_college_of_san_francisco,UCB+UCD,IGETC,success,5,67,True,15,13,15,15,9,0,
city_college_of_san_francisco,UCD+UCSC,IGETC,success,5,61,True,15,13,15,15,3,0,
city_college_of_san_francisco,UCD+UCM,IGETC,success,5,67,True,15,13,15,15,9,0,
city_college_of_san_francisco,UCB+UCSC,IGETC,success,5,68,True,13,13,15,15,12,0,
city_college_of_san_francisco,UCB+UCM,IGETC,success,4,58,False,13,15,15,15,0,0,
city_college_of_san_francisco,UCM+UCSC,IGETC,success,5,68,True,13,13,15,15,12,0,
city_college_of_san_francisco,UCI+UCLA+UCSD,IGETC,success,5,75,True,15,15,15,15,15,0,
city_college_of_san_francisco,UCLA+UCR+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
city_college_of_san_francisco,UCLA+UCSB+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
