cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
diablo_valley,UCSD,IGETC,success,5,71,True,15,13,15,13,15,0,
diablo_valley,UCLA,IGETC,success,4,58,False,13,15,15,15,0,0,
diablo_valley,UCI,IGETC,success,4,57,False,15,15,15,12,0,0,
diablo_valley,UCR,IGETC,success,3,45,False,15,15,15,0,0,0,
diablo_valley,UCSB,IGETC,success,5,67,True,13,15,14,13,12,0,
diablo_valley,UCD,IGETC,success,4,51,False,15,15,15,6,0,0,
diablo_valley,UCB,IGETC,success,4,51,False,15,15,15,6,0,0,
diablo_valley,UCSC,IGETC,success,5,59,True,13,13,15,15,3,0,
diablo_valley,UCM,IGETC,success,5,62,True,13,13,15,15,6,0,
diablo_valley,UCLA+UCSD,IGETC,success,5,70,True,15,13,15,15,12,0,
diablo_valley,UCI+UCSD,IGETC,success,5,72,True,15,15,15,15,12,0,
diablo_valley,UCR+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
diablo_valley,UCSB+UCSD,IGETC,success,5,73,True,15,13,15,15,15,0,
diablo_valley,UCD+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
diablo_valley,UCB+UCSD,IGETC,success,6,74,True,15,13,15,13,15,3,
diablo_valley,UCSC+UCSD,IGETC,success,6,74,True,15,13,15,13,15,3,
diablo_valley,UCM+UCSD,IGETC,success,6,74,True,15,13,15,13,15,3,
diablo_valley,UCI+UCLA,IGETC,success,5,63,True,15,15,15,15,3,0,
diablo_valley,UCLA+UCR,IGETC,success,4,54,False,15,15,15,9,0,0,
diablo_valley,UCLA+UCSB,IGETC,success,5,68,True,13,15,15,13,12,0,
diablo_valley,UCD+UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
diablo_valley,UCB+UCLA,IGETC,success,4,58,False,13,15,15,15,0,0,
diablo_valley,UCLA+UCSC,IGETC,success,5,67,True,13,15,15,15,9,0,
diablo_valley,UCLA+UCM,IGETC,success,5,61,True,13,15,15,15,3,0,
diablo_valley,UCI+UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
diablo_valley,UCI+UCSB,IGETC,success,5,75,True,15,15,15,15,15,0,
diablo_valley,UCD+UCI,IGETC,success,4,54,False,15,15,15,9,0,0,
diablo_valley,UCB+UCI,IGETC,success,5,66,True,15,15,15,15,6,0,
diablo_valley,UCI+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
diablo_valley,UCI+UCM,IGETC,success,5,66,True,15,15,15,15,6,0,
