cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
folsom_lake,UCSD,7CoursePattern,success,12,73,True,13,15,15,6,3,3,
folsom_lake,UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCI,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
folsom_lake,UCSB,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCSC,7CoursePattern,success,12,67,True,13,15,12,3,3,3,
folsom_lake,UCM,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCLA+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCI+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCB+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCSC+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCM+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCI+UCLA,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCLA+UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCD+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCLA+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCLA+UCM,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCI+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCI+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCI,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB+UCI,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCI+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCR+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCSB+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCM+UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCB+UCD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCM,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCSC,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCB+UCM,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
folsom_lake,UCM+UCSC,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCI+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCLA+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCLA+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCLA+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCLA+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCLA+UCM+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCI+UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCI+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCB+UCI+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCI+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCR+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCB+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCR+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCM+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCSB+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCM+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB+UCD+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCSC+UCSD,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
folsom_lake,UCB+UCM+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
folsom_lake,UCM+UCSC+UCSD,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
folsom_lake,UCI+UCLA+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCLA+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCI+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCI+UCLA,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCLA+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCI+UCLA+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCLA+UCR+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCLA+UCR,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCLA+UCR+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCLA+UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCLA+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCLA+UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCLA+UCSB+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCLA+UCM+UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCB+UCD+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCLA+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCD+UCLA+UCM,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
folsom_lake,UCB+UCLA+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB+UCLA+UCM,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCLA+UCM+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCI+UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCD+UCI+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
folsom_lake,UCB+UCI+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCI+UCR+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
folsom_lake,UCI+UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
folsom_lake,UCD+UCI+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
