cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
folsom_lake,UCSD,IGETC,success,4,55,False,13,15,15,12,0,0,
folsom_lake,UCLA,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
folsom_lake,UCSB,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCSC,IGETC,success,4,49,False,13,15,15,6,0,0,
folsom_lake,UCM,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCLA+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCI+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCR+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCB+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCSC+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCM+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCI+UCLA,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCSB,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCD+UCLA,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCLA+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCM,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI+UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCI+UCSB,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCI,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCI,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCSC,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCI+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCR+UCSB,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCR+UCSC,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCM+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSB,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCSB+UCSC,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCM+UCSB,IGETC,success,4,54,False,15,15,15,9,0,0,
folsom_lake,UCB+UCD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCM,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSC,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCB+UCM,IGETC,success,4,51,False,15,15,15,6,0,0,
folsom_lake,UCM+UCSC,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCD+UCLA+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,UCB+UCLA+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCSC+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCM+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCI+UCR+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCSB+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCI+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCSC+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCM+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCR+UCSB+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCR+UCSC+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCM+UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSB+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,UCB+UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCSB+UCSC+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCM+UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCB+UCD+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCD+UCSC+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCM+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCSC+UCSD,IGETC,success,5,61,True,13,15,15,15,3,0,
folsom_lake,UCB+UCM+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
folsom_lake,UCM+UCSC+UCSD,IGETC,success,5,61,True,13,15,15,15,3,0,
folsom_lake,UCI+UCLA+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCI+UCLA,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCI+UCLA,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCI+UCLA+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCI+UCLA+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCLA+UCR+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCLA+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
folsom_lake,UCLA+UCR+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCLA+UCM+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
folsom_lake,UCD+UCLA+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
folsom_lake,UCB+UCLA+UCSB,IGETC,success,4,54,False,15,15,15,9,0,0,
