cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCSD,IGETC,success,5,70.5,True,15,15.0,13.5,15,12,0,
foothill,UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
foothill,UCI,IGETC,success,4,51,False,15,15,15,6,0,0,
foothill,UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
foothill,UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
foothill,UCD,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCB,IGETC,success,4,54,False,15,15,15,9,0,0,
foothill,UCSC,IGETC,success,4,54,False,15,15,15,9,0,0,
foothill,UCM,IGETC,success,4,57,False,15,15,15,12,0,0,
foothill,UCLA+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCI+UCSD,IGETC,success,6,79.5,True,15,15,15.0,13.5,15,6,
foothill,UCR+UCSD,IGETC,success,5,73.5,True,15,15.0,13.5,15,15,0,
foothill,UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCD+UCSD,IGETC,success,6,82.5,True,15,15,15.0,13.5,15,9,
foothill,UCB+UCSD,IGETC,success,5,73.5,True,15,15.0,13.5,15,15,0,
foothill,UCSC+UCSD,IGETC,success,6,76.5,True,15,13.5,15.0,15,15,3,
foothill,UCM+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCI+UCLA,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCLA+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCLA+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCD+UCLA,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
foothill,UCLA+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCLA+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
foothill,UCI+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
foothill,UCI+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCD+UCI,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCB+UCI,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCI+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCI+UCM,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCR+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCD+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCB+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
foothill,UCR+UCSC,IGETC,success,4,60,False,15,15,15,15,0,0,
foothill,UCM+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCD+UCSB,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCSB+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCM+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCB+UCD,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCD+UCM,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCB+UCM,IGETC,success,4,57,False,15,15,15,12,0,0,
foothill,UCM+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCI+UCLA+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCLA+UCR+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCLA+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCD+UCLA+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCB+UCLA+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCLA+UCSC+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCLA+UCM+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCI+UCR+UCSD,IGETC,success,6,82.5,True,15,15,15.0,13.5,15,9,
foothill,UCI+UCSB+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCD+UCI+UCSD,IGETC,success,7,91.5,True,15,15,15,13.5,15.0,15,
foothill,UCB+UCI+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCI+UCSC+UCSD,IGETC,success,6,82.5,True,15,15,15.0,13.5,15,9,
foothill,UCI+UCM+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCR+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCD+UCR+UCSD,IGETC,success,6,82.5,True,15,15,15.0,13.5,15,9,
foothill,UCB+UCR+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCR+UCSC+UCSD,IGETC,success,6,76.5,True,15,13.5,15.0,15,15,3,
foothill,UCM+UCR+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCD+UCSB+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCB+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCSB+UCSC+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCM+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCB+UCD+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
foothill,UCD+UCSC+UCSD,IGETC,success,6,79.5,True,15,15,15.0,13.5,15,6,
foothill,UCD+UCM+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
foothill,UCB+UCSC+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCB+UCM+UCSD,IGETC,success,6,76.5,True,15,15.0,13.5,15,15,3,
foothill,UCM+UCSC+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCI+UCLA+UCR,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCI+UCLA+UCSB,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCI+UCLA,IGETC,success,6,81,True,15,15,15,15,15,6,
foothill,UCB+UCI+UCLA,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCI+UCLA+UCSC,IGETC,success,5,75,True,15,15,15,15,15,0,
foothill,UCI+UCLA+UCM,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCLA+UCR+UCSB,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCD+UCLA+UCR,IGETC,success,5,75,True,15,15,15,15,15,0,
foothill,UCB+UCLA+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCLA+UCR+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCLA+UCM+UCR,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCD+UCLA+UCSB,IGETC,success,6,78,True,15,15,15,15,15,3,
foothill,UCB+UCLA+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCLA+UCSB+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCLA+UCM+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCB+UCD+UCLA,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCLA+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCLA+UCM,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCLA+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCB+UCLA+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
foothill,UCLA+UCM+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCI+UCR+UCSB,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCD+UCI+UCR,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCB+UCI+UCR,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCI+UCR+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCI+UCM+UCR,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCD+UCI+UCSB,IGETC,success,6,78,True,15,15,15,15,15,3,
foothill,UCB+UCI+UCSB,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCI+UCSB+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCI+UCM+UCSB,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCD+UCI,IGETC,success,6,78,True,15,15,15,15,15,3,
foothill,UCD+UCI+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCD+UCI+UCM,IGETC,success,6,78,True,15,15,15,15,15,3,
foothill,UCB+UCI+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCI+UCM,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCI+UCM+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCR+UCSB,IGETC,success,5,75,True,15,15,15,15,15,0,
foothill,UCB+UCR+UCSB,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCR+UCSB+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCM+UCR+UCSB,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCD+UCR,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCR+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCD+UCM+UCR,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCR+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCB+UCM+UCR,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCM+UCR+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCB+UCD+UCSB,IGETC,success,5,75,True,15,15,15,15,15,0,
foothill,UCD+UCSB+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCM+UCSB,IGETC,success,5,75,True,15,15,15,15,15,0,
foothill,UCB+UCSB+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCB+UCM+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
foothill,UCM+UCSB+UCSC,IGETC,success,5,69,True,15,15,15,15,9,0,
foothill,UCB+UCD+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCD+UCM,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCD+UCM+UCSC,IGETC,success,5,72,True,15,15,15,15,12,0,
foothill,UCB+UCM+UCSC,IGETC,success,5,63,True,15,15,15,15,3,0,
foothill,UCI+UCLA+UCR+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
foothill,UCI+UCLA+UCSB+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
foothill,UCD+UCI+UCLA+UCSD,IGETC,success,7,94.5,True,15,15,15,15,15.0,13.5,
foothill,UCB+UCI+UCLA+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCI+UCLA+UCSC+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
foothill,UCI+UCLA+UCM+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCLA+UCR+UCSB+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCD+UCLA+UCR+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCB+UCLA+UCR+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCLA+UCR+UCSC+UCSD,IGETC,success,6,82.5,True,15,15,15.0,15,13.5,9,
foothill,UCLA+UCM+UCR+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCD+UCLA+UCSB+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCB+UCLA+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCLA+UCSB+UCSC+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCLA+UCM+UCSB+UCSD,IGETC,success,6,79.5,True,15,13.5,15.0,15,15,6,
foothill,UCB+UCD+UCLA+UCSD,IGETC,success,6,88.5,True,15,15,13.5,15,15.0,15,
foothill,UCD+UCLA+UCSC+UCSD,IGETC,success,6,85.5,True,15,15,15.0,15,13.5,12,
