cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
las_positas,UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCLA,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCI,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
las_positas,UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
las_positas,UCSB,7CoursePattern,success,12,83,True,15,15,14,15,3,3,
las_positas,UCD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCB,7CoursePattern,success,12,69,True,15,15,9,6,3,3,
las_positas,UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
las_positas,UCM,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
las_positas,UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCI+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCD+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCI+UCLA,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCLA+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCD+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCB+UCLA,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCLA+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCLA+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCI+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
las_positas,UCI+UCSB,7CoursePattern,success,12,83,True,15,15,14,15,3,3,
las_positas,UCD+UCI,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCB+UCI,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCI+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
las_positas,UCI+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCR+UCSB,7CoursePattern,success,12,83,True,15,15,14,15,3,3,
las_positas,UCD+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCB+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCR+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
las_positas,UCM+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
las_positas,UCD+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCB+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCSB+UCSC,7CoursePattern,success,12,83,True,15,15,14,15,3,3,
las_positas,UCM+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCB+UCD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCD+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
las_positas,UCD+UCM,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
las_positas,UCB+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
