cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
las_positas,UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCI,IGETC,success,4,51,False,15,15,15,6,0,0,
las_positas,UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
las_positas,UCSB,IGETC,success,5,65,True,15,15,14,15,6,0,
las_positas,UCD,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCB,IGETC,success,4,51,False,15,15,15,6,0,0,
las_positas,UCSC,IGETC,success,4,54,False,15,15,15,9,0,0,
las_positas,UCM,IGETC,success,4,54,False,15,15,15,9,0,0,
las_positas,UCLA+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCI+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
las_positas,UCR+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
las_positas,UCSB+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCD+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCB+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
las_positas,UCSC+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCM+UCSD,IGETC,success,5,63,True,15,15,15,15,3,0,
las_positas,UCI+UCLA,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCLA+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
las_positas,UCD+UCLA,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCB+UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCLA+UCSC,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCLA+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCI+UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
las_positas,UCI+UCSB,IGETC,success,5,65,True,15,15,14,15,6,0,
las_positas,UCD+UCI,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCB+UCI,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCI+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCI+UCM,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCR+UCSB,IGETC,success,5,65,True,15,15,14,15,6,0,
las_positas,UCD+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCB+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCR+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
las_positas,UCM+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
las_positas,UCD+UCSB,IGETC,success,5,66,True,15,15,15,15,6,0,
las_positas,UCB+UCSB,IGETC,success,5,63,True,15,15,15,15,3,0,
