cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_city_college,UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCM,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCSB+UCSD,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCSC+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCLA,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD+UCLA,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCLA,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCM,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD+UCI,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCI,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCM,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD+UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCR+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCR,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCB+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCSB+UCSC,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCM+UCSB,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCB+UCD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCD+UCM,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCM,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCM+UCSC,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCI+UCLA+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCR+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCLA+UCSB+UCSD,IGETC,success,3,42,False,15,15,12,0,0,0,
los_angeles_city_college,UCD+UCLA+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
los_angeles_city_college,UCB+UCLA+UCSD,IGETC,success,3,36,False,15,15,6,0,0,0,
