cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
mt_san_jacinto,UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCI,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
mt_san_jacinto,UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
mt_san_jacinto,UCSB,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCB,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
mt_san_jacinto,UCSC,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
mt_san_jacinto,UCM,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCLA+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCI+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCD+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCSC+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCM+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCI+UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCLA+UCR,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCLA+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCD+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCLA+UCSC,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCLA+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCI+UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
mt_san_jacinto,UCI+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCD+UCI,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCB+UCI,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCI+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCI+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCD+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCB+UCR,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCR+UCSC,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCM+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCD+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCSB+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCM+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCB+UCD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCD+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCD+UCM,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCB+UCM,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCM+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
mt_san_jacinto,UCI+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCLA+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCLA+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCD+UCLA+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCB+UCLA+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCLA+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCLA+UCM+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCI+UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCI+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCD+UCI+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCI+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCI+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCI+UCM+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCR+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCD+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCR+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCR+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCM+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCD+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCB+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCSB+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCM+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCD+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCD+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCD+UCM+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
mt_san_jacinto,UCB+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCB+UCM+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCM+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCI+UCLA+UCR,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCI+UCLA+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCD+UCI+UCLA,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCB+UCI+UCLA,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
mt_san_jacinto,UCI+UCLA+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
mt_san_jacinto,UCI+UCLA+UCM,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCLA+UCR+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
mt_san_jacinto,UCD+UCLA+UCR,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
