cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
orange_coast,UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
orange_coast,UCLA,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCI,7CoursePattern,success,12,63,True,15,15,6,3,3,3,
orange_coast,UCR,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCSB,7CoursePattern,success,12,60,True,15,15,3,3,3,3,
orange_coast,UCD,7CoursePattern,success,12,71,True,15,14,15,3,3,3,
orange_coast,UCB,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCSC,7CoursePattern,success,12,60,True,15,15,3,3,3,3,
orange_coast,UCM,7CoursePattern,success,12,71,True,15,14,15,3,3,3,
orange_coast,UCLA+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCI+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
orange_coast,UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCD+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
orange_coast,UCB+UCSD,7CoursePattern,success,12,73,True,15,13,15,6,3,3,
orange_coast,UCSC+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
orange_coast,UCM+UCSD,7CoursePattern,success,12,73,True,15,13,15,6,3,3,
orange_coast,UCI+UCLA,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
orange_coast,UCLA+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
orange_coast,UCLA+UCSB,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCD+UCLA,7CoursePattern,success,12,74,True,15,14,15,6,3,3,
orange_coast,UCB+UCLA,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCLA+UCSC,7CoursePattern,success,12,71,True,15,14,15,3,3,3,
orange_coast,UCLA+UCM,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCI+UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
orange_coast,UCI+UCSB,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
orange_coast,UCD+UCI,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
orange_coast,UCB+UCI,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
orange_coast,UCI+UCSC,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
orange_coast,UCI+UCM,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
orange_coast,UCR+UCSB,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
orange_coast,UCD+UCR,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
orange_coast,UCB+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
orange_coast,UCR+UCSC,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
orange_coast,UCM+UCR,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
orange_coast,UCD+UCSB,7CoursePattern,success,12,74,True,15,14,15,6,3,3,
orange_coast,UCB+UCSB,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCSB+UCSC,7CoursePattern,success,12,63,True,15,15,6,3,3,3,
orange_coast,UCM+UCSB,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCB+UCD,7CoursePattern,success,12,74,True,15,14,15,6,3,3,
orange_coast,UCD+UCSC,7CoursePattern,success,12,74,True,15,14,15,6,3,3,
orange_coast,UCD+UCM,7CoursePattern,success,12,74,True,15,14,15,6,3,3,
orange_coast,UCB+UCSC,7CoursePattern,success,12,71,True,15,14,15,3,3,3,
orange_coast,UCB+UCM,7CoursePattern,success,12,68,True,15,14,12,3,3,3,
orange_coast,UCM+UCSC,7CoursePattern,success,12,71,True,15,14,15,3,3,3,
orange_coast,UCI+UCLA+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCLA+UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
orange_coast,UCLA+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCD+UCLA+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
orange_coast,UCB+UCLA+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCLA+UCSC+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCLA+UCM+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCI+UCR+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
orange_coast,UCI+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCD+UCI+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
orange_coast,UCB+UCI+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
orange_coast,UCI+UCSC+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
orange_coast,UCI+UCM+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
orange_coast,UCR+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCD+UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCB+UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCR+UCSC+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
orange_coast,UCM+UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCD+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
orange_coast,UCB+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
orange_coast,UCSB+UCSC+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
