cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
palomar,UCSD,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
palomar,UCLA,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
palomar,UCI,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCR,7CoursePattern,success,12,63,True,15,15,6,3,3,3,
palomar,UCSB,7CoursePattern,success,12,86,True,15,13,15,13,9,3,
palomar,UCD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB,7CoursePattern,success,12,70,True,15,13,15,3,3,3,
palomar,UCSC,7CoursePattern,success,12,74,True,13,13,15,9,3,3,
palomar,UCM,7CoursePattern,success,12,80,True,13,13,15,15,3,3,
palomar,UCLA+UCSD,7CoursePattern,success,12,85,True,13,15,15,15,6,3,
palomar,UCI+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCR+UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
palomar,UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCD+UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
palomar,UCB+UCSD,7CoursePattern,success,12,73,True,13,15,15,6,3,3,
palomar,UCSC+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
palomar,UCM+UCSD,7CoursePattern,success,12,82,True,13,15,15,15,3,3,
palomar,UCI+UCLA,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCLA+UCR,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
palomar,UCLA+UCSB,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
palomar,UCD+UCLA,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCLA,7CoursePattern,success,12,71,True,13,13,15,6,3,3,
palomar,UCLA+UCSC,7CoursePattern,success,12,86,True,13,13,15,15,9,3,
palomar,UCLA+UCM,7CoursePattern,success,12,83,True,13,13,15,15,6,3,
palomar,UCI+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCI+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCI,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
palomar,UCI+UCSC,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCI+UCM,7CoursePattern,success,12,73,True,15,13,15,6,3,3,
palomar,UCR+UCSB,7CoursePattern,success,12,76,True,15,15,13,9,3,3,
palomar,UCD+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCR+UCSC,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCM+UCR,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
palomar,UCD+UCSB,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCB+UCSB,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCSB+UCSC,7CoursePattern,success,12,89,True,15,13,15,13,12,3,
palomar,UCM+UCSB,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
palomar,UCB+UCD,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCD+UCSC,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCSC,7CoursePattern,success,12,74,True,13,13,15,9,3,3,
palomar,UCB+UCM,7CoursePattern,success,12,71,True,13,13,15,6,3,3,
palomar,UCM+UCSC,7CoursePattern,success,12,83,True,13,13,15,15,6,3,
palomar,UCI+UCLA+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCLA+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCLA+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCD+UCLA+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
palomar,UCB+UCLA+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
palomar,UCLA+UCSC+UCSD,7CoursePattern,success,12,85,True,13,15,15,15,6,3,
palomar,UCLA+UCM+UCSD,7CoursePattern,success,12,85,True,13,15,15,15,6,3,
palomar,UCI+UCR+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCI+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCI+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCI+UCSC+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCI+UCM+UCSD,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCR+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCD+UCR+UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
palomar,UCB+UCR+UCSD,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCR+UCSC+UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
palomar,UCM+UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCD+UCSB+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
palomar,UCB+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCSB+UCSC+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCM+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCB+UCD+UCSD,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCD+UCSC+UCSD,7CoursePattern,success,12,72,True,15,15,15,3,3,3,
palomar,UCD+UCM+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCSC+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
palomar,UCB+UCM+UCSD,7CoursePattern,success,12,73,True,13,15,15,6,3,3,
palomar,UCM+UCSC+UCSD,7CoursePattern,success,12,85,True,13,15,15,15,6,3,
palomar,UCI+UCLA+UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCI+UCLA+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCI+UCLA,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI+UCLA,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCI+UCLA+UCSC,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
palomar,UCI+UCLA+UCM,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCLA+UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCD+UCLA+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCLA+UCR,7CoursePattern,success,12,63,True,15,15,6,3,3,3,
palomar,UCLA+UCR+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCLA+UCM+UCR,7CoursePattern,success,12,72,True,15,15,12,6,3,3,
palomar,UCD+UCLA+UCSB,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCB+UCLA+UCSB,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCLA+UCSB+UCSC,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCLA+UCM+UCSB,7CoursePattern,success,12,85,True,15,13,15,15,6,3,
palomar,UCB+UCD+UCLA,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCD+UCLA+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCD+UCLA+UCM,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCLA+UCSC,7CoursePattern,success,12,77,True,13,13,15,12,3,3,
palomar,UCB+UCLA+UCM,7CoursePattern,success,12,74,True,13,13,15,9,3,3,
palomar,UCLA+UCM+UCSC,7CoursePattern,success,12,86,True,13,13,15,15,9,3,
palomar,UCI+UCR+UCSB,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCI+UCR,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCI+UCR+UCSC,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCI+UCM+UCR,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCD+UCI+UCSB,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
palomar,UCB+UCI+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCI+UCSB+UCSC,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
palomar,UCI+UCM+UCSB,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCB+UCD+UCI,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCI+UCSC,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCI+UCM,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI+UCSC,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCB+UCI+UCM,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
palomar,UCI+UCM+UCSC,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCD+UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCR+UCSB,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCR+UCSB+UCSC,7CoursePattern,success,12,76,True,15,15,13,9,3,3,
palomar,UCM+UCR+UCSB,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCD+UCR,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCR+UCSC,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCM+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCR+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCM+UCR,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCM+UCR+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCD+UCSB,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCD+UCSB+UCSC,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCD+UCM+UCSB,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCB+UCSB+UCSC,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCB+UCM+UCSB,7CoursePattern,success,12,76,True,15,13,15,9,3,3,
palomar,UCM+UCSB+UCSC,7CoursePattern,success,12,88,True,15,13,15,15,9,3,
palomar,UCB+UCD+UCSC,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCB+UCD+UCM,7CoursePattern,success,12,66,True,15,15,9,3,3,3,
palomar,UCD+UCM+UCSC,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCB+UCM+UCSC,7CoursePattern,success,12,74,True,13,13,15,9,3,3,
palomar,UCI+UCLA+UCR+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCI+UCLA+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCI+UCLA+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
palomar,UCB+UCI+UCLA+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCI+UCLA+UCSC+UCSD,7CoursePattern,success,12,82,True,15,13,15,15,3,3,
palomar,UCI+UCLA+UCM+UCSD,7CoursePattern,success,12,79,True,15,13,15,12,3,3,
palomar,UCLA+UCR+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCD+UCLA+UCR+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
palomar,UCB+UCLA+UCR+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCLA+UCR+UCSC+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCLA+UCM+UCR+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCD+UCLA+UCSB+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
palomar,UCB+UCLA+UCSB+UCSD,7CoursePattern,success,12,75,True,15,15,15,6,3,3,
palomar,UCLA+UCSB+UCSC+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCLA+UCM+UCSB+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCB+UCD+UCLA+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCD+UCLA+UCSC+UCSD,7CoursePattern,success,12,84,True,15,15,15,15,3,3,
palomar,UCD+UCLA+UCM+UCSD,7CoursePattern,success,12,87,True,15,15,15,15,6,3,
palomar,UCB+UCLA+UCSC+UCSD,7CoursePattern,success,12,79,True,13,15,15,12,3,3,
palomar,UCB+UCLA+UCM+UCSD,7CoursePattern,success,12,76,True,13,15,15,9,3,3,
palomar,UCLA+UCM+UCSC+UCSD,7CoursePattern,success,12,85,True,13,15,15,15,6,3,
palomar,UCI+UCR+UCSB+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCI+UCR+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCB+UCI+UCR+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCI+UCR+UCSC+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCI+UCM+UCR+UCSD,7CoursePattern,success,12,69,True,15,15,12,3,3,3,
palomar,UCD+UCI+UCSB+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
palomar,UCB+UCI+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
palomar,UCI+UCSB+UCSC+UCSD,7CoursePattern,success,12,81,True,15,15,15,12,3,3,
palomar,UCI+UCM+UCSB+UCSD,7CoursePattern,success,12,78,True,15,15,15,9,3,3,
