cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
palomar,UCSD,IGETC,success,5,61,True,13,15,15,15,3,0,
palomar,UCLA,IGETC,success,5,62,True,13,13,15,15,6,0,
palomar,UCI,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCR,IGETC,success,3,45,False,15,15,15,0,0,0,
palomar,UCSB,IGETC,success,5,68,True,15,13,15,13,12,0,
palomar,UCD,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB,IGETC,success,4,52,False,15,13,15,9,0,0,
palomar,UCSC,IGETC,success,5,59,True,13,13,15,15,3,0,
palomar,UCM,IGETC,success,5,62,True,13,13,15,15,6,0,
palomar,UCLA+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
palomar,UCI+UCSD,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCR+UCSD,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCSB+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
palomar,UCD+UCSD,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCB+UCSD,IGETC,success,4,55,False,13,15,15,12,0,0,
palomar,UCSC+UCSD,IGETC,success,5,64,True,13,15,15,15,6,0,
palomar,UCM+UCSD,IGETC,success,5,64,True,13,15,15,15,6,0,
palomar,UCI+UCLA,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCLA+UCR,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCLA+UCSB,IGETC,success,5,67,True,15,13,15,15,9,0,
palomar,UCD+UCLA,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCB+UCLA,IGETC,success,4,53,False,13,13,15,12,0,0,
palomar,UCLA+UCSC,IGETC,success,5,71,True,13,13,15,15,15,0,
palomar,UCLA+UCM,IGETC,success,5,65,True,13,13,15,15,9,0,
palomar,UCI+UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCI+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
palomar,UCD+UCI,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB+UCI,IGETC,success,5,64,True,15,13,15,15,6,0,
palomar,UCI+UCSC,IGETC,success,5,61,True,15,13,15,15,3,0,
palomar,UCI+UCM,IGETC,success,4,55,False,15,13,15,12,0,0,
palomar,UCR+UCSB,IGETC,success,4,58,False,15,15,13,15,0,0,
palomar,UCD+UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCR+UCSC,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCM+UCR,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCD+UCSB,IGETC,success,5,70,True,15,13,15,15,12,0,
palomar,UCB+UCSB,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCSB+UCSC,IGETC,success,5,71,True,15,13,15,13,15,0,
palomar,UCM+UCSB,IGETC,success,5,67,True,15,13,15,15,9,0,
palomar,UCB+UCD,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCD+UCSC,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCD+UCM,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCB+UCSC,IGETC,success,5,59,True,13,13,15,15,3,0,
palomar,UCB+UCM,IGETC,success,4,53,False,13,13,15,12,0,0,
palomar,UCM+UCSC,IGETC,success,5,68,True,13,13,15,15,12,0,
palomar,UCI+UCLA+UCSD,IGETC,success,5,61,True,15,13,15,15,3,0,
palomar,UCLA+UCR+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
palomar,UCLA+UCSB+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
palomar,UCD+UCLA+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
palomar,UCB+UCLA+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
palomar,UCLA+UCSC+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
palomar,UCLA+UCM+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
palomar,UCI+UCR+UCSD,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCI+UCSB+UCSD,IGETC,success,4,60,False,15,15,15,15,0,0,
palomar,UCD+UCI+UCSD,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB+UCI+UCSD,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCI+UCSC+UCSD,IGETC,success,5,61,True,15,13,15,15,3,0,
palomar,UCI+UCM+UCSD,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCR+UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCD+UCR+UCSD,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCB+UCR+UCSD,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCR+UCSC+UCSD,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCM+UCR+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCD+UCSB+UCSD,IGETC,success,5,69,True,15,15,15,15,9,0,
palomar,UCB+UCSB+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCSB+UCSC+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
palomar,UCM+UCSB+UCSD,IGETC,success,5,66,True,15,15,15,15,6,0,
palomar,UCB+UCD+UCSD,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCD+UCSC+UCSD,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCD+UCM+UCSD,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCB+UCSC+UCSD,IGETC,success,4,58,False,13,15,15,15,0,0,
palomar,UCB+UCM+UCSD,IGETC,success,4,55,False,13,15,15,12,0,0,
palomar,UCM+UCSC+UCSD,IGETC,success,5,67,True,13,15,15,15,9,0,
palomar,UCI+UCLA+UCR,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCI+UCLA+UCSB,IGETC,success,4,60,False,15,15,15,15,0,0,
palomar,UCD+UCI+UCLA,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB+UCI+UCLA,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCI+UCLA+UCSC,IGETC,success,5,64,True,15,13,15,15,6,0,
palomar,UCI+UCLA+UCM,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCLA+UCR+UCSB,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCD+UCLA+UCR,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCB+UCLA+UCR,IGETC,success,3,45,False,15,15,15,0,0,0,
palomar,UCLA+UCR+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCLA+UCM+UCR,IGETC,success,4,54,False,15,15,15,9,0,0,
palomar,UCD+UCLA+UCSB,IGETC,success,5,70,True,15,13,15,15,12,0,
palomar,UCB+UCLA+UCSB,IGETC,success,4,58,False,15,13,15,15,0,0,
palomar,UCLA+UCSB+UCSC,IGETC,success,5,70,True,15,13,15,15,12,0,
palomar,UCLA+UCM+UCSB,IGETC,success,5,67,True,15,13,15,15,9,0,
palomar,UCB+UCD+UCLA,IGETC,success,4,48,False,15,15,15,3,0,0,
palomar,UCD+UCLA+UCSC,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCD+UCLA+UCM,IGETC,success,4,57,False,15,15,15,12,0,0,
palomar,UCB+UCLA+UCSC,IGETC,success,5,62,True,13,13,15,15,6,0,
palomar,UCB+UCLA+UCM,IGETC,success,4,56,False,13,13,15,15,0,0,
palomar,UCLA+UCM+UCSC,IGETC,success,5,71,True,13,13,15,15,15,0,
palomar,UCI+UCR+UCSB,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCD+UCI+UCR,IGETC,success,4,51,False,15,15,15,6,0,0,
palomar,UCB+UCI+UCR,IGETC,success,4,60,False,15,15,15,15,0,0,
palomar,UCI+UCR+UCSC,IGETC,success,4,51,False,15,15,15,6,0,0,
