cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cabrillo,UCSD,IGETC,success,4,54,False,18,18,15,3,0,0,
cabrillo,UCLA,IGETC,success,4,54,False,18,18,12,6,0,0,
cabrillo,UCI,IGETC,success,3,48,False,18,18,12,0,0,0,
cabrillo,UCR,IGETC,success,3,48,False,18,18,12,0,0,0,
cabrillo,UCSB,IGETC,success,4,59,False,18,18,17,6,0,0,
cabrillo,UCD,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCB,IGETC,success,4,51,False,18,18,9,6,0,0,
cabrillo,UCSC,IGETC,success,3,48,False,18,18,12,0,0,0,
cabrillo,UCM,IGETC,success,4,51,False,18,18,9,6,0,0,
cabrillo,UCLA+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCI+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCR+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCD+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCSD,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCSC+UCSD,IGETC,success,4,57,False,18,18,18,3,0,0,
cabrillo,UCM+UCSD,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCI+UCLA,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCLA+UCR,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCLA+UCSB,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCD+UCLA,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCLA,IGETC,success,4,54,False,18,18,12,6,0,0,
cabrillo,UCLA+UCSC,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCLA+UCM,IGETC,success,4,54,False,18,18,12,6,0,0,
cabrillo,UCI+UCR,IGETC,success,4,54,False,18,18,15,3,0,0,
cabrillo,UCI+UCSB,IGETC,success,4,68,False,18,18,17,15,0,0,
cabrillo,UCD+UCI,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCI,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCI+UCSC,IGETC,success,4,54,False,18,18,15,3,0,0,
cabrillo,UCI+UCM,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCR+UCSB,IGETC,success,4,65,False,18,18,17,12,0,0,
cabrillo,UCD+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCB+UCR,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCR+UCSC,IGETC,success,4,57,False,18,18,18,3,0,0,
cabrillo,UCM+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCD+UCSB,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCSB,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCSB+UCSC,IGETC,success,4,65,False,18,18,17,12,0,0,
cabrillo,UCM+UCSB,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCB+UCD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCD+UCSC,IGETC,success,4,60,False,18,18,18,6,0,0,
cabrillo,UCD+UCM,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCSC,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCB+UCM,IGETC,success,4,51,False,18,18,9,6,0,0,
cabrillo,UCM+UCSC,IGETC,success,4,57,False,18,18,15,6,0,0,
cabrillo,UCI+UCLA+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCLA+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCLA+UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCD+UCLA+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCB+UCLA+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCLA+UCSC+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCLA+UCM+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCI+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCI+UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCD+UCI+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCB+UCI+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCI+UCSC+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCI+UCM+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCR+UCSB+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCD+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCB+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCR+UCSC+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCM+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
cabrillo,UCD+UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCB+UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCSB+UCSC+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCM+UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
cabrillo,UCB+UCD+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
cabrillo,UCD+UCSC+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
