cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cosumnes_river,UCSD,IGETC,success,3,39,False,18,18,3,0,0,0,
cosumnes_river,UCLA,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCI,IGETC,success,3,36,False,18,15,3,0,0,0,
cosumnes_river,UCR,IGETC,success,3,36,False,18,15,3,0,0,0,
cosumnes_river,UCSB,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCD,IGETC,success,3,36,False,18,15,3,0,0,0,
cosumnes_river,UCB,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCSC,IGETC,success,3,36,False,18,15,3,0,0,0,
cosumnes_river,UCM,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCLA+UCSD,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCI+UCSD,IGETC,success,3,39,False,18,18,3,0,0,0,
cosumnes_river,UCR+UCSD,IGETC,success,3,39,False,18,18,3,0,0,0,
cosumnes_river,UCSB+UCSD,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCD+UCSD,IGETC,success,3,39,False,18,18,3,0,0,0,
cosumnes_river,UCB+UCSD,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCSC+UCSD,IGETC,success,3,39,False,18,18,3,0,0,0,
cosumnes_river,UCM+UCSD,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCI+UCLA,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCLA+UCR,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCLA+UCSB,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCD+UCLA,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCB+UCLA,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCLA+UCSC,IGETC,success,3,42,False,18,18,6,0,0,0,
cosumnes_river,UCLA+UCM,IGETC,success,3,42,False,18,18,6,0,0,0,
