cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
diablo_valley,UCSD,7CoursePattern,success,12,89,True,16,16,18,15,3,3,
diablo_valley,UCLA,7CoursePattern,success,12,76,True,16,18,12,6,3,3,
diablo_valley,UCI,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
diablo_valley,UCR,7CoursePattern,success,12,63,True,18,15,3,3,3,3,
diablo_valley,UCSB,7CoursePattern,success,12,85,True,16,18,18,9,3,3,
diablo_valley,UCD,7CoursePattern,success,12,69,True,18,15,9,3,3,3,
diablo_valley,UCB,7CoursePattern,success,12,69,True,18,12,9,6,3,3,
diablo_valley,UCSC,7CoursePattern,success,12,77,True,16,16,18,3,3,3,
diablo_valley,UCM,7CoursePattern,success,12,80,True,16,16,18,6,3,3,
diablo_valley,UCLA+UCSD,7CoursePattern,success,12,88,True,16,18,18,12,3,3,
diablo_valley,UCI+UCSD,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
diablo_valley,UCR+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
diablo_valley,UCSB+UCSD,7CoursePattern,success,12,91,True,16,18,18,15,3,3,
diablo_valley,UCD+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
diablo_valley,UCB+UCSD,7CoursePattern,success,12,92,True,16,16,18,18,3,3,
diablo_valley,UCSC+UCSD,7CoursePattern,success,12,89,True,16,16,18,15,3,3,
diablo_valley,UCM+UCSD,7CoursePattern,success,12,92,True,16,16,18,18,3,3,
diablo_valley,UCI+UCLA,7CoursePattern,success,12,81,True,18,18,15,6,3,3,
diablo_valley,UCLA+UCR,7CoursePattern,success,12,72,True,18,15,9,6,3,3,
diablo_valley,UCLA+UCSB,7CoursePattern,success,12,86,True,16,18,16,12,3,3,
diablo_valley,UCD+UCLA,7CoursePattern,success,12,75,True,18,15,12,6,3,3,
diablo_valley,UCB+UCLA,7CoursePattern,success,12,76,True,16,18,12,6,3,3,
diablo_valley,UCLA+UCSC,7CoursePattern,success,12,85,True,16,18,18,9,3,3,
diablo_valley,UCLA+UCM,7CoursePattern,success,12,79,True,16,18,15,6,3,3,
diablo_valley,UCI+UCR,7CoursePattern,success,12,66,True,18,18,3,3,3,3,
diablo_valley,UCI+UCSB,7CoursePattern,success,12,93,True,18,18,17,13,6,3,
diablo_valley,UCD+UCI,7CoursePattern,success,12,72,True,18,18,9,3,3,3,
diablo_valley,UCB+UCI,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
diablo_valley,UCI+UCSC,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
