cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCSD,7CoursePattern,success,12,85.5,True,16.5,18.0,18,9,3,3,
foothill,UCLA,7CoursePattern,success,12,75,True,18,15,6,12,3,3,
foothill,UCI,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
foothill,UCR,7CoursePattern,success,12,69,True,18,18,6,3,3,3,
foothill,UCSB,7CoursePattern,success,12,78,True,18,18,9,9,3,3,
foothill,UCD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
foothill,UCB,7CoursePattern,success,12,72,True,18,12,6,12,3,3,
foothill,UCSC,7CoursePattern,success,12,72,True,18,18,9,3,3,3,
foothill,UCM,7CoursePattern,success,12,75,True,18,15,6,12,3,3,
foothill,UCLA+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCI+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCR+UCSD,7CoursePattern,success,12,91.5,True,18,18.0,16.5,15,3,3,
foothill,UCSB+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCD+UCSD,7CoursePattern,success,12,97.5,True,18,16.5,18.0,18,6,3,
foothill,UCB+UCSD,7CoursePattern,success,12,88.5,True,16.5,18.0,18,12,3,3,
foothill,UCSC+UCSD,7CoursePattern,success,12,91.5,True,18,18.0,16.5,15,3,3,
foothill,UCM+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCI+UCLA,7CoursePattern,success,12,84,True,18,18,12,12,3,3,
foothill,UCLA+UCR,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCLA+UCSB,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCD+UCLA,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
foothill,UCB+UCLA,7CoursePattern,success,12,75,True,18,15,6,12,3,3,
foothill,UCLA+UCSC,7CoursePattern,success,12,84,True,18,18,12,12,3,3,
foothill,UCLA+UCM,7CoursePattern,success,12,78,True,18,18,6,12,3,3,
foothill,UCI+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
foothill,UCI+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
foothill,UCD+UCI,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
foothill,UCB+UCI,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCI+UCSC,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
foothill,UCI+UCM,7CoursePattern,success,12,84,True,18,18,12,12,3,3,
foothill,UCR+UCSB,7CoursePattern,success,12,84,True,18,18,15,9,3,3,
foothill,UCD+UCR,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
foothill,UCB+UCR,7CoursePattern,success,12,78,True,18,18,6,12,3,3,
foothill,UCR+UCSC,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
foothill,UCM+UCR,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCD+UCSB,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
foothill,UCB+UCSB,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCSB+UCSC,7CoursePattern,success,12,84,True,18,18,15,9,3,3,
foothill,UCM+UCSB,7CoursePattern,success,12,84,True,18,18,12,12,3,3,
foothill,UCB+UCD,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
foothill,UCD+UCSC,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
foothill,UCD+UCM,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
foothill,UCB+UCSC,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCB+UCM,7CoursePattern,success,12,75,True,18,15,6,12,3,3,
foothill,UCM+UCSC,7CoursePattern,success,12,81,True,18,18,9,12,3,3,
foothill,UCI+UCLA+UCSD,7CoursePattern,success,12,100.5,True,18,16.5,18.0,18,9,3,
foothill,UCLA+UCR+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCLA+UCSB+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCD+UCLA+UCSD,7CoursePattern,success,12,103.5,True,18,18,18.0,16.5,12,3,
foothill,UCB+UCLA+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCLA+UCSC+UCSD,7CoursePattern,success,12,97.5,True,18,18.0,16.5,18,6,3,
foothill,UCLA+UCM+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCI+UCR+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCI+UCSB+UCSD,7CoursePattern,success,12,103.5,True,18,18,18.0,16.5,12,3,
foothill,UCD+UCI+UCSD,7CoursePattern,success,12,103.5,True,18,18,18.0,16.5,12,3,
foothill,UCB+UCI+UCSD,7CoursePattern,success,12,97.5,True,18,18.0,16.5,18,6,3,
foothill,UCI+UCSC+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCI+UCM+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCR+UCSB+UCSD,7CoursePattern,success,12,97.5,True,18,18.0,16.5,18,6,3,
foothill,UCD+UCR+UCSD,7CoursePattern,success,12,97.5,True,18,16.5,18.0,18,6,3,
foothill,UCB+UCR+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCR+UCSC+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCM+UCR+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCD+UCSB+UCSD,7CoursePattern,success,12,103.5,True,18,18,18.0,16.5,12,3,
foothill,UCB+UCSB+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
foothill,UCSB+UCSC+UCSD,7CoursePattern,success,12,94.5,True,18,18.0,16.5,18,3,3,
