cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_city_college,UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCM,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCI,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCI,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCM,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCB+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCSB+UCSC,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCM+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCB+UCD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCM,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCM,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM+UCSC,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCLA+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCLA+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCLA+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCLA+UCM+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCI+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCI+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCM+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCR+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM+UCR+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCB+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCSB+UCSC+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCM+UCSB+UCSD,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCB+UCD+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCD+UCM+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCM+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCM+UCSC+UCSD,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCLA+UCR,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCI+UCLA+UCSB,7CoursePattern,success,12,60,True,18,12,3,3,3,3,
los_angeles_city_college,UCD+UCI+UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
los_angeles_city_college,UCB+UCI+UCLA,7CoursePattern,success,12,54,True,18,6,3,3,3,3,
