cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
miracosta,UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCLA,7CoursePattern,success,12,72,True,18,15,12,3,3,3,
miracosta,UCI,7CoursePattern,success,12,66,True,18,18,3,3,3,3,
miracosta,UCR,7CoursePattern,success,12,66,True,18,18,3,3,3,3,
miracosta,UCSB,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCB,7CoursePattern,success,12,69,True,18,12,12,3,3,3,
miracosta,UCSC,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
miracosta,UCM,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCLA+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCR+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCSB+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCD+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCB+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCSC+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCM+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCI+UCLA,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCLA+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCLA+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCD+UCLA,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCLA,7CoursePattern,success,12,72,True,18,15,12,3,3,3,
miracosta,UCLA+UCSC,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCLA+UCM,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCI+UCR,7CoursePattern,success,12,72,True,18,18,9,3,3,3,
miracosta,UCI+UCSB,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCD+UCI,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCB+UCI,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
miracosta,UCI+UCSC,7CoursePattern,success,12,81,True,18,18,15,6,3,3,
miracosta,UCI+UCM,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCR+UCSB,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCD+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCB+UCR,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
miracosta,UCR+UCSC,7CoursePattern,success,12,75,True,18,18,12,3,3,3,
miracosta,UCM+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCD+UCSB,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCB+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCSB+UCSC,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCM+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCD+UCSC,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCD+UCM,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCB+UCSC,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCB+UCM,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCM+UCSC,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCLA+UCSD,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCLA+UCR+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCLA+UCSB+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCD+UCLA+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCLA+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCLA+UCSC+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCLA+UCM+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCR+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCSB+UCSD,7CoursePattern,success,12,93,True,18,18,18,15,3,3,
miracosta,UCD+UCI+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCI+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCI+UCSC+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCM+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCR+UCSB+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCD+UCR+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCB+UCR+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCR+UCSC+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCM+UCR+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCD+UCSB+UCSD,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCB+UCSB+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCSB+UCSC+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCM+UCSB+UCSD,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCD+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCD+UCSC+UCSD,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCD+UCM+UCSD,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCB+UCSC+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCB+UCM+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCM+UCSC+UCSD,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCI+UCLA+UCR,7CoursePattern,success,12,84,True,18,18,18,6,3,3,
miracosta,UCI+UCLA+UCSB,7CoursePattern,success,12,93,True,18,18,18,15,3,3,
miracosta,UCD+UCI+UCLA,7CoursePattern,success,12,93,True,18,18,18,15,3,3,
miracosta,UCB+UCI+UCLA,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCI+UCLA+UCSC,7CoursePattern,success,12,93,True,18,18,18,15,3,3,
miracosta,UCI+UCLA+UCM,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCLA+UCR+UCSB,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCD+UCLA+UCR,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCLA+UCR,7CoursePattern,success,12,78,True,18,18,15,3,3,3,
miracosta,UCLA+UCR+UCSC,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCLA+UCM+UCR,7CoursePattern,success,12,81,True,18,18,18,3,3,3,
miracosta,UCD+UCLA+UCSB,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCB+UCLA+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCLA+UCSB+UCSC,7CoursePattern,success,12,90,True,18,18,18,12,3,3,
miracosta,UCLA+UCM+UCSB,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCB+UCD+UCLA,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCD+UCLA+UCSC,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
miracosta,UCD+UCLA+UCM,7CoursePattern,success,12,87,True,18,18,18,9,3,3,
