cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
miracosta,UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCLA,IGETC,success,3,54,False,18,18,18,0,0,0,
miracosta,UCI,IGETC,success,3,48,False,18,18,12,0,0,0,
miracosta,UCR,IGETC,success,3,48,False,18,18,12,0,0,0,
miracosta,UCSB,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCB,IGETC,success,3,51,False,18,18,15,0,0,0,
miracosta,UCSC,IGETC,success,4,57,False,18,18,18,3,0,0,
miracosta,UCM,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCLA+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCR+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCD+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCSC+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCM+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCI+UCLA,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCLA+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCLA+UCSB,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCD+UCLA,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCB+UCLA,IGETC,success,3,54,False,18,18,18,0,0,0,
miracosta,UCLA+UCSC,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCLA+UCM,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCI+UCR,IGETC,success,4,54,False,18,18,15,3,0,0,
miracosta,UCI+UCSB,IGETC,success,4,72,False,18,18,18,18,0,0,
miracosta,UCD+UCI,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCB+UCI,IGETC,success,4,57,False,18,18,18,3,0,0,
miracosta,UCI+UCSC,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCI+UCM,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCR+UCSB,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCD+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCB+UCR,IGETC,success,4,57,False,18,18,18,3,0,0,
miracosta,UCR+UCSC,IGETC,success,4,57,False,18,18,18,3,0,0,
miracosta,UCM+UCR,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCD+UCSB,IGETC,success,5,72,True,18,18,18,15,3,0,
miracosta,UCB+UCSB,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCSB+UCSC,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCM+UCSB,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCB+UCD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCD+UCSC,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCD+UCM,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCB+UCSC,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCB+UCM,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCM+UCSC,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCLA+UCSD,IGETC,success,5,72,True,18,18,18,15,3,0,
miracosta,UCLA+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCLA+UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCD+UCLA+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCB+UCLA+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCLA+UCSC+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCLA+UCM+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCR+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCSB+UCSD,IGETC,success,5,78,True,18,18,18,18,6,0,
miracosta,UCD+UCI+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCB+UCI+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCI+UCSC+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCM+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCR+UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCD+UCR+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCB+UCR+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCR+UCSC+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCM+UCR+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCD+UCSB+UCSD,IGETC,success,5,72,True,18,18,18,15,3,0,
miracosta,UCB+UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCSB+UCSC+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCM+UCSB+UCSD,IGETC,success,4,69,False,18,18,18,15,0,0,
miracosta,UCB+UCD+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCD+UCSC+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCD+UCM+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCB+UCSC+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCB+UCM+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCM+UCSC+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
miracosta,UCI+UCLA+UCR,IGETC,success,4,66,False,18,18,18,12,0,0,
miracosta,UCI+UCLA+UCSB,IGETC,success,5,75,True,18,18,18,18,3,0,
miracosta,UCD+UCI+UCLA,IGETC,success,5,75,True,18,18,18,18,3,0,
miracosta,UCB+UCI+UCLA,IGETC,success,4,60,False,18,18,18,6,0,0,
miracosta,UCI+UCLA+UCSC,IGETC,success,5,75,True,18,18,18,18,3,0,
