cc,ucs,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
mt_san_jacinto,UCSD,IGETC,success,4,57,False,18,18,18,3,0,0,
mt_san_jacinto,UCLA,IGETC,success,4,54,False,18,18,15,3,0,0,
mt_san_jacinto,UCI,IGETC,success,3,48,False,18,18,12,0,0,0,
mt_san_jacinto,UCR,IGETC,success,3,48,False,18,18,12,0,0,0,
mt_san_jacinto,UCSB,IGETC,success,4,57,False,18,18,18,3,0,0,
mt_san_jacinto,UCD,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCB,IGETC,success,3,51,False,18,18,15,0,0,0,
mt_san_jacinto,UCSC,IGETC,success,3,51,False,18,18,15,0,0,0,
mt_san_jacinto,UCM,IGETC,success,4,54,False,18,18,15,3,0,0,
mt_san_jacinto,UCLA+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCI+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCR+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCSB+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCD+UCSD,IGETC,success,4,66,False,18,18,18,12,0,0,
mt_san_jacinto,UCB+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCSC+UCSD,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCM+UCSD,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCI+UCLA,IGETC,success,4,57,False,18,18,18,3,0,0,
mt_san_jacinto,UCLA+UCR,IGETC,success,4,57,False,18,18,18,3,0,0,
mt_san_jacinto,UCLA+UCSB,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCD+UCLA,IGETC,success,4,66,False,18,18,18,12,0,0,
mt_san_jacinto,UCB+UCLA,IGETC,success,4,54,False,18,18,15,3,0,0,
mt_san_jacinto,UCLA+UCSC,IGETC,success,4,63,False,18,18,18,9,0,0,
mt_san_jacinto,UCLA+UCM,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCI+UCR,IGETC,success,3,48,False,18,18,12,0,0,0,
mt_san_jacinto,UCI+UCSB,IGETC,success,4,60,False,18,18,18,6,0,0,
mt_san_jacinto,UCD+UCI,IGETC,success,4,60,False,18,18,18,6,0,0,
