cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cabrillo,UCSD,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSB,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSC,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM,1,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSB+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSC+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCSD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCR,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCLA,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCLA,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCM,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCR,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCI,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCI,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCM,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCR,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCR,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCR,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSB+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCSB,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCD,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCM,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCM,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCSC,2,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCR+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCLA+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCLA+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
