cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
chabot,UCSD,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCR,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCSB,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCSC,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM,1,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCR+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCSB+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCSC+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCSD,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCSB,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCSC,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCSB,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI,2,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
